pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170707_05_06_02,invisible,0.1,P3,60.0,180.0,119.3,138,122,1,39,0.3,-0.6289675999772436,0.7615238476152385,0.2954704529547045,0.3239146153846154,0.0380220147834017,0.0,0.0,115,0.0
20170707_05_06_03,invisible,0.1,P1,0.0,20.0,8.7,14,11,1,7,0.56,1.0797817840087924,0.2205779422057794,0.8856114388561144,0.4126559999999999,0.1364572010586912,,,0,
20170707_05_06_03,invisible,0.1,P2,20.0,60.0,40.0,51,45,1,12,0.25,-1.701151205015283,0.9729027097290271,0.0751924807519248,0.3554333333333333,0.0619776378622299,0.0,0.0,36,0.0
20170707_05_06_03,invisible,0.1,P3,60.0,180.0,118.1,124,129,1,30,0.2371541501976284,-2.192542204881806,0.9907009299070092,0.0227977202279772,0.3209312252964427,0.0382100170807569,0.0,0.0,114,0.0
20170707_07_08_01,invisible,0.1,P1,0.0,20.0,11.1,10,16,1,3,0.2307692307692307,-0.980519067491866,0.8816118388161184,0.2141785821417858,0.3339,0.1051797692160889,0.0,0.0,7,0.0
20170707_07_08_01,invisible,0.1,P2,20.0,60.0,40.0,50,54,1,21,0.4038461538461538,0.2335315247351159,0.4665533446655334,0.6461353864613538,0.388826923076923,0.0643135045097933,0.1,4.0,36,1.0
20170707_07_08_01,invisible,0.1,P3,60.0,180.0,118.2,144,177,1,72,0.4485981308411215,1.157067169747059,0.1365863413658634,0.8891110888911109,0.4029925233644859,0.039414831454085,0.0507614213197969,3.0,114,2.0
20170707_07_08_02,invisible,0.1,P1,0.0,20.0,11.0,12,21,1,6,0.3636363636363636,-0.3602922105406524,0.7550244975502449,0.4875512448755124,0.397460606060606,0.0938800269189443,0.0,0.0,7,0.0
20170707_07_08_02,invisible,0.1,P2,20.0,60.0,40.0,52,65,1,19,0.3247863247863248,-1.787290906733921,0.9776022397760225,0.0423957604239576,0.4255111111111111,0.0563561230828672,0.0,0.0,36,0.0
20170707_07_08_02,invisible,0.1,P3,60.0,180.0,119.6,150,201,1,70,0.3988603988603988,-0.7571267716526691,0.8027197280271973,0.2361763823617638,0.4279834757834757,0.0384652584130746,0.0,0.0,115,0.0
20170707_07_08_03,invisible,0.1,P1,0.0,20.0,0.5,0,1,0,0,0.0,,,,,,,,0,
20170707_07_08_03,invisible,0.1,P2,20.0,60.0,40.0,47,73,1,26,0.4333333333333333,0.0861125832553308,0.5171482851714828,0.5797420257974203,0.4284166666666666,0.0570957980913012,0.0,0.0,36,0.0
20170707_07_08_03,invisible,0.1,P3,60.0,180.0,119.4,140,202,1,81,0.4736842105263157,1.6379525253843406,0.0665933406659334,0.95010498950105,0.4150555555555554,0.0357938670762165,0.0921273031825795,4.0,115,3.0
20170707_09_10_01,invisible,0.1,P1,0.0,20.0,14.6,18,23,1,11,0.5365853658536586,1.2057439130333103,0.1445855414458554,0.9098090190980902,0.4023365853658536,0.1113410393672011,0.2054794520547945,3.0,10,1.0
20170707_09_10_01,invisible,0.1,P2,20.0,60.0,40.0,50,50,1,19,0.38,0.0688507347325257,0.583941605839416,0.5700429957004299,0.375656,0.0630930086203984,0.0,0.0,36,0.0
20170707_09_10_01,invisible,0.1,P3,60.0,180.0,119.5,145,150,1,54,0.3661016949152542,-0.0839630366660738,0.5753424657534246,0.5009499050094991,0.3693118644067796,0.0382331275641263,0.0334728033472803,4.0,115,1.0
