pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170707_05_06_02,invisible,0.1,P3,60.0,180.0,119.3,138,122,1,39.0,0.3,0.3158053846153846,0.0331480138243932,-0.4768124177549859,0.7183281671832816,0.3626637336266373,,
20170707_05_06_03,invisible,0.1,P1,0.0,20.0,8.7,14,11,1,7.0,0.56,0.357128,0.1123568156428533,1.805604749825464,0.0745925407459254,0.986001399860014,,
20170707_05_06_03,invisible,0.1,P2,20.0,60.0,40.0,51,45,1,12.0,0.25,0.334925,0.0559214306075557,-1.5186485588322094,0.9568043195680432,0.0928907109289071,,
20170707_05_06_03,invisible,0.1,P3,60.0,180.0,118.1,124,129,1,30.0,0.2371541501976284,0.2919644268774704,0.0332674377483478,-1.6475653188097992,0.9612038796120388,0.0640935906409359,,
20170707_07_08_01,invisible,0.1,P1,0.0,20.0,11.1,10,16,1,3.0,0.2307692307692307,0.2882769230769231,0.1090815700847198,-0.5271989783702974,0.8138186181381862,0.4433556644335566,,
20170707_07_08_01,invisible,0.1,P2,20.0,60.0,40.0,50,54,1,21.0,0.4038461538461538,0.3705115384615385,0.0571215572961806,0.583573294610513,0.33996600339966,0.7736226377362264,,
20170707_07_08_01,invisible,0.1,P3,60.0,180.0,118.2,144,177,1,72.0,0.4485981308411215,0.3491769470404983,0.0312596149784726,3.1804993077838857,0.000999900009999,0.999900009999,,
20170707_07_08_02,invisible,0.1,P1,0.0,20.0,11.0,12,21,1,6.0,0.3636363636363636,0.3547030303030303,0.093689054729028,0.0953508748612178,0.5896410358964104,0.6608339166083391,,
20170707_07_08_02,invisible,0.1,P2,20.0,60.0,40.0,52,65,1,19.0,0.3247863247863248,0.3539025641025641,0.0510260279903853,-0.5706154381000526,0.7692230776922308,0.3453654634536546,,
20170707_07_08_02,invisible,0.1,P3,60.0,180.0,119.6,150,201,1,70.0,0.3988603988603988,0.3718250712250712,0.0299002953719925,0.9041826275954268,0.2083791620837916,0.8386161383861613,,
