a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170714_01_02_02,20170714_01_02_02,1,visible,0.1,P3,60.0,180.0,112.6,154,187,81,0.4750733137829912,0.730857869220784,0.26607339266073393,0.7882211778822118,1
20170714_01_02_03,20170714_01_02_03,1,visible,0.1,P1,0.0,20.0,20.0,32,33,17,0.5230769230769231,0.4160763541095301,0.41215878412158785,0.7422257774222578,1
20170714_01_02_03,20170714_01_02_03,1,visible,0.1,P2,20.0,60.0,39.99999999999999,51,68,29,0.48739495798319327,0.9504317687226715,0.21597840215978403,0.8663133686631337,1
20170714_01_02_03,20170714_01_02_03,1,visible,0.1,P3,60.0,180.0,113.70000000000002,164,189,81,0.45892351274787535,-0.01202959401751276,0.5366463353664633,0.5145485451454854,1
20170714_03_04_01,20170714_03_04_01,1,visible,0.1,P1,0.0,20.0,20.0,24,28,9,0.34615384615384615,-0.3551320831887728,0.7142285771422858,0.4500549945005499,1
20170714_03_04_01,20170714_03_04_01,1,visible,0.1,P2,20.0,60.0,40.0,46,59,17,0.3238095238095238,-0.9707680872460529,0.8738126187381262,0.19368063193680632,1
20170714_03_04_01,20170714_03_04_01,1,visible,0.1,P3,60.0,180.0,115.29999999999998,134,126,44,0.3384615384615385,0.0291842172269004,0.5303469653034697,0.5574442555744425,1
20170714_03_04_02,20170714_03_04_02,1,visible,0.1,P1,0.0,20.0,20.0,26,30,10,0.35714285714285715,-0.4398554128893934,0.7083291670832916,0.37576242375762425,1
20170714_03_04_02,20170714_03_04_02,1,visible,0.1,P2,20.0,60.0,40.0,49,57,22,0.41509433962264153,0.3373115180631858,0.40215978402159785,0.7139286071392861,1
20170714_03_04_02,20170714_03_04_02,1,visible,0.1,P3,60.0,180.0,113.9,143,135,44,0.31654676258992803,-1.0639317129426022,0.867013298670133,0.17368263173682633,1
20170714_03_04_03,20170714_03_04_03,1,visible,0.1,P1,0.0,20.0,20.0,25,27,15,0.5769230769230769,2.014478542852308,0.045795420457954206,0.9782021797820218,1
20170714_03_04_03,20170714_03_04_03,1,visible,0.1,P2,20.0,60.0,40.0,43,54,18,0.3711340206185567,0.16339747868183174,0.5004499550044995,0.6187381261873812,1
20170714_03_04_03,20170714_03_04_03,1,visible,0.1,P3,60.0,180.0,113.39999999999999,148,161,65,0.42071197411003236,0.2653888160056011,0.42785721427857215,0.6242375762423757,1
20170714_05_06_01,20170714_05_06_01,1,visible,0.1,P1,0.0,20.0,20.0,28,20,6,0.25,-0.990602989437807,0.8908109189081092,0.23667633236676333,1
20170714_05_06_01,20170714_05_06_01,1,visible,0.1,P2,20.0,60.0,40.0,60,40,16,0.32,-0.6842170972326213,0.802019798020198,0.2783721627837216,1
20170714_05_06_01,20170714_05_06_01,1,visible,0.1,P3,60.0,180.0,114.10000000000001,148,118,53,0.39849624060150374,1.3774500020985712,0.10788921107889211,0.9281071892810719,1
20170714_05_06_02,20170714_05_06_02,1,visible,0.1,P1,0.0,20.0,20.0,29,14,4,0.18604651162790697,-1.0135269101299111,0.9035096490350965,0.22907709229077092,1
20170714_05_06_02,20170714_05_06_02,1,visible,0.1,P2,20.0,60.0,40.00000000000001,53,42,18,0.37894736842105264,0.4294895855550124,0.38966103389661033,0.7134286571342866,1
20170714_05_06_02,20170714_05_06_02,1,visible,0.1,P3,60.0,180.0,114.9,167,135,59,0.39072847682119205,0.04440842695046361,0.517948205179482,0.5478452154784521,1
20170714_05_06_03,20170714_05_06_03,1,visible,0.1,P1,0.0,20.0,20.0,30,26,12,0.42857142857142855,0.23832139031170224,0.5051494850514948,0.661033896610339,1
20170714_05_06_03,20170714_05_06_03,1,visible,0.1,P2,20.0,60.0,39.99999999999999,55,58,26,0.46017699115044247,0.5512366607534259,0.3551644835516448,0.7486251374862514,1
20170714_05_06_03,20170714_05_06_03,1,visible,0.1,P3,60.0,180.0,114.80000000000001,173,134,63,0.41042345276872966,0.5394692842764635,0.33866613338666135,0.7406259374062594,1
20170714_07_08_01,20170714_07_08_01,1,visible,0.1,P1,0.0,20.0,20.0,25,24,12,0.4897959183673469,1.1565315860739291,0.16818318168183183,0.9136086391360864,1
20170714_07_08_01,20170714_07_08_01,1,visible,0.1,P2,20.0,60.0,40.0,41,41,8,0.1951219512195122,-1.6137406667937009,0.9628037196280372,0.058394160583941604,1
20170714_07_08_01,20170714_07_08_01,1,visible,0.1,P3,60.0,180.0,114.6,119,91,21,0.2,-1.5961515716740542,0.9456054394560544,0.0755924407559244,1
20170714_07_08_02,20170714_07_08_02,1,visible,0.1,P1,0.0,20.0,20.0,25,24,11,0.4489795918367347,0.9103733676576811,0.23687631236876314,0.8639136086391361,1
20170714_07_08_02,20170714_07_08_02,1,visible,0.1,P2,20.0,60.0,40.00000000000001,48,36,12,0.2857142857142857,-0.32689232667020746,0.6933306669333067,0.43215678432156784,1
20170714_07_08_02,20170714_07_08_02,1,visible,0.1,P3,60.0,180.0,110.69999999999999,142,97,39,0.3263598326359833,0.39377361122619264,0.38636136386361364,0.6994300569943006,1
20170714_07_08_03,20170714_07_08_03,1,visible,0.1,P1,0.0,20.0,20.0,27,24,6,0.23529411764705882,-1.501449773006093,0.9605039496050395,0.09729027097290271,1
20170714_07_08_03,20170714_07_08_03,1,visible,0.1,P2,20.0,60.0,40.00000000000001,48,42,15,0.3333333333333333,-0.040072028791119575,0.5580441955804419,0.5427457254274572,1
20170714_07_08_03,20170714_07_08_03,1,visible,0.1,P3,60.0,180.0,114.6,134,111,41,0.3346938775510204,0.4003461240609565,0.38016198380161986,0.6922307769223077,1
