rel_path,n_trial_rows,dropped_columns,n_events_legacy,n_events_chew_only,n_spurious_events_removed,spurious_values,n_trial_values_coinciding_with_real_chews,first_event_legacy,first_event_chew_only
solo_Human/20170710_03_02_B.csv,18,Trial,193,176,17,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18,1,1.0,5.6
solo_Human/20170710_03_03_B.csv,11,Trial,160,150,10,1;2;3;4;5;6;7;9;10;11,1,1.0,6.9
solo_Human/20170710_05_01_B.csv,9,Trial,171,163,8,1;2;3;4;5;6;7;8,1,1.0,4.3
solo_Human/20170710_05_02_B.csv,13,Trial,172,160,12,1;2;3;4;5;6;7;8;9;10;11;12,1,1.0,5.1
solo_Human/20170710_05_03_B.csv,15,Trial,175,163,12,1;2;3;4;7;8;9;10;11;13;14;15,3,1.0,5.0
solo_Human/20170710_11_01_B.csv,11,Trial,184,173,11,1;2;3;4;5;6;7;8;9;10;11,0,1.0,7.4
solo_Human/20170710_11_02_B.csv,16,Trial,215,201,14,1;2;3;4;5;6;7;8;9;10;13;14;15;16,2,1.0,9.4
solo_Human/20170710_11_03_B.csv,14,Trial,216,203,13,1;2;3;4;5;6;7;8;9;10;11;13;14,1,1.0,12.0
solo_Human/20170714_09_01_B.csv,19,Trial,251,236,15,1;2;4;5;6;7;8;9;10;13;14;16;17;18;19,4,1.0,3.0
solo_Human/20170714_09_02_B.csv,21,Trial,254,240,14,1;2;6;7;8;9;13;14;15;16;17;19;20;21,7,1.0,3.0
solo_Human/20170714_09_03_B.csv,23,Trial,271,252,19,1;2;3;4;7;9;10;11;12;13;14;15;16;17;18;19;20;21;23,4,1.0,3.3
solo_Human/20170714_10_01_B.csv,23,Trial,275,254,21,1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;19;20;21;22;23,2,1.0,3.8
solo_Human/20170714_10_02_B.csv,26,Trial,265,241,24,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;23;24;25;26,2,1.0,4.8
solo_Human/20170714_10_03_B.csv,25,Trial,278,254,24,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25,1,1.0,5.6
solo_Human/20170724_01_01_B.csv,8,Trial,252,244,8,1;2;3;4;5;6;7;8,0,1.0,4.5
solo_Human/20170724_01_02_B.csv,10,Trial,242,234,8,1;2;3;4;5;6;8;10,2,1.0,5.8
solo_Human/20170724_01_03_B.csv,7,Trial,228,221,7,1;2;3;4;5;6;7,0,1.0,5.4
solo_Human/20170724_02_01_B.csv,13,Trial,222,210,12,1;2;3;4;5;6;7;8;9;10;12;13,1,1.0,3.6
solo_Human/20170724_02_02_B.csv,20,Trial,276,258,18,1;2;3;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20,2,1.0,4.0
solo_Human/20170724_02_03_B.csv,20,Trial,264,247,17,1;2;3;4;5;6;7;8;10;11;12;14;15;16;17;19;20,3,1.0,3.3
solo_Human/20170724_03_01_B.csv,12,Trial,248,239,9,1;2;3;4;5;7;9;10;12,3,1.0,4.4
solo_Human/20170724_03_02_B.csv,24,Trial,298,276,22,1;2;3;4;6;7;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24,2,1.0,3.6
solo_Human/20170724_03_03_B.csv,19,Trial,285,267,18,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19,1,1.0,5.0
solo_Human/20170724_04_01_B.csv,17,Trial,220,206,14,1;2;4;5;6;7;10;11;12;13;14;15;16;17,3,1.0,3.0
solo_Human/20170724_04_02_B.csv,22,Trial,243,225,18,1;2;3;4;6;8;9;10;11;12;13;14;15;16;17;20;21;22,4,1.0,2.6
solo_Human/20170724_04_03_B.csv,22,Trial,239,220,19,1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;18;19;21;22,3,1.0,4.1
solo_Human/20170724_05_01_B.csv,6,Trial,208,202,6,1;2;3;4;5;6,0,1.0,6.1
solo_Human/20170724_05_02_B.csv,6,Trial,204,199,5,1;2;3;4;5,1,1.0,5.2
solo_Human/20170724_05_03_B.csv,6,Trial,227,221,6,1;2;3;4;5;6,0,1.0,6.6
solo_Human/20170724_06_01_B.csv,17,Trial,250,237,13,1;2;3;4;5;6;7;9;10;11;12;13;17,4,1.0,4.8
solo_Human/20170724_06_02_B.csv,25,Trial,235,214,21,1;2;3;4;7;8;9;11;12;13;15;16;17;18;19;20;21;22;23;24;25,4,1.0,4.7
solo_Human/20170724_06_03_B.csv,12,Trial,156,146,10,1;2;3;4;5;6;8;10;11;12,2,1.0,4.7
solo_Human/20170724_07_01_B.csv,10,Trial,149,139,10,1;2;3;4;5;6;7;8;9;10,0,1.0,4.6
solo_Human/20170724_07_02_B.csv,14,Trial,180,168,12,1;2;3;4;5;6;8;9;10;12;13;14,2,1.0,3.7
solo_Human/20170724_07_03_B.csv,18,Trial,163,146,17,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18,1,1.0,7.5
solo_Human/20170725_01_01_B.csv,15,Trial,252,239,13,1;2;3;4;5;6;7;8;10;11;12;14;15,2,1.0,4.7
solo_Human/20170725_01_02_B.csv,19,Trial,257,240,17,1;2;3;4;5;6;8;9;10;11;12;13;15;16;17;18;19,2,1.0,3.7
solo_Human/20170725_01_03_B.csv,17,Trial,258,247,11,1;2;3;4;5;6;11;12;14;15;16,6,1.0,2.7
solo_Human/20170725_02_01_B.csv,6,Trial,101,95,6,1;2;3;4;5;6,0,1.0,13.9
solo_Human/20170725_02_02_B.csv,6,Trial,98,92,6,1;2;3;4;5;6,0,1.0,6.3
solo_Human/20170725_02_03_B.csv,5,Trial,99,94,5,1;2;3;4;5,0,1.0,8.5
solo_Human/20170725_04_01_B.csv,3,Trial,79,76,3,1;2;3,0,1.0,5.0
solo_Human/20170725_04_02_B.csv,2,Trial,37,35,2,1;2,0,1.0,6.2
solo_Human/20170725_04_03_B.csv,3,Trial,75,72,3,1;2;3,0,1.0,4.5
solo_Human/20170725_05_01_B.csv,7,Trial,149,142,7,1;2;3;4;5;6;7,0,1.0,4.7
solo_Human/20170725_05_02_B.csv,5,Trial,88,83,5,1;2;3;4;5,0,1.0,3.5
solo_Human/20170725_05_03_B.csv,6,Trial,114,108,6,1;2;3;4;5;6,0,1.0,6.1
solo_Human/20170725_06_01_B.csv,8,Trial,182,174,8,1;2;3;4;5;6;7;8,0,1.0,11.7
solo_Human/20170725_06_02_B.csv,8,Trial,170,162,8,1;2;3;4;5;6;7;8,0,1.0,10.8
solo_Human/20170725_06_03_B.csv,8,Trial,128,120,8,1;2;3;4;5;6;7;8,0,1.0,12.0
solo_Human/20170725_07_01_B.csv,8,Trial,164,158,6,1;2;3;4;6;7,2,1.0,5.0
solo_Human/20170725_07_02_B.csv,8,Trial,172,164,8,1;2;3;4;5;6;7;8,0,1.0,4.2
solo_Human/20170725_07_03_B.csv,13,Trial,225,212,13,1;2;3;4;5;6;7;8;9;10;11;12;13,0,1.0,9.6
visible_pair_Human/A/20170706_01_02_01_A.csv,18,Trial,269,254,15,1;2;5;6;7;8;9;10;11;12;13;14;15;16;17,3,1.0,3.0
visible_pair_Human/A/20170706_01_02_02_A.csv,19,Trial,265,247,18,1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19,1,1.0,3.2
visible_pair_Human/A/20170706_01_02_03_A.csv,17,Trial,253,236,17,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,0,1.0,2.9
visible_pair_Human/A/20170706_03_04_01_A.csv,12,Trial,236,226,10,1;2;3;4;5;6;8;9;10;11,2,1.0,4.7
visible_pair_Human/A/20170706_03_04_02_A.csv,14,Trial,242,229,13,1;2;3;4;5;6;7;8;10;11;12;13;14,1,1.0,5.1
visible_pair_Human/A/20170706_03_04_03_A.csv,15,Trial,247,232,15,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,0,1.0,6.2
visible_pair_Human/A/20170706_05_06_01_A.csv,40,Trial,236,206,30,1;2;3;5;9;10;11;12;13;15;16;17;18;19;21;22;23;25;26;27;28;29;30;32;33;34;35;37;38;40,10,1.0,3.1
visible_pair_Human/A/20170706_05_06_02_A.csv,45,Trial,273,232,41,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45,4,1.0,2.9
visible_pair_Human/A/20170706_05_06_03_A.csv,28,Trial,263,237,26,1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;24;25;26;27;28,2,1.0,3.6
visible_pair_Human/A/20170706_11_12_01_A.csv,18,Trial,178,163,15,1;2;3;4;5;6;7;9;10;11;12;14;16;17;18,3,1.0,6.4
visible_pair_Human/A/20170706_11_12_02_A.csv,12,Trial,170,159,11,1;2;3;4;5;7;8;9;10;11;12,1,1.0,6.0
visible_pair_Human/A/20170706_11_12_03_A.csv,11,Trial,182,171,11,1;2;3;4;5;6;7;8;9;10;11,0,1.0,6.1
visible_pair_Human/A/20170710_01_02_01_A.csv,16,Trial,258,242,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,0,1.0,4.9
visible_pair_Human/A/20170710_01_02_02_A.csv,20,Trial,292,275,17,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;20,3,1.0,4.3
visible_pair_Human/A/20170710_01_02_03_A.csv,17,Trial,307,292,15,1;2;3;4;6;7;8;9;10;11;12;13;14;16;17,2,1.0,5.0
visible_pair_Human/A/20170710_07_08_01_A.csv,10,Trial,128,118,10,1;2;3;4;5;6;7;8;9;10,0,1.0,19.4
visible_pair_Human/A/20170710_07_08_02_A.csv,9,Trial,137,130,7,1;2;3;4;5;6;7,2,1.0,5.4
visible_pair_Human/A/20170710_07_08_03_A.csv,13,Trial,166,155,11,1;2;3;4;5;6;7;8;9;11;12,2,1.0,10.0
visible_pair_Human/A/20170714_01_02_01_A.csv,10,Trial,259,250,9,1;2;3;4;6;7;8;9;10,1,1.0,5.0
