t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,
74.5,-0.620840991,1.048444677,1.362515701,0.770173905,-1.599218074,0.788229361,-0.10708079,-0.170147525,0.038196607,0.459280277,-0.312179248,-0.403728409,0.80470391,-0.993588548,0.429036152,0.384162522,0.153721187,0.760823031,-0.727281631,-1.902583535,0.989219487,0.256077672,0.387734925,-1.466628651,0.184622148,1.132350647,0.252766018,0.494199343,-0.459667508,-0.263202062,,,,,,,,,,,,,,,,,
75.5,-1.113464116,1.007960003,1.839066177,0.507372069,-1.203648141,0.796408116,0.503473408,-0.509711768,0.002817307,1.424063592,-0.886137295,-0.130803909,-0.66414683,-0.633010075,0.314118451,1.661525002,0.478459217,0.300532499,-0.620233566,-0.376534648,0.364941043,0.047226687,0.623965822,-2.948618793,-0.129945206,0.846347466,0.913828565,0.452847978,0.436378928,-0.180033888,,,,,,,,,,,,,,,,,
76.5,-1.30982534,1.500648718,1.844007955,-0.195322243,-0.283993671,0.972751276,0.540226547,-0.510739559,-0.204961703,0.745525414,-1.757480066,-0.316324744,-0.072237743,-0.506429108,0.686223965,1.680758552,0.14523199,0.752500362,-0.492802967,-0.39673473,0.859570052,-0.362057071,0.449712464,-0.688081137,-0.025101742,0.81745266,-0.723964158,0.698226708,0.85783383,0.009162957,,,,,,,,,,,,,,,,,
77.5,-0.612936379,1.685792971,1.178441254,0.240012382,0.323262214,0.507484647,0.903882421,0.261066548,-0.432197055,1.339354107,-0.331397871,0.319568085,0.010439295,0.029360482,0.764960617,0.787005108,-0.687248609,0.75269174,-0.180933754,0.106084839,0.111334549,0.128565815,-0.253023524,-0.363516467,0.114385233,0.655399218,0.129581276,0.71155934,0.579706703,-0.93383368,,,,,,,,,,,,,,,,,
78.5,0.79597722,1.423555283,1.52476286,-0.142476688,1.333247422,0.788785352,1.287326589,0.078587467,-0.632702885,0.762441168,0.544518469,0.036852908,-0.171541818,0.55301256,0.079352406,-0.391423412,-0.065799137,1.308579555,0.844945192,0.330967652,0.405362314,-0.214007583,-0.034409469,-0.184847822,0.102380488,-0.650757479,-0.771406274,0.190320449,0.481064291,-1.812192608,,,,,,,,,,,,,,,,,
79.5,0.067044536,0.281966906,0.910704841,0.318627988,0.749858125,1.098333185,1.400679103,0.740003935,0.018022661,0.403026538,0.723965294,-1.387944846,-0.575348522,0.438483767,0.405393205,0.614921287,-0.636439893,1.205784326,1.264624411,-0.236921186,-0.043420843,1.074233428,-0.368514347,0.801388108,-1.027036775,1.162988384,0.579591536,0.324260789,-0.298847256,-3.150807404,,,,,,,,,,,,,,,,,
80.5,0.690098856,0.368358472,0.706305578,0.586966621,0.998102982,1.163569144,1.100210367,0.429055516,-0.491908244,0.811197812,0.126812746,-0.697578515,0.43353433,0.585566471,0.739671687,-0.475835535,-1.108400329,1.158484104,1.373346941,-0.145210574,-1.156862098,0.940935633,-0.029331551,0.868551545,-0.182813964,0.419646655,0.811251833,0.241839876,0.22282331,-5.018487625,,,,,,,,,,,,,,,,,
81.5,0.678900428,0.909155054,-0.030594033,0.363435018,0.32534434,0.902835324,1.378568457,0.200543879,0.432252749,0.10718198,0.50525617,-0.366447928,0.300983939,0.65479938,0.116230054,0.27619403,-1.374222405,0.644439754,0.897034743,0.830746667,-1.20641142,-0.449755432,-0.833367077,0.394843609,-0.163667015,0.319330759,1.034778943,0.111828113,0.592801167,-3.1911873,,,,,,,,,,,,,,,,,
82.5,0.677405287,-0.898441315,-0.580471935,0.752331891,0.426519278,0.922961296,0.46612418,-0.493867482,0.6193862,0.390579966,0.542624256,-0.176928561,1.108602031,0.30978858,0.116549626,0.907477906,-1.276774114,-0.495069557,0.937209141,1.210338493,-1.250042993,0.170664538,-1.512114772,0.5034671,-0.267849071,0.229436334,0.591548409,0.169318381,-0.506162465,-1.840689266,,,,,,,,,,,,,,,,,
83.5,0.444914109,-1.165696709,-0.606196073,0.475769046,0.252922807,0.931536616,0.956526731,-0.777663967,0.326417621,-0.797916573,0.264715603,-1.814585697,0.529874959,0.278956998,-0.332191015,1.224312493,-2.377833549,-1.268408682,0.378992702,-1.114280797,-1.557007989,0.676327818,-0.917034028,0.525195901,0.206177505,-0.538715251,0.353997411,0.611291684,-0.362277469,-0.681434202,,,,,,,,,,,,,,,,,
84.5,0.024123613,-0.440604808,-0.319888549,0.905659102,0.043702091,0.820099567,0.058215687,-1.151257001,0.563858041,-0.026772244,-0.493543963,-1.807748953,0.567819268,0.597455564,-1.372344074,0.57574462,-2.270050253,-1.623752621,0.226995536,-0.666492577,-2.542718709,0.716133286,0.1050033,0.451750224,0.767057292,-0.083542872,-0.430045306,-0.132616224,-1.474170164,0.253377218,,,,,,,,,,,,,,,,,
85.5,-0.005411454,-2.276796804,-1.633136549,1.07519467,0.441161858,0.422833687,0.582450056,-0.780029576,0.272601959,-0.196615654,0.083430051,-3.184024828,0.627389458,0.537590058,-2.463804276,1.414654753,-1.073232546,-1.726523523,0.305158644,-1.507629058,-1.603144241,0.453041588,-0.025618946,-0.374321643,-0.72016684,-0.186914497,-0.455763874,0.825847072,-3.060789733,0.738970107,,,,,,,,,,,,,,,,,
86.5,-2.217565839,-0.784058916,-1.109711002,0.889197164,0.276684301,0.699166997,-0.229502628,0.179273145,0.366074049,-0.486792087,0.547549106,-4.311619391,0.394494449,-0.490517109,-2.497431941,0.789217746,-1.368931204,-1.011063072,-0.407036312,-1.278197218,-0.511331581,0.393134917,0.730121336,0.04537268,-0.964202259,0.619023615,0.239054605,0.961211556,-2.836881445,-0.222329797,,,,,,,,,,,,,,,,,
87.5,-1.044768813,-0.230914573,-1.959982334,0.198487658,-0.323468952,0.520504309,0.890385321,1.00224922,-0.569023014,0.817138615,-0.157020885,-2.405993665,0.557300798,-0.620603713,-2.677941774,0.310827125,-0.560720961,-1.699154812,-0.175032754,0.228036108,-2.134187152,-0.203193736,-0.474780813,0.04240919,-0.15746047,0.605554479,0.824724009,0.479483819,-1.728794219,-0.53259864,,,,,,,,,,,,,,,,,
88.5,-1.596246291,-0.405500313,-1.790574447,1.312756558,-0.30726007,0.424666848,0.803905308,0.710159116,-0.930625979,0.651475286,0.598160574,-1.201661998,0.624388599,-0.188074809,-2.750001676,0.597979478,0.910464521,-0.268797171,-0.958332356,0.700718024,-2.00240361,0.422184148,0.678857105,0.203769582,-0.824842131,0.176535108,0.821145813,0.268959721,-1.710448498,-1.664804273,,,,,,,,,,,,,,,,,
89.5,0.849991792,-0.307575593,-1.861492659,0.717614374,-0.55304837,0.075495611,1.268547933,1.046909612,-2.330133382,0.768597241,0.667888427,-0.633272872,0.617875649,0.450479998,-0.738286202,0.4813008,1.352978953,-0.604926771,-1.783028286,0.335069698,-1.011972154,0.03952257,1.001168815,0.167252185,-0.838165911,0.475358744,1.779405687,0.319441345,-1.130998047,-1.563015402,,,,,,,,,,,,,,,,,
90.5,0.51288374,0.255027219,-2.167077112,0.204083719,-1.455022195,0.748426912,0.468723742,1.008140913,-3.295412135,1.721330408,0.086120064,0.102310686,0.544242849,0.860267906,-0.448056463,0.871682994,1.421114011,0.094449078,0.038567769,0.927620868,-0.933324321,-0.087105848,1.474897008,0.463991009,-0.492064605,0.326049251,1.377654138,0.034604351,-0.646149793,-1.843792871,,,,,,,,,,,,,,,,,
