t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,,,,
27.5,-0.713538694,0.892377412,-0.178336823,0.707530407,-0.111018548,0.785174966,-0.874734455,-1.081500585,-0.804278926,0.450626996,0.406125001,1.319871231,0.180686381,1.533538783,1.002217686,0.65087154,-1.823870074,0.344842531,-0.631052114,0.614964846,-2.177859307,1.161727398,-0.478320437,-1.067024151,-0.248345385,0.370392608,0.667341191,-0.500949102,1.334055307,-2.014039582,,,,,,,,,,,,,,,,,,,,,,
28.5,-0.231102672,-0.334380936,-0.104791261,0.740943972,1.132700426,0.729801406,-0.302432895,-1.179260185,-0.72998062,0.894156445,0.763484013,0.670077919,0.874373288,1.427828326,-0.917017377,1.11797999,-0.48731271,0.974079942,-1.575250478,0.805621554,-2.325339248,-0.39174422,-1.423831333,-0.994458345,0.366527079,1.01436185,-0.088457303,0.09992976,0.551895491,-0.385422911,,,,,,,,,,,,,,,,,,,,,,
29.5,-0.221937069,0.281032254,0.273154082,0.433754562,-0.101192147,-0.773431543,-0.482774913,-0.771653881,0.098203962,0.65081249,0.666059106,0.891459143,1.611317902,-0.771559645,0.405962174,0.796116179,0.578464598,1.008810869,-0.52598178,0.132262227,-2.234784054,-0.718873745,-2.326574929,-0.162670816,0.173023682,0.195227479,-1.581271525,-0.41216087,0.626731691,-0.452298037,,,,,,,,,,,,,,,,,,,,,,
30.5,-0.259561498,-1.049894465,0.780847699,-1.307672909,-0.225278984,-0.586279379,-0.247514127,-0.133651074,0.65163564,1.177940532,1.213794203,0.120609466,1.830928952,-0.755367139,-0.697894589,0.376373103,1.179750837,0.693879335,-1.110288471,-0.319593544,-1.466250471,-1.449561207,-0.136132565,1.229496135,0.047422316,0.162653799,-2.480763029,0.249760076,0.164500466,0.133531071,,,,,,,,,,,,,,,,,,,,,,
31.5,0.126124151,-0.222684653,0.327828031,0.004546511,-1.342753905,-0.820139126,-0.859615118,-1.174219862,0.87388768,0.621384235,0.940377663,-0.704816246,1.370485013,-0.498758065,-1.042298489,0.588223759,0.693562682,0.921457777,-0.251963521,-0.747041274,0.063603519,-1.382720013,-0.658365654,1.690967585,0.020204,0.068998603,-2.763720835,0.8277039,-0.493997156,0.00127022,,,,,,,,,,,,,,,,,,,,,,
32.5,-0.725189271,-0.204070882,-0.220879573,0.102064517,-0.797506606,-0.800035974,-1.065243869,-1.649563582,0.990315823,0.210397648,1.095070441,-0.266524474,0.780867814,0.496735813,-0.614904305,0.392801866,1.048554704,-0.085996514,0.183095069,-0.929754012,0.787590671,-0.834105171,0.942564526,2.351061843,-0.444262743,-1.515593513,-3.352923478,0.65838901,-0.181208244,0.502908942,,,,,,,,,,,,,,,,,,,,,,
33.5,0.116295506,0.247320421,-1.110734319,-0.371222073,-1.759030593,1.302745239,-0.865989966,-1.066089673,0.164590942,-0.251075097,1.216602836,0.108508296,0.165552409,-0.352755021,-0.114168244,-0.19362555,0.47249914,-0.491651112,0.42899526,-0.323988236,0.918228555,0.509063741,1.277317878,1.30625257,-0.506388046,-1.734891994,-1.488178526,0.917786437,0.283473499,0.334375629,,,,,,,,,,,,,,,,,,,,,,
34.5,0.171843359,0.99641264,-0.536868511,-0.577697572,0.248884612,1.223028034,-0.497346862,-0.935854796,0.662253373,-0.177094882,0.997898619,0.56035269,-0.751515335,0.698686887,-0.122602836,0.762585547,-0.375931461,-0.390756454,0.030088845,-1.386061182,0.924546712,-0.026920292,0.756538627,0.87399918,-0.424602654,-3.12309672,-0.701584612,0.788483064,-0.039494871,-1.379075457,,,,,,,,,,,,,,,,,,,,,,
35.5,0.579120629,2.059863011,0.07269341,-0.270892295,0.302171526,1.222614854,-0.499930106,-0.398987398,0.757646858,-0.700125557,0.68367597,0.35041141,-1.500554805,-0.272593659,0.545691748,0.197081635,,-0.655731048,0.524526568,-1.476270677,0.721324273,-0.214935196,0.196436321,0.231139559,0.970673134,-2.706675139,0.634669265,-0.604868463,0.429162172,-0.928907724,,,,,,,,,,,,,,,,,,,,,,
36.5,-0.05403238,1.478989127,-0.725576628,-1.911607781,0.789519663,1.398881516,0.197095597,-0.616913386,0.36881173,-0.463134638,0.80010946,0.096946531,-1.540062933,0.832355417,0.624936288,0.310439533,,-1.236643312,1.339415376,-1.088828358,0.236845035,-0.771074603,0.884364003,0.113770044,0.837807458,-3.578560368,1.734048229,-0.503355699,-0.211482603,-1.276147989,,,,,,,,,,,,,,,,,,,,,,
