t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03
98.5,0.069699865,-1.482661897,1.515578906,0.739611725,0.289448379,1.687517501,0.109665262,-0.257285244,-0.454590707,-0.361935901,1.360018508,-1.235606717,1.993998711,1.455886175,-0.617218635,0.21926374,,0.64196229,1.310039802,0.347341065,0.67352899,-0.674020273,-0.468968747,0.73646229,-0.77193531,0.271675377,1.212097319,0.2725418,0.864018375,1.78971944
99.5,0.373782773,-1.499007189,2.711475135,0.316088444,-0.843843844,2.013787392,1.593134743,0.346343413,-0.451338911,-0.254524252,0.917675536,-1.441182974,0.384825452,0.606875924,-1.099940969,0.189068465,,0.068998183,1.46839409,0.339673731,0.995411734,-0.565410546,-0.573313127,0.54147383,-0.803062266,0.424728399,1.655001954,0.281443097,-1.103654516,2.115663812
100.5,-0.269173108,-1.384271732,2.657215689,-1.034039128,-0.934168099,2.088854074,0.40239516,1.742604527,0.520908757,-0.201494502,1.099992106,-1.548066986,0.680914859,0.792478911,-1.044027822,0.256195514,,-0.232484862,0.124454807,-0.4439575,1.042171805,0.212809918,-1.270723723,0.061994064,-0.656766665,0.701303125,2.097394009,1.262976953,-1.145935931,2.084120832
101.5,0.423418622,-0.166901682,2.882256179,-0.84546893,-0.297485447,1.160514519,0.15909898,2.041459524,0.351393838,-1.028202903,0.937975775,-1.480978561,0.228971417,-0.522216371,-0.450628046,0.153390371,,-0.27607916,-0.361998846,-0.877973313,1.453062388,-0.624795357,-0.701884942,-0.290363558,-0.388812307,-0.078270731,1.97633334,1.62755815,-1.298138474,0.834438701
102.5,0.800288377,0.699990893,2.611234584,-1.030557985,0.676090626,0.788957095,0.282259581,1.87765198,0.480670743,-1.06182897,1.313529886,-0.167530944,0.783447245,1.150609212,-0.358582847,-0.718880447,,-0.25851241,-0.31993878,-1.674597947,0.275275941,-0.362123673,-0.623011802,-0.924359056,-1.047342086,-0.523158232,1.293850735,1.696091503,-1.495655349,2.05025564
103.5,0.745036728,1.282295065,2.06763329,-1.201729114,0.844958515,-0.201904553,0.893785101,2.538610148,-0.150000652,-1.162236789,1.144041506,-0.457984704,0.435991121,-0.075690111,0.143303218,-0.658212387,,-1.226812567,-0.094985628,-1.599898233,-0.474626651,-0.250206437,0.024102215,0.574552706,-1.058377695,0.32525297,1.34451607,1.500115164,-1.548760387,1.456516726
104.5,2.219132123,1.197274977,0.505678278,-1.37936805,1.344060909,-0.223592035,-0.997479273,2.489952342,0.05147532,-1.170568493,0.592750421,0.380893424,0.446091921,0.248119664,0.891426156,0.37755361,,-1.315058202,-0.114692765,-1.585543435,-1.054400104,-0.002975251,0.032475841,0.002292673,0.446031431,1.006716516,0.582978667,2.402743544,-0.155248259,1.431694063
105.5,1.942990716,1.365649042,0.221881783,-0.523443247,0.932464006,-0.84436063,-1.157033052,1.429833211,0.042368456,0.071450289,-0.273058437,0.278479099,-0.112196188,0.026065031,1.17665858,1.611161413,,-1.252555143,0.119532677,-1.552420742,-0.195985708,-1.216409581,-0.062860186,1.187528276,0.130281968,0.266018284,-0.191427785,1.487885568,-0.397054428,0.245408832
106.5,1.216868878,0.966088536,-0.700725378,0.099197407,0.48048746,-0.550449236,0.234877453,1.122691354,1.263007143,-0.137667771,-0.263502979,0.344812989,0.65114626,-0.049030579,-0.246918046,2.356984565,,-1.102192954,-0.631925163,0.320321464,0.552144412,0.55981435,-0.291865368,1.532145107,-0.210058654,0.001595055,-0.291497638,1.414540772,-0.493952425,0.22284449
107.5,1.911167498,-0.642045274,-0.689711045,0.666580885,-0.416508271,-0.51596286,1.618495965,0.359376135,0.344070017,-0.258793142,-0.353432632,-0.494171825,0.065778162,-1.158559766,0.338377642,1.4797504,,-0.971249893,-0.608904154,0.437554422,1.659099398,0.358538422,-0.389169551,1.938130931,-0.383993445,-0.116450083,0.592295223,1.863640428,-0.579008482,-1.057296526
108.5,0.976468438,-0.464498089,-0.616000747,0.662458843,-1.236854384,0.127901745,0.724323411,-1.182111004,0.653609194,-0.168818901,-1.146903816,-0.104847122,-0.717309696,-0.820641955,0.491119036,2.011205765,,0.024193984,-1.641958139,0.370809864,2.650326799,0.563173691,-1.319954164,-0.006174425,-0.380260441,-0.721505759,0.269925891,,-0.600078564,-1.293518401
