t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,
81.5,0.490074122,0.893252604,0.667917475,0.886016111,0.358157785,-0.450030538,1.550236419,-0.679213724,-0.019444973,1.177941916,0.878223952,0.971744221,-0.469121925,-0.103907496,1.463391882,-0.596586725,1.566756517,0.224888754,1.010252623,-1.15702044,0.409087225,0.476110498,0.201982679,1.461520121,1.216722744,0.343953796,0.844292104,1.275086697,0.399412495,-1.126569671,,,,,,,,,,,
82.5,0.157927514,0.847726476,0.74345538,1.369392973,1.280549922,0.49661921,1.542297537,-0.611208554,-0.186211992,1.41133919,0.897254154,0.377863543,-0.420456423,-0.392202939,0.682816978,-0.13321235,1.011446551,0.322795758,0.962315792,-1.071759481,-0.039819921,-0.146321488,-0.505473313,1.710849265,0.910915023,0.339744265,1.599344237,1.150994687,0.597855066,-0.055289305,,,,,,,,,,,
83.5,-0.553793663,0.126967554,1.926590915,1.404634727,1.142287733,-0.02674012,1.395520696,-0.34850071,-0.741232325,1.043283708,0.986872641,0.436748457,0.312680002,-1.2279121,0.8834421,-0.610557797,1.279692437,-0.085013126,0.741125021,-1.030504787,0.892776985,0.724675991,-0.729558441,0.655370773,0.483763655,1.207780597,1.254161815,0.998084596,0.854982044,0.602986483,,,,,,,,,,,
84.5,0.608039584,-0.160958835,1.069160666,1.161560224,1.380598544,1.255076181,1.305455588,-0.01036933,-0.539108749,1.10982284,1.664193784,1.007143727,-0.060768669,-1.464938718,0.698087925,-1.148718112,1.212252723,-0.536452606,-0.466268687,-1.104473438,0.994089328,0.391119528,-0.612375338,-0.060611682,-0.609210788,0.687686635,0.705393813,1.126694771,0.912589708,-0.767960537,,,,,,,,,,,
85.5,0.789502482,-0.120147726,1.468437961,1.009761831,0.94050568,1.914133782,1.499621496,0.892239104,-0.152265429,-0.661239493,1.50215742,1.226411768,0.369447013,-0.577901045,-0.033478378,-0.951648463,1.376669456,-0.607264497,-0.4488842,0.000584977,1.405959623,1.103133197,-1.358651793,-0.833869616,-1.911983475,1.424795225,-0.184660055,0.533716522,1.116376713,-0.010645545,,,,,,,,,,,
86.5,0.961065562,0.362108094,1.575328332,0.344144871,0.873727595,1.21564747,1.322673566,-0.427376597,0.401778611,-0.566319318,1.437007251,1.089031057,1.373720665,-0.013399967,0.179952654,-0.056582442,1.596604574,0.283366053,-0.420012441,0.701034188,1.030297077,0.220685256,-1.18505324,-1.183619071,-0.919989776,1.219641513,0.044147669,-0.199185436,-0.02722109,-0.6814431,,,,,,,,,,,
87.5,0.591660864,0.323689543,0.627080732,1.130953659,0.387087737,1.311778255,1.718824444,-1.173245309,0.69910192,-0.252662125,1.58461167,0.763926282,0.581468338,-0.060319375,0.08792862,-0.395557159,1.059476904,0.315667572,-0.406318495,0.820894147,1.286779045,0.410017687,-1.249411328,-1.242916931,-1.585085972,0.788177767,-0.95275491,0.313773624,-0.36049186,-1.395570377,,,,,,,,,,,
88.5,1.077867864,0.320648313,0.521868733,-0.415033229,1.609142312,1.301568676,0.82128714,0.739089245,0.923915425,-1.031375146,1.455631023,1.136843884,0.959967697,0.755119938,0.075411397,-0.447576989,0.802527218,0.991259206,-0.395173563,0.938268403,1.388397037,0.344015146,-0.927810165,-0.313960328,-0.366318809,0.920519175,-0.559322335,0.289553548,-0.565751071,-0.534080294,,,,,,,,,,,
89.5,0.323098211,-0.29359224,-0.081778199,-0.117703003,0.770953079,1.108279662,0.974760408,-0.556812113,1.230490147,-0.52203976,0.907911093,0.554769445,1.430920983,1.06208168,0.244249927,0.418420958,0.417395541,0.847449973,0.82391951,0.518308947,0.462303741,0.503228528,-1.274752342,-0.043981826,0.32950263,0.409105158,0.410734558,-1.122037926,-1.457453471,-0.654116917,,,,,,,,,,,
90.5,0.854986668,0.191355583,-1.022640489,-0.429605324,-0.236099741,0.51082512,1.022812288,-0.807996781,1.255540316,0.342811272,0.156464115,0.519769606,1.572536883,-0.287934672,-0.21521223,0.572589742,0.006547242,1.018287619,0.710272082,0.958939959,0.300983244,0.614184994,-0.427739282,0.491051161,0.643030787,0.556924744,1.029546961,-0.79161997,-1.434199677,-1.33764183,,,,,,,,,,,
91.5,-0.819229303,-0.145682095,-1.313847833,0.191280031,0.859205856,0.48035456,0.797368366,0.000726729,0.489083815,1.850471895,-0.766750461,0.558077949,0.59449829,-0.083267906,-1.157051708,-1.141109918,-0.510901844,1.131997061,0.83668434,1.138924385,-0.136868243,0.944602755,0.465091095,0.390544213,0.599799035,0.018676972,0.53921003,-0.484328402,,-1.956644161,,,,,,,,,,,
