t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,
39.5,0.025537095,-1.048170888,0.896006437,0.462497891,0.632408997,-0.408096138,-0.031219313,0.930496936,0.939888099,0.666523166,-0.17782919,0.549855009,-1.144819918,0.702718807,-0.291984069,0.718127566,-0.884036858,1.213713177,0.172962563,-0.653271761,0.674432753,1.564230541,1.244100519,0.843633956,-1.586092067,0.248374608,-0.201479403,1.47754617,-0.062251518,-0.431200799,,,,,,,,,,,,,,,,,,,,,,,
40.5,-0.001329501,0.306450444,1.4142008,-0.055757365,0.654220299,-0.557528946,-0.094704197,0.840172726,0.945311457,0.873487811,-0.459879251,1.063748452,-1.155560022,0.105981501,-1.112995052,1.103077576,0.641783319,1.19996315,-0.553332677,-1.057290351,0.197387242,1.301414034,0.508420706,0.903025483,-1.498580382,0.527150584,-0.578108448,1.160042377,0.551219746,-0.111115279,,,,,,,,,,,,,,,,,,,,,,,
41.5,0.096122635,0.423470165,1.27694452,-1.539775841,0.317335973,-0.661621428,0.732228882,0.754531076,0.109593285,1.465104296,0.012574159,0.983932877,-0.871583907,-1.190897524,-0.987397817,-0.10581535,0.32677318,0.285737472,-1.249562985,-0.576242108,0.766694053,0.587062351,1.302143086,1.706290805,-2.934337896,0.519001119,-0.505863024,0.32881809,0.070063838,0.192408544,,,,,,,,,,,,,,,,,,,,,,,
42.5,0.23557484,0.86584378,1.088109689,-2.530438955,0.434281055,-2.005709965,0.579721152,0.825723687,-0.095527345,0.30880322,-0.573425313,0.486348995,0.618138583,0.548106907,-0.690127403,0.722139588,1.061916008,0.978756337,-0.374797231,0.009083914,1.146548237,0.275379721,1.132022798,1.367202978,-1.31230755,0.342298157,1.14054166,0.302015049,1.297165962,-0.071043264,,,,,,,,,,,,,,,,,,,,,,,
43.5,-0.337323194,0.493726706,-0.042490375,-2.57136315,1.059794428,0.809110106,0.547950271,1.031451231,-1.678368679,0.965178237,-0.762534584,0.874293597,0.69084969,0.644634824,-0.595794621,1.073574084,0.852394455,0.323418847,-0.933024455,-1.186759724,0.644891625,0.843047895,0.682186158,0.79896707,-1.546393165,1.303601446,1.243748812,-1.065069407,1.005033598,-0.075981161,,,,,,,,,,,,,,,,,,,,,,,
44.5,-0.216106332,0.683147494,-0.959608471,-0.631113441,0.019789453,0.693669015,1.177508012,0.733990521,-0.903020336,0.828340119,-0.373358649,1.045534586,1.430517235,0.576281504,-1.097518545,1.06431043,0.841875916,0.401072144,-2.044233897,0.067353116,0.462735033,0.497011686,1.061829337,1.359857192,0.468440627,1.29695288,1.013150757,-2.124789262,0.660548914,-0.647531317,,,,,,,,,,,,,,,,,,,,,,,
45.5,-0.095742358,0.141354882,-1.734173001,-0.206230545,-0.154374754,0.222332269,0.524013549,0.751114986,-0.927386853,-0.368519014,-0.281265174,1.52022294,1.63597884,0.798581612,-0.310645355,1.524835151,-0.107359165,-0.209693528,-1.087443834,-0.963330908,-0.220314579,0.948917927,0.516643735,1.026189772,0.378218956,-0.407780309,0.336936476,-1.813004656,0.7446371,-0.588513434,,,,,,,,,,,,,,,,,,,,,,,
46.5,-0.512366208,0.69761775,-1.926926332,0.870813303,-0.418947821,0.305188457,0.874551289,0.150692607,-0.757207548,-0.224277344,-1.527374297,1.911879641,1.041173414,1.0283985,-0.062225559,1.495681291,0.54425477,0.344346292,-1.008440054,-0.775564413,-0.167671682,-0.513858375,0.794498982,0.162045877,0.124619293,-0.724331278,0.903392307,-1.889038614,-0.310623649,-1.301569571,,,,,,,,,,,,,,,,,,,,,,,
47.5,0.253744523,0.456228599,-1.566507221,1.333300917,-0.098252201,0.291456446,0.552581603,0.169357148,-1.497202965,0.843906473,-0.271099312,1.03801468,0.791589874,1.265647809,-0.380788102,1.229566669,0.723144218,1.253954807,0.248732618,1.278940286,0.375551705,-0.542581735,-0.470078088,1.1154782,0.381400881,0.536229219,-0.510971215,-0.978080367,0.75728395,-0.325326645,,,,,,,,,,,,,,,,,,,,,,,
48.5,0.866960119,1.290790918,-0.356391534,0.798873931,-0.975471198,-0.212609458,0.822513629,0.597001231,-0.50532465,1.450043564,-0.317966837,1.048831978,-0.246228384,-0.386438146,-1.13047253,0.978745444,0.923928665,0.926949635,0.494703639,0.903076124,-0.611253391,-0.631951153,0.845438389,0.985040593,1.217505785,-0.480482219,-0.637746611,-0.886375531,0.619460003,-1.072966669,,,,,,,,,,,,,,,,,,,,,,,
49.5,0.241868617,1.009914469,0.485782174,0.394873295,-0.110710691,-0.270302942,0.49196853,0.243121982,-0.863639291,0.386436238,-0.932285365,-0.001846688,-0.076952207,-0.201269908,-0.202850802,0.926386294,0.017484859,1.024551521,0.16454792,-0.786865973,-0.611683175,0.450204667,-0.419976202,0.977209405,0.707319709,-0.522892384,0.00939716,0.063056278,0.726700445,0.187701165,,,,,,,,,,,,,,,,,,,,,,,
50.5,1.148534222,0.562259459,-0.785119624,0.442289446,0.531548166,0.086636078,0.038591904,0.491857211,-0.845188075,0.28084087,-0.695785763,0.324624469,-0.225613045,-0.656944257,-0.246228068,1.547169999,0.399872593,-0.415497303,-1.034578346,-0.293493059,0.397374354,-0.611891981,0.262526131,1.515531639,0.439776878,0.953172759,0.706104972,0.890446295,1.026789665,0.175529907,,,,,,,,,,,,,,,,,,,,,,,
51.5,1.86834498,0.168883138,-0.121264932,1.180740146,0.457264748,0.576661722,0.111570984,0.847421195,-0.123686929,0.887931402,-0.046220796,1.188935617,-0.607191908,-0.402191512,-0.253035052,0.865307505,0.061063671,-0.758139163,-0.970558565,-0.362352261,-0.664073558,0.796352795,0.158765608,1.028706609,0.634347688,-0.534197588,-0.140680699,1.298515217,0.31134913,0.379348683,,,,,,,,,,,,,,,,,,,,,,,
52.5,0.123632859,0.626661841,0.675500919,0.006186998,0.608649333,0.607640937,0.396512559,0.63452646,0.228079303,1.443207469,0.137096531,1.708472369,-0.551579903,0.462253256,0.043950894,1.637075301,-1.699208652,-0.564495218,-1.254675063,-0.468466583,-0.724656148,0.520834039,0.422722711,0.679757203,-0.642028617,-1.837773088,1.41513317,1.289865211,-0.916499429,0.61315967,,,,,,,,,,,,,,,,,,,,,,,
53.5,0.617645306,0.045084323,0.332490101,-0.533319594,-0.1909258,1.394142358,-0.198789706,0.802158714,0.277111545,0.042725078,0.389565823,1.054934151,1.051873395,0.445419996,0.270291298,0.44371423,-2.737644851,-0.933877761,-0.287159381,0.705323532,-1.361760623,-1.01910461,0.241528345,-0.05858884,-1.828271128,-0.966294501,0.615593788,0.576140158,-0.990726219,0.938127361,,,,,,,,,,,,,,,,,,,,,,,
54.5,0.310835642,0.218692916,-0.345310079,0.090426358,-0.376066182,0.395713435,-0.047100074,0.506564532,0.742543411,0.204488622,1.16972537,-0.402436159,0.596975279,0.112676217,0.394999093,0.655445835,-1.874389774,-0.327517717,0.328276399,0.945617985,-1.455981882,-0.903772241,0.992889137,-0.048169808,-1.36021384,-0.765057533,0.784009709,-0.316138399,-0.878892688,1.393884332,,,,,,,,,,,,,,,,,,,,,,,
55.5,0.340547606,0.396321915,0.338362876,-0.557047405,-0.441415871,0.526410104,0.329918528,0.195503663,0.813157806,0.096347638,1.639269789,-0.551195862,0.739854696,0.794393134,0.934424235,0.56791048,-2.789457479,0.599780904,0.949952781,1.148361063,-1.444841239,-1.570902364,0.15014226,-0.731781171,-0.634543093,0.181186399,0.810628063,0.146544502,-1.582804809,1.409621457,,,,,,,,,,,,,,,,,,,,,,,
56.5,-0.243865076,0.094185214,-0.881123099,-0.479112259,-0.173681766,-0.687693398,-0.135669798,-0.143380079,0.243726313,-0.4913472,1.578233599,0.403600337,0.647627001,0.315822927,0.630377385,-0.524080791,-2.953713709,1.432598035,1.373251244,0.703896234,-0.65033625,-0.187055429,-0.463927883,-0.63249916,-0.886579937,0.662837887,0.941831695,0.502120834,0.085845881,1.548550231,,,,,,,,,,,,,,,,,,,,,,,
57.5,0.605738406,-0.857630824,-1.796493842,-0.066040228,-0.021227702,-0.885132383,0.145333497,-0.261005049,0.141801758,-0.682951639,1.024873363,1.052694146,0.604603137,0.217299637,1.295015188,-0.16215342,-1.58661952,1.080747798,1.374081236,0.085226222,-0.201049043,-1.531708736,0.094469172,-0.139679728,0.448812856,1.682095194,0.906737403,0.689168072,0.732687237,0.715813321,,,,,,,,,,,,,,,,,,,,,,,
58.5,0.611857196,-0.328708244,-2.102684444,0.448276975,-0.898134077,-0.14788244,0.774344861,-0.197343838,0.592441986,-0.762769546,0.693963866,-0.109728458,0.276152207,1.130613826,0.512738804,0.762088078,-0.338545523,0.730628228,1.299715545,0.79782041,0.951549679,-0.498569011,-1.177845709,0.333523453,0.191099546,1.045242001,1.611079291,0.664206013,0.552022794,0.370483619,,,,,,,,,,,,,,,,,,,,,,,
59.5,0.233898379,-1.57035889,-0.529098136,0.668880718,-0.374319174,0.181490986,0.889244756,-0.245078922,1.193309494,0.01330864,0.139206522,1.223917416,0.623663201,0.716976452,0.647314773,1.372086447,0.305080841,-0.387609014,0.79434723,1.115444697,1.502884983,-0.104423446,0.054740901,0.462696508,-0.030834578,0.55746915,1.377218223,1.482883861,0.440238329,-0.004354824,,,,,,,,,,,,,,,,,,,,,,,
60.5,0.65382701,-0.435063351,-0.806681792,0.776651463,-1.419880464,-0.007425391,0.613216394,0.093767407,0.793089316,0.803686851,-0.638677666,0.501045337,0.277329069,1.558819507,0.438373507,0.94884998,0.815065259,-1.153980794,0.80940606,-0.066095609,0.957641332,-2.303159911,-1.448397709,0.219836068,-1.130302394,0.341042192,1.072254877,1.112794438,0.85661198,-0.066116208,,,,,,,,,,,,,,,,,,,,,,,
61.5,0.524236669,-0.780768374,-0.49790039,1.237637156,-1.476373313,-0.112821676,0.963605906,0.603164862,1.042813644,-0.139441987,-1.430949644,0.455802725,0.982877561,2.216215507,-0.012478596,1.137119238,0.579051424,-1.855271814,1.156727777,0.152433556,0.446379929,-1.231141022,-1.778186065,0.101837361,-0.351474744,-0.202243305,0.477842388,0.321034592,0.446502907,-0.107070381,,,,,,,,,,,,,,,,,,,,,,,
62.5,0.62346775,-0.448434974,-0.474580612,1.240306002,-0.637247573,-0.892098676,0.907883739,0.853084184,1.031096699,-0.112970544,-0.937134659,0.940197654,0.901253102,1.255437544,-1.086681685,0.646278994,1.506462132,-2.609622383,1.218950574,-0.444086989,-0.084250549,-0.905057401,-1.74394004,-0.501140465,-1.005999783,-0.434780113,-0.251171556,-0.052361217,0.495265177,0.76093575,,,,,,,,,,,,,,,,,,,,,,,
