t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,
23.5,0.119660609,1.034980842,-0.835773756,0.854192999,0.601621384,0.075193962,-0.195235495,-0.378105459,0.579846327,1.171422814,-0.85593462,0.387910372,0.315815974,0.44590217,-0.038448296,-0.878061504,-0.847255362,0.533030313,0.122082607,-0.207044316,-0.536822719,1.31851615,0.925664819,-0.361707491,-0.934190367,-0.109356893,1.603196526,0.430814687,0.183111217,0.741605025,,,,,,,,,,,,,,,,,,,
24.5,0.523784006,0.85178537,-0.18888096,1.007961885,0.116493664,0.091583969,-0.897557236,-0.755363077,0.485299017,0.779712898,-0.303124963,0.325103032,-0.927689359,1.386830298,0.500670335,-0.446496742,-1.515475374,0.262788138,-0.374750585,0.587484399,-0.472265834,0.82327269,0.935848592,-2.007771279,-0.968991728,-0.397151474,1.594470327,0.058974979,1.162848957,1.278278242,,,,,,,,,,,,,,,,,,,
25.5,-0.228305864,0.140580886,-0.87348392,1.464848058,-0.045568651,-0.304541417,-0.500750885,-1.179257329,0.184151291,0.574485523,-0.05032655,0.73639543,-0.611359019,1.25644645,0.393844962,0.074121976,-1.822613164,-0.739266028,-1.312423012,0.87662095,-0.756026777,-0.20054272,0.648357058,-2.643521761,-0.88614073,-0.41481167,1.288788319,-0.761965759,1.133127182,0.775619064,,,,,,,,,,,,,,,,,,,
26.5,-0.269710294,1.204188609,0.052494354,1.56787861,0.477160876,-0.120617033,-0.883018628,-1.201026739,-1.256184631,1.195151154,-0.080143405,1.254015736,-0.762688186,1.37280519,0.746730523,0.380929239,-1.846811124,-0.47019201,-0.424039862,0.958604296,-1.396084533,0.492660845,1.16398143,-2.305183924,-0.257608297,0.223527229,1.493122306,-0.577460019,1.643614093,0.98291249,,,,,,,,,,,,,,,,,,,
27.5,-0.809466831,0.877101075,-0.234415718,0.681470362,-0.195123986,0.785174966,-1.188524659,-1.148621677,-0.96518842,0.402206441,0.304653799,1.228449124,0.097649996,1.508490825,0.815735698,0.644825867,-1.918118031,0.253941308,-0.631052114,0.614964846,-2.182676191,1.147308442,-0.815665637,-1.06988533,-0.477170219,0.219529565,0.623457831,-0.735174079,1.25138549,-0.545731941,,,,,,,,,,,,,,,,,,,
28.5,-0.282204327,-0.364450163,-0.225819719,0.602250885,1.056020798,0.728956798,-0.514443637,-1.180687124,-0.795882435,0.87751512,0.560935274,0.527528249,0.823359875,1.326256766,0.719755531,1.059277653,-0.487942352,0.886070978,-1.742114583,0.78656591,-2.325354236,-0.543627109,-1.701840224,-0.996941326,-0.038946129,0.902494536,-0.149977792,-0.015352703,2.17225598,0.759916723,,,,,,,,,,,,,,,,,,,
29.5,-0.462556758,0.195617353,0.263070673,0.08171231,-0.20561526,-0.773431543,-0.560849995,-0.808982733,-0.037184874,0.61856876,0.483907489,0.720367182,1.607212047,-0.871401998,0.346524651,0.767423215,0.577424715,0.997808491,-0.718833733,0.129515146,-2.234046712,-0.768184937,-1.08646116,-0.171342079,-0.183887065,0.052664983,-1.688623521,-0.579361729,2.228098725,-0.850651718,,,,,,,,,,,,,,,,,,,
30.5,-0.424421755,-1.099343042,0.776550305,-0.416360716,-0.320957583,-0.912555895,-0.361776403,-0.164855602,0.541780647,1.121344127,1.087013593,-0.120208554,1.813642744,-0.940633769,-0.789919117,0.333210204,1.178905027,0.689974914,-1.521735873,-0.323046145,-1.466542963,-1.723274802,-0.260584982,1.115637953,-0.288711821,0.020598625,-2.722830844,-0.145677304,1.628364756,-0.190778315,,,,,,,,,,,,,,,,,,,
31.5,0.031439204,-0.355491784,0.296310158,-0.137343786,-1.444771631,-0.931293293,-1.085157591,-1.274598812,0.735530084,0.482016977,0.93120394,-1.128582776,1.356954862,-0.777219935,-1.14587775,0.479851111,0.638600069,0.890493242,-0.568905724,-0.78777078,0.063603519,-1.83241632,0.787244013,1.662393116,-0.184036885,-0.035950905,-2.763720835,0.661761072,1.482131016,-0.296019193,,,,,,,,,,,,,,,,,,,
32.5,-0.835528868,-0.533352492,-0.353990249,-0.004451354,-0.800880442,-0.985195904,-1.301953259,-1.738116179,0.703260901,1.277490189,1.095070441,-0.383807783,0.720482512,0.422394726,-0.62103395,0.267727086,1.020583182,-0.103244848,-0.073295714,-0.964755628,0.758605743,-1.195572877,0.940485619,2.381097734,-0.625501058,0.964591667,-3.775984724,0.434218437,-0.562542192,0.240836126,,,,,,,,,,,,,,,,,,,
33.5,-0.35920063,0.079677603,-1.612606355,-0.468258428,-1.766554116,1.203860223,-1.237846616,-1.118664464,-0.081884674,0.92430613,1.196545722,0.061313582,0.039927195,-0.472576842,-0.15564815,-0.311187395,0.352299463,-0.508082942,0.322638574,-0.353819234,0.858703866,0.097688199,1.296443837,1.261217078,-0.614845364,1.106934118,-1.614485302,0.68166188,0.126215832,-0.031174041,,,,,,,,,,,,,,,,,,,
34.5,-0.137401704,0.900989107,-0.754191471,-0.64076876,0.247885411,1.143126742,-0.850329472,-1.011521169,0.549353015,0.5677422,0.926862305,0.522641254,0.241301564,0.658270318,-0.141718642,0.472747005,-0.546010558,-0.411211036,-0.021169323,-1.443701762,0.830915849,-0.156515563,0.682608161,0.777601921,-0.577550203,-1.080903406,-0.799853923,0.674641104,-0.283411497,0.512004463,,,,,,,,,,,,,,,,,,,
35.5,0.539496348,1.936492279,-0.138583946,-0.275083336,0.232827855,1.191087834,-0.621427433,-0.472114153,0.6667489,0.548108879,0.550820777,0.348524408,-0.461455635,-0.327406766,0.506603444,-0.10944766,,-0.709298227,0.499564436,-1.504082744,0.652893335,-0.26669908,0.17191409,0.16351715,0.763057866,-0.650606892,0.536603722,-0.790850492,0.010500424,0.854537127,,,,,,,,,,,,,,,,,,,
36.5,-0.111432653,1.12717059,-0.826952466,-1.921303316,0.618350814,1.395801114,0.136812517,-0.624542842,0.283807446,-0.788333655,0.653665156,-0.111019576,-0.60270525,0.728775056,0.569950152,0.11251159,,-1.289355478,1.339415376,-1.191165575,0.126469754,-0.844270547,0.880746976,0.069512142,0.661446217,-3.687551545,1.672621026,-0.562608392,-0.598075432,0.152050792,,,,,,,,,,,,,,,,,,,
37.5,0.475510189,2.534609691,-1.177714261,-1.816496577,0.560731429,1.248865465,-0.210528936,-0.966323501,0.668284788,0.280426986,0.972158063,0.007004885,-0.760029439,-0.052882057,0.327503991,0.933899684,,-0.864800201,1.339209535,-0.753766664,0.636025074,-1.86014219,0.285296967,0.633112505,1.278721764,-2.492823321,1.497792211,-0.25198036,-0.591662883,1.312791017,,,,,,,,,,,,,,,,,,,
38.5,0.455315878,1.752025593,-0.594613065,-2.659907218,-0.426871437,1.033922877,-0.079835418,-1.862874205,1.24859905,-0.568284557,-1.27407637,-1.098725872,-1.451308506,0.422578255,-0.122581874,1.107412873,0.023098421,-0.250031978,0.678181296,-0.881337338,1.300150961,-2.103847771,0.206086488,0.633253095,0.508229476,-2.771244895,1.316495366,-0.544910541,-0.638017379,-0.329708654,,,,,,,,,,,,,,,,,,,
39.5,0.220529772,1.075742008,0.152848294,-1.493437157,-0.014520128,0.198410055,-0.647011204,-1.095025286,0.196730806,0.556482163,0.609060874,-1.091417223,0.486197938,-0.064765745,-0.460404372,0.478287066,0.06645347,0.211724914,1.229361361,-0.472195353,1.443152369,-1.084194197,1.018530419,1.112099179,-1.236366743,-1.749702332,0.536358432,-0.143740668,0.013309224,1.045993336,,,,,,,,,,,,,,,,,,,
