t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,,,
25.5,-0.467855563,0.295234777,-1.76601849,-0.602304677,-0.105941164,-2.015260496,0.462047747,0.176078475,0.433132289,-0.917824559,-0.762369081,-0.2520833,-0.406229901,-0.34660451,0.684697321,0.376321919,0.382867254,-0.074575427,0.040610823,-1.417294189,0.397368815,-0.025044387,-0.784626944,-0.714536477,1.287775434,0.949264089,-0.490535488,-0.235594442,-1.683639627,0.543468885,,,,,,,,,,,,,,,,,,,,,,,,,
26.5,-0.231825439,-0.074724877,-1.093947779,-0.916180932,0.28507308,-1.255191977,-0.586921775,0.034916949,0.413050162,-0.684686261,-0.11339333,-1.41431307,-0.161619191,-0.307658831,1.288280016,0.219225407,0.514132123,-0.632604171,-0.724984468,-2.121532308,0.916891344,-0.150823763,-1.329727959,-0.966047049,1.420248828,0.933670555,-0.918828228,0.302067066,-0.642427111,0.366429421,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,-1.317698442,0.504631762,-1.213130377,-0.247930122,-0.900205685,-0.279873102,-0.735471001,-0.632356728,0.485042104,-0.538359477,0.649206634,0.395301612,-1.346964838,0.247632205,0.865838954,-0.029578249,0.530680569,-0.882234398,-0.161149473,-1.570938132,1.372154037,-0.068908558,-0.265663111,-0.781088803,1.3613119,0.31438543,0.569520359,-0.863846063,-1.138466251,0.953240424,,,,,,,,,,,,,,,,,,,,,,,,,
28.5,-0.955221102,0.82643611,-0.892711966,0.025275604,-0.3120627,0.467677608,-0.445267169,-0.619955872,-0.20083745,-0.685058163,1.225772694,-0.148814515,-1.532473935,0.212928969,1.135381322,-0.73209885,0.21445071,-0.879872413,-0.56305215,-2.202597431,0.974916507,-0.43058857,0.192350486,-1.47652177,1.463470714,-0.216593446,-0.079512627,-0.843572523,-1.659889959,0.647138183,,,,,,,,,,,,,,,,,,,,,,,,,
29.5,-0.609534164,-0.112843721,-1.683333126,1.143456437,-1.120514987,0.55240765,-0.945029482,0.031375506,0.206670764,-0.30956391,-1.173235269,-0.670598888,-0.612996796,-0.721881925,1.441244984,-0.759029451,-0.454520629,-1.647205883,-0.931385782,-2.011919577,1.13512023,-0.523005141,-0.90032954,-0.931770437,0.968089394,-1.276992368,0.671955777,-1.496612618,-0.441075749,-0.416530224,,,,,,,,,,,,,,,,,,,,,,,,,
30.5,0.081307044,-1.173168755,-0.757710448,0.673277541,-0.49893098,1.0299629,-0.40777609,0.503991375,0.130426411,0.39945138,0.414967887,1.269263256,0.433946905,-2.637095319,0.698895784,-0.475247925,-0.679381987,-1.418123773,-1.735854354,-1.641398449,1.166809591,0.178421633,-0.745534909,0.203196914,1.769911537,-0.532750897,-0.078484604,-1.0015184,0.173502893,-1.398903377,,,,,,,,,,,,,,,,,,,,,,,,,
31.5,0.132720121,-0.448136411,-0.682033343,-0.155604233,0.140163447,1.189528533,-0.138430434,0.591129183,0.670559718,-0.061284771,0.035477029,1.610448573,0.990351476,-2.76788085,0.275099893,-2.06503956,-0.138381394,-1.460229654,-1.502205178,-2.348483433,0.401927385,0.699174767,-0.452313326,0.663349056,0.98131644,-1.905288929,0.666996904,-1.404139287,-0.485896817,-0.705443866,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,1.388247866,-0.409362229,-0.661983832,-0.811595417,0.207999464,1.444112444,0.391198689,0.291885026,0.533160949,0.381407606,-0.665549487,1.980441657,1.337935229,-1.518522122,-0.659217382,-1.163270243,0.397264135,-1.308804757,-0.870790297,-0.57885135,0.069839746,0.202071638,-0.042891815,-0.287446317,0.974273295,-1.149429069,-0.480202009,-0.919689537,0.216300561,-1.337562182,,,,,,,,,,,,,,,,,,,,,,,,,
33.5,0.602351007,-0.04850547,-0.791647218,-1.110440975,0.544550136,1.116807585,0.250820917,0.55520103,0.660310037,0.66379467,-0.703182686,2.050137926,1.299505325,-1.090445554,-1.406945555,0.022234836,0.341310554,-1.331185732,0.779644302,-1.193366116,0.484555039,1.20124152,0.863243442,0.131215699,0.761277904,-1.034082908,0.03303335,-1.981652699,0.361427233,-0.915087625,,,,,,,,,,,,,,,,,,,,,,,,,
34.5,1.234205472,0.137224277,-0.903150353,-0.91962404,0.147849122,1.116465576,0.742241089,0.581520766,0.356635653,0.506690316,0.35744399,1.293959861,0.765125802,-0.317212974,-1.332125832,0.144851396,1.083669532,-0.434001382,1.273518005,-0.192725576,0.542102536,1.91233146,-0.139570031,0.171436695,0.373305095,0.826936626,1.797243936,-1.189749016,-0.259641078,-0.108697526,,,,,,,,,,,,,,,,,,,,,,,,,
