t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03
14.5,0.497597334,1.558362795,1.294431187,1.650787702,1.626288743,2.040283576,1.945934812,0.959003544,1.837420429,0.487902222,-0.15476341,1.536779078,1.240615424,0.237153726,1.05851941,0.740585365,-0.366329313,1.255914815,0.975681001,0.226277491,2.160402849,1.957603155,1.327233587,1.263319006,1.287724899,1.45401179,0.488227032,-0.662007391,0.394536271,0.341402198
15.5,0.13999428,1.782912153,0.790843571,1.712052298,1.377585855,1.401766278,1.916964984,1.153345003,2.274966734,1.027352708,-0.148568073,1.516642679,1.017965935,0.037111648,1.732130612,0.187640492,-1.115869631,0.587803478,1.326534819,0.345715631,1.616509337,0.733485965,1.298550562,0.729114119,0.90176078,2.134262014,1.11627933,-0.785910425,0.550449414,0.721343042
16.5,0.43527719,0.877420716,1.226003457,1.725667992,2.104830504,1.740262774,2.477010932,1.242618496,1.755821923,0.772316891,-0.40719701,1.19025925,0.489812372,-0.037763847,0.858692549,-0.175349554,-0.915114689,0.569137935,0.841742035,-0.394522589,1.275077613,0.184295569,0.691396719,1.133889332,0.848511095,2.102162322,1.381721449,-0.263144242,0.807734359,1.01739687
17.5,0.877525252,0.78003992,1.402701488,1.348888721,2.11406098,1.421177621,1.924656451,1.710148541,1.620930126,0.941693308,-0.174615897,0.8783974,0.263727849,0.673053809,0.813704057,-0.704707648,-1.747266859,1.060002335,0.732893807,-0.320512539,0.979885158,0.416062339,1.714084114,1.144257843,0.987642989,2.534559207,0.961593879,-0.098386899,1.633005996,1.495329439
18.5,0.839224185,0.0710309,1.334544438,1.808257168,1.650339314,1.056595583,1.147288991,1.431519669,1.6979258,0.724604455,-0.614656854,1.083762426,-1.223342568,-0.149680187,1.156307972,-0.144467767,-1.136524362,0.69582729,0.779618515,-0.041901395,0.535483959,0.594556686,1.010612074,0.371237105,0.430498149,2.740605002,0.545688069,0.227113327,2.183464301,1.566257867
19.5,0.732877466,-0.321372899,0.499043707,1.54569426,1.13815961,1.045233274,0.782213021,1.293182712,0.943732008,0.718288624,-1.012754889,0.900125987,-1.456958725,-1.321451136,1.034088281,0.17716392,-0.467065514,-0.642664858,0.41715798,-0.486651618,0.070133393,0.216579354,0.596547071,0.565747228,-0.238663589,2.729200522,0.511291685,0.730806238,1.098099527,2.317976219
20.5,0.229378397,-1.339882212,1.021230377,1.27376326,0.746908073,1.130832225,0.802289863,1.294623819,0.798857808,0.756896961,-0.104903796,0.512545287,-0.869438828,-1.485290728,0.919013224,-0.281476784,-0.250035749,-0.320528106,0.190142056,-0.4507178,1.045936438,0.721524036,0.550988113,1.080707036,-1.058429089,2.257550703,-0.383547331,0.530911484,1.411494617,2.498324037
21.5,1.156754899,-0.489399595,0.629599669,1.320160703,0.024310673,0.316427183,0.392935352,1.403348948,0.469137107,1.158315809,-0.230133431,0.807223154,-0.790073268,-1.875325944,0.79867888,-0.28132959,-0.317208964,0.523431149,0.629208191,0.935665184,1.019698,0.2399248,0.790440342,1.025625036,-0.224497778,2.076010283,0.016279298,-0.355095574,0.939895137,2.287419616
22.5,1.079883076,-0.325447282,0.14796386,1.063566405,0.34621222,-0.638143324,0.919426528,1.406753594,0.587099384,0.478708176,-0.037229207,0.082311287,0.254374002,-2.290219277,1.149085453,-0.324224148,0.007315506,0.908821492,0.59759013,-0.017890116,1.206183391,0.081690511,1.335367855,1.356985301,-0.258577252,1.997163748,0.20941274,-0.250039431,0.765681657,1.786180394
23.5,0.247936389,0.039433957,-0.404858322,1.025730132,-0.361993246,-1.239969674,1.271266257,1.25893689,0.686668502,0.959092427,0.267219121,0.762147066,1.490595269,-1.220078389,-0.154680648,0.250059544,0.446360574,0.893319925,-0.092550263,0.817197247,1.709236801,-0.098666926,0.08431614,1.810428947,0.134078242,2.332346259,0.476768937,-0.32966499,0.703876653,1.623795034
24.5,-0.087982321,0.491641839,0.315722236,-0.026021482,0.580541735,-1.96532113,1.107020418,1.187786619,0.885363373,0.474545381,1.168480848,0.626852484,1.811015317,-0.369521994,0.041952323,0.169914879,0.318380822,1.616756227,0.3534286,0.341361601,1.507340632,-0.337551312,0.21615253,1.204497574,0.541679546,2.361673521,-0.482519753,0.356843443,0.790122503,1.549197099
25.5,0.090006253,1.091580855,-0.58450428,-0.233900651,0.176253786,-1.53375672,1.051554538,0.515944444,0.787894414,0.208879633,0.292605774,0.128419492,0.490487485,0.484442276,0.60124365,1.171846516,0.276830773,0.475356603,1.000750592,0.308149596,1.277252307,0.33365151,0.613293259,0.588246533,1.018756707,1.641394459,0.424647401,-0.103058636,-0.431824663,1.394853148
26.5,0.175686316,0.73546052,-0.815462654,-0.550427523,0.376783026,-0.714367726,0.150180539,0.35065656,0.793222107,0.562057889,0.75171815,-0.452964979,0.025101821,0.537578501,1.333761457,1.040869778,0.487707745,-0.766165311,0.360779027,-0.614013942,1.475702176,0.235237709,0.272712597,0.235243288,1.251438642,1.761377548,0.122508697,0.493599108,0.366981281,1.297368211
27.5,-0.805508602,1.252097702,-0.67421485,-0.486685216,-0.798943072,0.27127202,-0.639087064,-0.289191943,0.968714553,0.699727419,1.303109411,0.630669747,-1.106230126,0.968186773,0.511712002,0.83808621,0.508261127,-0.998998564,0.874692831,-0.299988014,1.800257414,0.870508107,0.860714714,0.417099345,1.347278305,1.351427078,1.419510213,0.243171141,-0.297212128,1.783500429
28.5,0.349260352,1.553338839,-1.193147223,-0.218797084,-1.152340612,1.013147448,-0.348227867,-0.222367732,0.331359567,0.62490901,1.840262825,0.263597213,-1.215540992,0.856767414,1.339543676,0.234778853,0.19318492,-1.019938842,0.582190919,-0.850623833,1.641893001,0.720942068,0.985730419,0.018188573,1.27419664,0.900934254,0.991865095,0.256466292,-0.853768945,1.44127546
29.5,0.431189351,0.838821593,-1.718618234,0.952678983,-1.858512967,0.571769341,-0.670065304,0.535495741,0.755533297,0.82392897,0.237806383,0.048765426,-0.46267391,-0.008947003,0.859216365,0.240941407,0.37868306,-1.724328857,0.26820324,-0.754338734,1.656593381,0.793288695,-0.011191819,0.373537863,1.627840358,0.185486529,0.626429363,-0.381515989,0.432983035,0.498045581
