t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,
96.5,-0.514008812,-0.300878544,1.163238254,-0.826431523,0.025185937,-0.009160445,-0.806687285,-1.309296412,0.070706859,1.231219667,0.762275114,-1.615199379,0.104835629,0.345130018,1.00373262,-1.602184609,,-0.608030213,0.240380596,-0.116712776,-0.955554074,-0.047351923,0.152667152,-1.29805871,-1.75327877,-0.967767953,-0.320500871,-1.224841249,-0.588988199,0.394267499,
97.5,-1.357774016,-1.301107768,1.706788229,-0.158451232,-0.363059166,-0.195978099,-1.189157989,-0.82313063,0.075873988,0.09643575,0.176240568,-1.94878889,1.697484626,-0.078584338,0.015850228,-0.738720701,,-0.584551373,0.25338766,0.308702204,-0.425704736,-1.08376311,-0.433576806,-0.251769383,-0.699751777,-0.237627466,-0.069795285,-0.512951455,-0.588031906,0.368096935,
98.5,-0.548047227,-1.753369201,0.858886516,0.461746091,0.469042738,0.246355052,-1.130462785,0.685392658,0.097793631,-0.56547999,0.196086372,-2.010904167,1.084753421,1.452763656,-1.269099691,-0.550308461,,-0.248008828,0.991016116,0.096314621,-1.21507201,-1.039667137,-0.774989248,0.508814411,-0.622618974,-1.072229272,-0.358361107,-0.649107868,0.052902632,0.621259781,
99.5,-0.063737308,-1.762191073,1.634046816,-0.553752303,-0.459682605,0.654263673,0.100977309,0.757516348,-0.725308152,-1.201071872,0.376331251,-2.442081896,-0.396316244,1.203782779,-1.317954383,0.33419463,,-0.746914824,1.651045623,0.073274185,-0.631652225,-0.288688497,-1.518468849,0.953566184,-0.812169767,-0.934418782,0.062442379,-0.614261611,-1.733990949,0.905364676,
100.5,-0.466122898,-1.553965199,1.473688308,-1.687204017,-0.689912019,0.39982937,-0.747763979,1.974192108,-0.734129202,-0.995957984,0.614489121,-2.494891028,-0.434810231,-0.530992697,-0.332642415,0.417284711,,-1.033404104,0.325456636,-0.577702903,0.833406643,-0.215481254,-2.132632635,0.852751239,-0.396332625,-0.090647618,0.339228188,0.15024262,-1.715214023,0.860183273,
101.5,-0.51676793,-1.175606768,1.465990207,-1.445237757,-0.497347765,-0.375419167,-1.105443632,2.033022345,0.046789333,-1.641137777,0.383273448,-2.416663892,-0.365532828,-1.896007602,-0.0389581,0.253226718,,-0.374596101,-0.050314227,-0.849096947,1.226935661,-0.320667707,-1.259989028,0.097317443,-0.636686902,-0.836575247,0.306481603,0.519821387,-2.09760299,-0.235319331,
102.5,-0.141887874,-0.562600393,1.162320497,-1.786624054,-0.33043043,-0.091711107,-0.874836594,1.160342703,0.148513488,-1.689730774,0.810281328,-1.341548224,-0.013364081,-0.421273924,-0.581852382,-0.053424748,,-0.372438246,-1.321640913,-1.561978784,-0.106501346,0.186435366,-1.075869111,-0.422126678,-1.782356379,-0.927090609,-0.24208859,0.563456536,-2.421814252,0.869834661,
103.5,-0.134552843,0.053372688,0.566736501,-1.044209152,-0.340851951,-0.255611213,-0.148631263,1.750833134,-0.750352491,-1.769536435,0.600187503,-0.792936266,-0.618276512,-1.72975898,0.4154743,-0.144532972,,-0.949656963,-1.638854261,-1.971260391,-0.923827292,-0.460697488,-0.577565157,-0.199093727,-0.735064162,-0.172857369,-0.04474198,0.573572576,-2.480807642,0.476748942,
104.5,1.018664962,0.030855784,-0.797021444,-1.492195089,0.104812368,0.487108804,-1.759757142,1.792419397,-0.496865774,-1.85264496,0.207106928,-0.092833083,-0.584556909,-1.515341724,0.510635007,-0.348306926,,-1.179089599,-0.869997636,-2.827284083,-1.206010363,-0.044719541,-0.504142137,-0.645208554,0.805843078,1.362016004,-0.767193544,1.441128942,-1.308786273,0.461877726,
105.5,0.467316625,-0.027967524,-1.102190864,-0.945608097,0.642535384,0.172104815,-2.053223625,1.009856834,-0.52246125,-0.858758901,-0.380245848,-0.269984388,-1.002842622,-1.849262597,0.302264327,0.597166147,,-1.144413657,0.348166648,-2.826990204,-1.879703875,-0.629988806,-0.047739824,-0.238292424,0.399323271,0.603515253,-1.362686378,0.780816642,-0.711261409,-0.634080817,
