pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170707_05_06_02,invisible,0.1,P2,20.0,60.0,40.0,47,45,1,13.0,0.2826086956521739,0.3448630434782609,0.06641457571549746,0.01560034582273343,-0.9373597159269411,0.8572142785721428,0.2166783321667833,0.3402239130434783,0.06549909342137357,-0.0090715138261508,-0.8796338144812171,0.8523147685231477,0.23397660233976603,0.0343,0.3452108695652174,0.06706787644637258,0.006354430691958336,-0.9334151792192222,0.8578142185781422,0.2171782821717828
20170707_05_06_02,invisible,0.1,P3,60.0,180.0,119.30000000000001,138,122,1,39.0,0.3,0.32376000000000005,0.037975039852320064,0.047708295130894265,-0.6256741294386938,0.7608239176082392,0.293970602939706,0.3246892307692308,0.03778848100066894,0.011327382575461951,-0.6533533530705756,0.7686231376862314,0.2882711728827117,0.016899999999999915,0.32424000000000003,0.03840875740189999,0.0019234972211926943,-0.6311060716273249,0.7639236076392361,0.28887111288871115
20170707_05_06_03,invisible,0.1,P1,0.0,20.0,8.7,14,11,1,7.0,0.56,0.41344800000000004,0.13614890726147916,0.1734033590477216,1.076409667530723,0.2201779822017798,0.885011498850115,0.401104,0.14281127648077727,0.16417643491587997,1.1126292258958124,0.20317968203179682,0.8854114588541145,0.05159999999999998,0.414224,0.13581812279754138,0.20972184514288186,1.0733177354932413,0.21657834216578342,0.8817118288171183
20170707_05_06_03,invisible,0.1,P2,20.0,60.0,40.0,51,45,1,12.0,0.25,0.35618125,0.06199040337023188,-0.08854623168825826,-1.7128659312933072,0.9724027597240276,0.0755924407559244,0.35906875,0.06134842237577888,-0.15175396058860283,-1.7778574538057184,0.9751024897510249,0.07229277072292771,0.026699999999999946,0.3570375,0.06261071565660797,-0.11497946471822514,-1.709571578562578,0.9689031096890312,0.07549245075492451
20170707_05_06_03,invisible,0.1,P3,60.0,180.0,118.1,124,129,1,30.0,0.23715415019762845,0.3215715415019763,0.03881659722791803,-0.08615284535742243,-2.17477567156846,0.9902009799020098,0.023997600239976002,0.31991383399209483,0.03797047238685332,-0.08786056553640381,-2.1795800418622293,0.9906009399060094,0.0235976402359764,0.03069999999999995,0.3205304347826087,0.038196722352050114,-0.08945325361990411,-2.182812541257358,0.9887011298870113,0.022797720227977204
20170707_07_08_01,invisible,0.1,P1,0.0,20.0,11.1,10,16,1,3.0,0.23076923076923078,0.3334153846153846,0.10551549415036986,-0.44663351034390136,-0.9728064553237372,0.8804119588041196,0.2181781821817818,0.3106,0.10871957622700949,-0.20059173133441358,-0.7342814606274802,0.8679132086791321,0.3297670232976702,0.11240000000000006,0.3349,0.10531395015330366,-0.4651330602207942,-0.9887652023230338,0.8847115288471152,0.21087891210878912
20170707_07_08_01,invisible,0.1,P2,20.0,60.0,40.0,50,54,1,21.0,0.40384615384615385,0.3897076923076923,0.06493972308166363,0.048037168847995956,0.21771668968594168,0.47095290470952905,0.636936306369363,0.3892884615384615,0.0650469081124992,0.05248009963474621,0.2238029866464163,0.47005299470052997,0.6394360563943605,0.008099999999999996,0.3892365384615385,0.06411224484933577,0.019318401194193622,0.2278755863087942,0.47135286471352866,0.6441355864413558
20170707_07_08_01,invisible,0.1,P3,60.0,180.0,118.19999999999999,144,177,1,72.0,0.4485981308411215,0.40326230529595014,0.039331862345599336,-0.04482067333786011,1.1526488409528304,0.137986201379862,0.8888111188881112,0.40124797507788157,0.03953048134673472,-0.061778134171204716,1.19781379204357,0.12368763123687632,0.9011098890110989,0.022399999999999975,0.40256884735202486,0.03893362850632182,-0.08135913908611601,1.1822500305005648,0.127987201279872,0.8968103189681031
20170707_07_08_02,invisible,0.1,P1,0.0,20.0,11.0,12,21,1,6.0,0.36363636363636365,0.3968181818181818,0.09387453613172285,0.03793172424648457,-0.35346984974986284,0.7525247475252475,0.4854514548545146,0.3958969696969697,0.0948402860268794,0.01596916064278947,-0.34015719914069875,0.7489251074892511,0.49135086491350866,0.0087,0.3971272727272728,0.09450030716226385,0.011527502771425478,-0.3544000024613975,0.7538246175382461,0.4854514548545146
20170707_07_08_02,invisible,0.1,P2,20.0,60.0,40.0,52,65,1,19.0,0.3247863247863248,0.42660341880341873,0.05614251143431853,0.03061236064419344,-1.8135471929539593,0.977002299770023,0.0418958104189581,0.4304393162393163,0.05610048221489226,0.03876249889365774,-1.8832813423650965,0.9857014298570143,0.037696230376962306,0.04040000000000005,0.4258923076923076,0.056289194728217314,0.051654977920020904,-1.7961881209023447,0.9784021597840216,0.0420957904209579
20170707_07_08_02,invisible,0.1,P3,60.0,180.0,119.6,150,201,1,70.0,0.39886039886039887,0.4281407407407407,0.03782989625555696,0.002862024488193336,-0.7740000575878068,0.8076192380761924,0.23607639236076391,0.4286250712250712,0.0377819693933507,-0.021642476583101852,-0.7878009760367511,0.8153184681531847,0.2313768623137686,0.007900000000000018,0.42901880341880344,0.03749833222640988,0.0033990103164438733,-0.8042598901815736,0.8135186481351865,0.22667733226677333
20170707_07_08_03,invisible,0.1,P1,0.0,20.0,0.5,0,1,0,,,,,,,,,,,,,,,,,,,,,
20170707_07_08_03,invisible,0.1,P2,20.0,60.0,40.0,47,73,1,26.0,0.43333333333333335,0.42925,0.05783736599275064,-0.000935495493898618,0.07060026443536752,0.5271472852714728,0.5716428357164284,0.42868166666666674,0.057137209290557725,-0.034224677615074056,0.0814122132393912,0.522047795220478,0.5762423757624238,0.011399999999999966,0.42807166666666674,0.05759250431735231,0.008363483194964355,0.09136026865012184,0.5115488451154885,0.5853414658534146
20170707_07_08_03,invisible,0.1,P3,60.0,180.0,119.4,140,202,1,81.0,0.47368421052631576,0.41577368421052635,0.035950128588572106,0.023914411702061242,1.6108572789416424,0.07069293070692931,0.9458054194580542,0.41482222222222226,0.03599647344839033,0.05849651729143209,1.6352154159903032,0.0660933906609339,0.9471052894710529,0.021199999999999997,0.41580994152046785,0.036036862915875184,0.007622769314188869,1.6059741143658977,0.0695930406959304,0.9487051294870513
20170707_09_10_01,invisible,0.1,P1,0.0,20.0,14.6,18,23,1,11.0,0.5365853658536586,0.40411219512195123,0.11005793237605865,-0.05835798241033086,1.2036676309623708,0.14708529147085292,0.9094090590940906,0.4010780487804878,0.11150470601369403,-0.019345427766041097,1.2152609689543412,0.14358564143585642,0.9108089191080891,0.01899999999999996,0.4036878048780488,0.11091702185622981,-0.06357821853847524,1.1981710178611815,0.1496850314968503,0.9072092790720928
20170707_09_10_01,invisible,0.1,P2,20.0,60.0,40.0,50,50,1,19.0,0.38,0.37439799999999995,0.06281410794730528,0.019489097800753623,0.08918378662162274,0.5807419258074192,0.5806419358064193,0.37145399999999995,0.062226305493010996,0.0380955154082216,0.13733741594155716,0.5605439456054394,0.6234376562343765,0.04279999999999995,0.37467999999999996,0.06295850996805546,-0.020235514884875558,0.08450009383480268,0.5815418458154185,0.5751424857514249
20170707_09_10_01,invisible,0.1,P3,60.0,180.0,119.5,145,150,1,54.0,0.36610169491525424,0.3696237288135593,0.03889015328254195,-0.018878896210648644,-0.09056364146258435,0.5785421457854215,0.49895010498950104,0.36930508474576274,0.03876419804391481,0.022253467298888538,-0.08263784605783592,0.5711428857114289,0.49855014498550143,0.01150000000000001,0.3685877966101695,0.03857005560528355,0.028085611796075577,-0.06445678275285385,0.5657434256574343,0.5055494450554945
