pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170706_05_06_03,visible,0.1,P2,20.0,60.0,40.0,59,46,1,22.0,0.41904761904761906,0.38792000000000004,0.05912545989163691,0.08439706847691127,0.5264672630820739,0.35606439356064395,0.7619238076192381,0.3849885714285714,0.05768100697490359,0.07202003263267703,0.5904724866170661,0.33586641335866413,0.777922207779222,0.023700000000000054,0.38877333333333336,0.0581846018516503,0.09258491205578097,0.5203143916233058,0.3598640135986401,0.7607239276072393
20170706_05_06_03,visible,0.1,P3,60.0,180.0,119.69999999999999,152,147,1,56.0,0.3745819397993311,0.3727946488294314,0.03949281370271982,-0.03652480091847934,0.04525610617043903,0.521947805219478,0.5536446355364464,0.37177591973244145,0.039895545508399716,0.05356009127164341,0.07033416967061744,0.5032496750324967,0.5642435756424358,0.020299999999999985,0.3730060200668897,0.03965071970298283,0.0027525178124076658,0.03974504735970313,0.5205479452054794,0.5537446255374463
20170706_11_12_01,visible,0.1,P1,0.0,20.0,13.6,17,18,1,6.0,0.34285714285714286,0.3728457142857143,0.1310293408621743,0.09674358672952343,-0.22886913138115736,0.6722327767223277,0.515948405159484,0.37202857142857143,0.13632444967215157,-0.04605445164923722,-0.21398530228130988,0.6573342665733427,0.48755124487551244,0.03390000000000001,0.3719314285714286,0.13138696515501427,0.01627295114568776,-0.22128744415386264,0.6781321867813219,0.512048795120488
20170706_11_12_01,visible,0.1,P2,20.0,60.0,40.0,36,45,1,19.0,0.4691358024691358,0.29705432098765433,0.06529291871536548,0.1736441183589894,2.635530542471909,0.008799120087991202,0.9964003599640036,0.2988197530864197,0.06466798703326994,0.08865540994836257,2.633699565986073,0.0064993500649935,0.9981001899810019,0.026500000000000024,0.2975679012345679,0.06541742059901691,0.1193867805181972,2.6226638051997146,0.006899310068993101,0.9979002099790021
20170706_11_12_01,visible,0.1,P3,60.0,180.0,118.69999999999999,110,130,1,38.0,0.31666666666666665,0.30075,0.0393051847128351,0.07704616850889781,0.4049508171238551,0.37636236376362364,0.7035296470352965,0.2997158333333334,0.03915686498320679,0.10941623321127011,0.43289556864685036,0.36806319368063195,0.7088291170882912,0.022199999999999998,0.30145416666666663,0.03986952569865512,0.1139025250750806,0.3815570848517309,0.38236176382361764,0.6974302569743026
20170706_11_12_02,visible,0.1,P1,0.0,20.0,14.0,18,18,1,7.0,0.3888888888888889,0.3867111111111111,0.12408631797797923,0.1661393180789788,0.017550506883154147,0.5508449155084492,0.6046395360463953,0.37354444444444446,0.13160775460607527,0.12351990247156873,0.1165922516524426,0.5326467353264673,0.6336366363363664,0.06390000000000001,0.3853722222222223,0.12339070748373235,0.20750719184530825,0.028500255314041736,0.5393460653934606,0.6171382861713829
20170706_11_12_02,visible,0.1,P2,20.0,60.0,40.0,44,46,1,20.0,0.4444444444444444,0.33526222222222224,0.09827907269335012,0.18665617500099102,1.1109407041608137,0.17118288171182883,0.8807119288071192,0.3386777777777778,0.09730790430817414,0.14664464940411695,1.0869278032306973,0.17448255174482552,0.8815118488151185,0.021499999999999964,0.33669777777777776,0.09849194345504515,0.20692765825389905,1.0939642663853582,0.17268273172682733,0.8744125587441256
20170706_11_12_02,visible,0.1,P3,60.0,180.0,119.19999999999999,97,125,1,36.0,0.32432432432432434,0.2748198198198198,0.04219926862656088,0.18646834116404434,1.1731128551679602,0.15028497150284972,0.8923107689231077,0.27388558558558557,0.04208802372720416,0.16667885293745124,1.1984107181097463,0.1436856314368563,0.8944105589441056,0.01090000000000002,0.27373693693693696,0.04141679882707908,0.15994923600168,1.2214219548593506,0.14358564143585642,0.9013098690130987
20170706_11_12_03,visible,0.1,P1,0.0,20.0,13.9,15,16,1,4.0,0.25806451612903225,0.3229806451612903,0.13375846651238846,0.014822962627706743,-0.4853235142782208,0.7305269473052695,0.40835916408359163,0.3232774193548387,0.13792788557546679,-0.028917071799115103,-0.472804342310645,0.7546245375462454,0.408959104089591,0.03599999999999992,0.3222,0.1346131859965337,0.022635429201339027,-0.4764428045898804,0.7258274172582742,0.40785921407859216
20170706_11_12_03,visible,0.1,P2,20.0,60.0,40.0,43,45,1,10.0,0.22727272727272727,0.32741363636363635,0.06781146311307254,0.24070878673648746,-1.476754880276343,0.9564043595640436,0.0806919308069193,0.32812272727272723,0.06769206054146239,0.26027209552347985,-1.489834984979189,0.9611038896110389,0.0811918808119188,0.009099999999999997,0.3278022727272727,0.06898481100729706,0.24316514462365138,-1.4572707236077176,0.954904509549045,0.08489151084891511
