pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170707_03_04_01,invisible,0.1,P2,15.0,55.0,40.0,61,52,1,29,0.5132743362831859,1.7610374981881687,0.05299470052994701,0.9786021397860214,0.41336106194690275,0.05673546102174326,0.075,3.0,36.0,1.0
20170707_03_04_01,invisible,0.1,P3,55.0,180.0,124.9,184,137,1,61,0.38006230529595014,0.1213123458202111,0.48225177482251774,0.5864413558644136,0.3757146417445482,0.035838591051938824,0.0,0.0,120.0,0.0
20170707_03_04_02,invisible,0.1,P1,0.0,15.0,9.4,16,14,1,5,0.3333333333333333,-1.069883526007268,0.9083091690830917,0.23757624237576241,0.45502666666666663,0.11374446879043412,,,0.0,
20170707_03_04_02,invisible,0.1,P2,15.0,55.0,40.0,63,49,1,22,0.39285714285714285,-0.28106973699123833,0.661033896610339,0.46705329467053297,0.41046785714285705,0.06265603146831554,0.0,0.0,36.0,0.0
20170707_03_04_02,invisible,0.1,P3,55.0,180.0,124.69999999999999,186,133,1,48,0.30094043887147337,-1.9968761943046935,0.9861013898610139,0.023497650234976502,0.3705793103448276,0.034873905388812694,0.0,0.0,120.0,0.0
20170707_03_04_03,invisible,0.1,P1,0.0,15.0,9.9,18,14,1,5,0.3125,-1.2492352150009862,0.9303069693030697,0.14528547145285473,0.4600375,0.11810225826837864,,,0.0,
20170707_03_04_03,invisible,0.1,P2,15.0,55.0,40.0,66,52,1,31,0.5254237288135594,1.4059339497026317,0.10108989101089891,0.9315068493150684,0.433777966101695,0.06518497026922801,0.125,5.0,36.0,1.0
20170707_03_04_03,invisible,0.1,P3,55.0,180.0,124.5,190,143,1,54,0.32432432432432434,-1.8304596805537836,0.9749025097490251,0.0352964703529647,0.39195495495495497,0.03694734789797161,0.0,0.0,120.0,0.0
20170707_05_06_01,invisible,0.1,P1,0.0,15.0,0.40000000000000036,1,0,0,0,0.0,,,,,,,,0.0,
20170707_05_06_01,invisible,0.1,P2,15.0,55.0,40.0,42,38,1,13,0.325,0.4149346420658986,0.41345865413458655,0.7389261073892611,0.29453500000000005,0.07342120158567433,0.0,0.0,36.0,0.0
