pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_03_04_01,invisible,0.1,P2,15.0,55.0,40.0,48,59,1,23,0.4299065420560747,0.5740997681318354,0.3583641635836416,0.7728227177282272,0.395414953271028,0.0600794334010707,0.0,0.0,36.0,0.0
20170705_03_04_01,invisible,0.1,P3,55.0,180.0,124.8,168,162,1,71,0.4303030303030303,0.8705591856079156,0.2078792120787921,0.8307169283071693,0.3947381818181818,0.0408528783255711,0.0881410256410256,5.0,120.0,3.0
20170705_03_04_02,invisible,0.1,P1,0.0,15.0,11.2,20,17,1,13,0.7027027027027027,2.000097939968406,0.0291970802919708,1.0,0.490772972972973,0.1059596760212039,0.0,0.0,7.0,0.0
20170705_03_04_02,invisible,0.1,P2,15.0,55.0,40.0,65,57,1,28,0.4590163934426229,0.0518259218974113,0.5326467353264673,0.5924407559244076,0.4560967213114754,0.0563361349736714,0.0,0.0,36.0,0.0
20170705_03_04_02,invisible,0.1,P3,55.0,180.0,124.6,185,176,1,77,0.4265927977839335,-0.1809498342926408,0.6021397860213978,0.4640535946405359,0.4331700831024931,0.0363486672661026,0.0481540930979133,6.0,120.0,1.0
20170705_03_04_03,invisible,0.1,P1,0.0,15.0,11.7,20,22,1,12,0.5714285714285714,0.2918271058628884,0.4921507849215078,0.6999300069993001,0.5380666666666666,0.1143207882052584,0.0,0.0,7.0,0.0
20170705_03_04_03,invisible,0.1,P2,15.0,55.0,40.0,60,63,1,38,0.6178861788617886,2.3223073691947596,0.0215978402159784,0.988001199880012,0.4575105691056911,0.0690587352404201,0.075,3.0,36.0,1.0
20170705_03_04_03,invisible,0.1,P3,55.0,180.0,123.8,187,189,1,92,0.4893617021276595,0.9414852978393304,0.2025797420257974,0.8323167683231677,0.4545457446808511,0.0369798206373584,0.0403877221324717,5.0,119.0,1.0
20170707_01_02_01,invisible,0.1,P1,0.0,15.0,11.1,19,20,1,14,0.717948717948718,1.4315552156351734,0.1093890610938906,0.9328067193280672,0.499225641025641,0.1527870350610476,0.0,0.0,7.0,0.0
20170707_01_02_01,invisible,0.1,P2,15.0,55.0,40.0,65,60,1,27,0.432,-0.5717904001287163,0.7486251374862514,0.3323667633236676,0.4676416000000001,0.0623333305210734,0.0,0.0,36.0,0.0
20170707_01_02_01,invisible,0.1,P3,55.0,180.0,123.7,159,165,1,64,0.3950617283950617,0.0524702845526596,0.5155484451554845,0.5563443655634437,0.3930234567901234,0.0388462083313579,0.0404203718674211,5.0,119.0,1.0
20170707_01_02_02,invisible,0.1,P1,0.0,15.0,9.7,22,10,1,6,0.375,-0.381639043454,0.7515248475152485,0.4554544545545445,0.40648125,0.0824895946575092,,,0.0,
20170707_01_02_02,invisible,0.1,P2,15.0,55.0,40.0,70,60,1,30,0.4615384615384615,-0.4443336461359184,0.7353264673532647,0.378962103789621,0.4847538461538462,0.0522476405225527,0.0,0.0,36.0,0.0
20170707_01_02_02,invisible,0.1,P3,55.0,180.0,119.2,146,183,1,67,0.4072948328267477,0.0371121915975838,0.5112488751124887,0.5496450354964504,0.4058297872340425,0.0394761271064504,0.0,0.0,115.0,0.0
20170707_01_02_03,invisible,0.1,P1,0.0,15.0,11.3,19,22,1,10,0.4878048780487805,-0.3977849395726781,0.7534246575342466,0.4050594940505949,0.5251317073170733,0.093836708117686,0.0,0.0,7.0,0.0
