variable,rhat,ess_bulk,ess_tail,condition,block,is_imputed,is_lp
y_mis[94],1.0001522802446965,33020.00417683337,13176.192240893159,visible_pair,y_mis,TRUE,FALSE
y_mis[95],1.0009610625252894,34138.296327754426,12820.986498720597,visible_pair,y_mis,TRUE,FALSE
y_mis[96],1.0001618141021098,32065.82027635922,14181.159651287968,visible_pair,y_mis,TRUE,FALSE
y_mis[97],1.0001450689854567,37961.58610030071,13075.943391473742,visible_pair,y_mis,TRUE,FALSE
y_mis[98],1.0001767826800518,36299.498086935666,14429.710859219338,visible_pair,y_mis,TRUE,FALSE
y_mis[99],1.0002218966247864,33261.7983579955,14172.15385669657,visible_pair,y_mis,TRUE,FALSE
y_mis[100],1.0001816237921208,34017.74887845101,12531.212868279435,visible_pair,y_mis,TRUE,FALSE
y_mis[101],1.0000786186150572,35655.09651316955,13319.549829263575,visible_pair,y_mis,TRUE,FALSE
y_mis[102],1.00085378241761,31254.704673858014,14201.950577458398,visible_pair,y_mis,TRUE,FALSE
y_mis[103],1.0000155694869592,36881.96510439001,14191.542760237702,visible_pair,y_mis,TRUE,FALSE
y_mis[104],1.0000826411189503,30187.504249959264,11379.094532667785,visible_pair,y_mis,TRUE,FALSE
y_mis[105],1.0005025779619219,32843.06997372548,12856.289506621304,visible_pair,y_mis,TRUE,FALSE
y_mis[106],0.9999297035485806,36970.18740506895,13813.108031122565,visible_pair,y_mis,TRUE,FALSE
y_mis[107],1.0002985718035837,31341.558357054433,13157.331038518905,visible_pair,y_mis,TRUE,FALSE
y_mis[108],1.0010473129080932,38947.14781379437,13370.87253488875,visible_pair,y_mis,TRUE,FALSE
y_mis[109],1.0002987934947416,34379.52185517102,14870.62523943647,visible_pair,y_mis,TRUE,FALSE
y_mis[110],1.0003949160146133,35297.922231716795,12916.942177135517,visible_pair,y_mis,TRUE,FALSE
y_mis[111],1.0000997799828013,35698.47594472468,13359.938682822796,visible_pair,y_mis,TRUE,FALSE
y_mis[112],1.000305961053459,34495.481211697625,14430.026395312749,visible_pair,y_mis,TRUE,FALSE
y_mis[113],1.0005725192978039,34056.549980508826,12608.376533912058,visible_pair,y_mis,TRUE,FALSE
y_mis[114],1.0000235298665558,32527.520595410708,13772.792174064007,visible_pair,y_mis,TRUE,FALSE
y_mis[115],1.0002756195998543,39413.45034625441,13252.698485494062,visible_pair,y_mis,TRUE,FALSE
y_mis[116],1.0001131003422161,30874.19408247732,10351.994196037153,visible_pair,y_mis,TRUE,FALSE
y_mis[117],1.0003332829617215,35634.422990927385,14889.258471818084,visible_pair,y_mis,TRUE,FALSE
y_mis[118],1.000032235810911,38127.17320538775,14042.706935055308,visible_pair,y_mis,TRUE,FALSE
y_mis[119],0.9999095092906645,40360.86941976086,13339.574592932542,visible_pair,y_mis,TRUE,FALSE
y_mis[120],1.000051809024157,39170.450555108284,14331.142741912012,visible_pair,y_mis,TRUE,FALSE
y_mis[121],1.0004911098551457,35865.48940464563,13538.769526878075,visible_pair,y_mis,TRUE,FALSE
y_mis[122],1.0005112523196287,34085.92777455792,13742.09528688408,visible_pair,y_mis,TRUE,FALSE
y_mis[123],1.0008140489546729,30912.32081054894,14145.717845026018,visible_pair,y_mis,TRUE,FALSE
y_mis[124],1.000561576068942,37212.056349079234,14798.468606426644,visible_pair,y_mis,TRUE,FALSE
y_mis[125],0.9999854320021285,38165.503654998334,14804.469032109322,visible_pair,y_mis,TRUE,FALSE
y_mis[126],1.0000896761120226,31602.514938319266,12388.571866962811,visible_pair,y_mis,TRUE,FALSE
y_mis[127],1.0000527267439572,30631.22497270315,12138.961189285686,visible_pair,y_mis,TRUE,FALSE
y_mis[128],1.0009769364254752,32925.09378420126,11818.70617404547,visible_pair,y_mis,TRUE,FALSE
y_mis[129],1.0002682564670426,30706.025739225155,13734.773364901497,visible_pair,y_mis,TRUE,FALSE
y_mis[130],1.0004163931562606,33370.157639265824,11843.479610306389,visible_pair,y_mis,TRUE,FALSE
y_mis[131],0.9998984818538623,36238.332603990566,14460.143912505764,visible_pair,y_mis,TRUE,FALSE
y_mis[132],1.000315024845375,34808.071976898646,13210.40061642253,visible_pair,y_mis,TRUE,FALSE
y_mis[133],1.0001789945423427,34199.862006726755,13231.382546241988,visible_pair,y_mis,TRUE,FALSE
y_mis[134],1.0000363680267534,37538.08788587098,13677.753525884542,visible_pair,y_mis,TRUE,FALSE
y_mis[135],1.0004299801336325,32233.69381075999,11989.226825656213,visible_pair,y_mis,TRUE,FALSE
y_mis[136],1.00024519519875,36043.45383542796,13755.908363395372,visible_pair,y_mis,TRUE,FALSE
y_mis[137],1.0005441970093907,32917.42843098353,13952.765457412126,visible_pair,y_mis,TRUE,FALSE
y_mis[138],0.9999653914332528,34550.49064539057,13923.439424853033,visible_pair,y_mis,TRUE,FALSE
y_mis[139],1.0004785943664394,35569.68744409466,13807.913632855985,visible_pair,y_mis,TRUE,FALSE
y_mis[140],1.0005959044146617,38202.90702517702,13673.122719487987,visible_pair,y_mis,TRUE,FALSE
y_mis[141],1.0006804852884177,32623.972501719072,13268.275226608284,visible_pair,y_mis,TRUE,FALSE
y_mis[142],1.0001818809766991,36763.88266465807,14392.269000915187,visible_pair,y_mis,TRUE,FALSE
y_mis[143],1.0001983520314845,40208.44239032287,13253.927832946909,visible_pair,y_mis,TRUE,FALSE
y_mis[144],1.000256627285233,31906.99345638072,13373.50603353797,visible_pair,y_mis,TRUE,FALSE
y_mis[145],1.000507706161118,33484.61700252504,13987.702618467318,visible_pair,y_mis,TRUE,FALSE
y_mis[146],1.0001711979899515,35582.28609596338,13351.00334765291,visible_pair,y_mis,TRUE,FALSE
y_mis[147],1.000488713484721,37508.915208854196,14075.423649634447,visible_pair,y_mis,TRUE,FALSE
y_mis[148],1.0002155701100668,36272.34265138421,13050.15277185995,visible_pair,y_mis,TRUE,FALSE
y_mis[149],1.0001385859113308,34312.658702055174,14206.66390037046,visible_pair,y_mis,TRUE,FALSE
y_mis[150],1.0001208098965826,34771.10573788678,14086.470860431536,visible_pair,y_mis,TRUE,FALSE
y_mis[151],1.0004067273888158,34372.24544642938,13487.224918630996,visible_pair,y_mis,TRUE,FALSE
y_mis[152],1.0005228116771572,35870.540805746365,14906.953010250521,visible_pair,y_mis,TRUE,FALSE
y_mis[153],1.0001601723777973,36558.24612927068,13641.299072584114,visible_pair,y_mis,TRUE,FALSE
y_mis[154],1.000051433961403,34489.19454173359,12351.953374329994,visible_pair,y_mis,TRUE,FALSE
y_mis[155],1.000262166153059,32697.112976533328,12468.228203538689,visible_pair,y_mis,TRUE,FALSE
y_mis[156],1.0001656428242411,36660.220285801886,14136.860819615513,visible_pair,y_mis,TRUE,FALSE
y_mis[157],1.0002932651266128,34272.55283334146,12921.819076664702,visible_pair,y_mis,TRUE,FALSE
y_mis[158],1.000388491779468,36136.88792078919,13551.225608928504,visible_pair,y_mis,TRUE,FALSE
y_mis[159],1.0002045835885616,31067.709042359493,12650.301385883671,visible_pair,y_mis,TRUE,FALSE
y_mis[160],1.0001436102914314,30563.39090527193,13579.947193227243,visible_pair,y_mis,TRUE,FALSE
y_mis[161],1.0007270876304732,37726.4923459352,13428.138671011404,visible_pair,y_mis,TRUE,FALSE
y_mis[162],1.0003484685543225,34172.45613388104,14434.652808625397,visible_pair,y_mis,TRUE,FALSE
y_mis[163],1.0002637532337402,37374.9575484831,13620.048025959704,visible_pair,y_mis,TRUE,FALSE
y_mis[164],1.0004918674699703,35979.33906910799,13667.495404354728,visible_pair,y_mis,TRUE,FALSE
y_mis[165],1.000535425289638,35412.433016497875,12473.99474179955,visible_pair,y_mis,TRUE,FALSE
y_mis[166],1.000327506626715,28870.59955358853,10907.544261587447,visible_pair,y_mis,TRUE,FALSE
y_mis[167],1.0001943114901437,36698.58971258165,13480.670233889097,visible_pair,y_mis,TRUE,FALSE
y_mis[168],1.0006795387846215,35402.394603695066,14327.570949358764,visible_pair,y_mis,TRUE,FALSE
y_mis[169],1.000712078138648,34589.71802775734,14255.515169448865,visible_pair,y_mis,TRUE,FALSE
y_mis[170],1.000552683530643,34728.91157038457,12869.396060928979,visible_pair,y_mis,TRUE,FALSE
y_mis[171],1.0002984862398354,36774.33706073726,13917.287414883813,visible_pair,y_mis,TRUE,FALSE
y_mis[172],1.0004080431092124,36066.89719433847,12901.914368568012,visible_pair,y_mis,TRUE,FALSE
y_mis[173],1.000452601530831,38400.30149158044,14514.796222367257,visible_pair,y_mis,TRUE,FALSE
y_mis[174],1.000310354768402,33963.456106919,13917.569235446646,visible_pair,y_mis,TRUE,FALSE
y_mis[175],1.000051094500872,34769.752176509806,13590.813756380936,visible_pair,y_mis,TRUE,FALSE
y_mis[176],0.9999952915445814,34689.16815912994,14132.137874175069,visible_pair,y_mis,TRUE,FALSE
y_mis[177],0.9999289831424351,36992.181320621996,13347.231932115814,visible_pair,y_mis,TRUE,FALSE
y_mis[178],1.0006679811029726,31835.642399953675,12079.00019304598,visible_pair,y_mis,TRUE,FALSE
y_mis[179],1.0004697558928382,36082.94653177327,13897.562350927117,visible_pair,y_mis,TRUE,FALSE
y_mis[180],1.0001719796510216,39131.45515078196,13212.370644338078,visible_pair,y_mis,TRUE,FALSE
y_mis[181],1.0004152311426835,34797.479168954516,14320.808149707716,visible_pair,y_mis,TRUE,FALSE
y_mis[182],1.0003420935541827,36711.47575843605,13919.46631154622,visible_pair,y_mis,TRUE,FALSE
y_mis[183],1.0001652352310277,35022.26398606322,12803.58776057778,visible_pair,y_mis,TRUE,FALSE
y_mis[184],1.000006438033959,33074.69183165935,13241.822277405532,visible_pair,y_mis,TRUE,FALSE
y_mis[185],1.000420509039232,32822.11622129734,13416.619037449058,visible_pair,y_mis,TRUE,FALSE
y_mis[186],1.0002365633286916,34460.30037538217,13010.22708581472,visible_pair,y_mis,TRUE,FALSE
y_mis[187],1.0007141846860141,33785.76349773475,13631.392381620904,visible_pair,y_mis,TRUE,FALSE
y_mis[188],1.000570900834123,31277.87861085081,11002.306439952075,visible_pair,y_mis,TRUE,FALSE
y_mis[189],0.9999872859404354,34073.022264301144,13106.66379083793,visible_pair,y_mis,TRUE,FALSE
y_mis[190],1.0003865150413929,35982.87132297495,13582.67171412423,visible_pair,y_mis,TRUE,FALSE
y_mis[191],1.000274799910429,36616.4747087605,13518.502294573253,visible_pair,y_mis,TRUE,FALSE
y_mis[192],1.000206016779768,37889.97421717046,14691.566187030572,visible_pair,y_mis,TRUE,FALSE
y_mis[193],1.0001858208089391,35067.46275226948,14388.887166804592,visible_pair,y_mis,TRUE,FALSE
y_mis[194],1.0001441547125747,36675.51011351534,14084.433494375871,visible_pair,y_mis,TRUE,FALSE
y_mis[195],1.0000832693406057,35863.36634861313,14450.258502000097,visible_pair,y_mis,TRUE,FALSE
y_mis[196],1.0004746552900856,35279.97225665122,13793.056349975988,visible_pair,y_mis,TRUE,FALSE
