t_center,n_valid,coverage,mean_zS_pooled,kept_for_changepoint,mean_zS_visible,sem_zS_visible,mean_zS_invisible,sem_zS_invisible
72.5,60,1.0,0.02850814010513248,True,0.28967703876720735,0.20389467943886483,-0.23266075855694232,0.177070990713449
73.5,60,1.0,-0.018279117571508494,True,0.11121836919161888,0.21855364530265173,-0.14777660433463582,0.1664111961509399
74.5,60,1.0,0.10629370940241961,True,0.13998457222026886,0.2255554227419644,0.0726028465845704,0.163308067492835
75.5,59,0.9833333333333333,0.14451899129306123,True,0.2995886866662513,0.18345070788826714,-0.00538171423435595,0.15101059227893943
76.5,59,0.9833333333333333,0.09603130006165692,True,0.19009183195199172,0.1887210083061559,0.0051061192343333835,0.13567124743809295
77.5,59,0.9833333333333333,0.04594057101378522,True,0.12863409903972947,0.17647612725462142,-0.03399650607796092,0.13590587163109422
78.5,59,0.9833333333333333,0.02330322760875581,True,0.28756444506822026,0.1842036488318907,-0.23214928260205983,0.16756199767806926
79.5,59,0.9833333333333333,0.015009423337804674,True,0.43129275191149813,0.16204041391470034,-0.38739779428343246,0.17612818710745548
80.5,60,1.0,-0.006829547770318197,True,0.19621099194796432,0.18704405371722277,-0.2098700874886007,0.1874051818420673
81.5,60,1.0,0.07795527702309875,True,0.3852777007683376,0.16914873360822275,-0.2293671467221401,0.19547144073852635
82.5,60,1.0,0.08074043577824527,True,0.4083019547262696,0.12484534391128507,-0.2468210831697791,0.1514628053617439
83.5,60,1.0,0.038082153633833236,True,0.3694474358338074,0.1369902760878119,-0.2932831285661409,0.16958912365213757
84.5,60,1.0,-0.0477909417072605,True,0.21462085835649752,0.15039911066658893,-0.3102027417710185,0.19342551541787434
85.5,60,1.0,-0.03612703690946872,True,0.32299234753879424,0.15649203190985544,-0.39524642135773164,0.17420730355856137
86.5,60,1.0,0.013224671273729416,True,0.3667110691890592,0.14330195237320398,-0.3402617266416004,0.16369437636181414
87.5,60,1.0,-0.11654162909605059,True,0.17185400069271034,0.15084136540380955,-0.4049372588848116,0.13065955189415593
88.5,60,1.0,-0.09382338730863134,True,0.05475059588157876,0.14031433305537094,-0.2423973704988414,0.13589400819231462
89.5,60,1.0,-0.11641305965471797,True,-0.09299858441169011,0.1828667000785787,-0.13982753489774585,0.15383295955750811
90.5,60,1.0,-0.13688263682601573,True,-0.09517747107622129,0.20306818425260326,-0.17858780257581008,0.17055200112356675
91.5,59,0.9833333333333333,-0.25704657422979094,True,-0.238215276067906,0.16824334660445842,-0.27525016245294626,0.19809961348775734
92.5,59,0.9833333333333333,-0.15853338073902468,True,-0.14274642361955947,0.17517509182783791,-0.17379410595450773,0.22607145208315085
93.5,60,1.0,-0.05709481699892434,True,0.014030792109544403,0.17908203910440648,-0.128220426107393,0.2147786890275905
94.5,59,0.9833333333333333,-0.029575883040913593,True,0.07688776371932739,0.18170837614068489,-0.13249074157581325,0.19822047969871512
95.5,59,0.9833333333333333,-0.009957106908402163,True,-0.01902912409087421,0.19797327374141976,-0.0011874902986792168,0.1866708600711646
96.5,59,0.9833333333333333,0.01439819218394305,True,0.05520296371051455,0.16473236239051428,-0.025046420291742717,0.16433739739353007
97.5,59,0.9833333333333333,0.08197235503669098,True,0.07146148970938053,0.1546345769967368,0.09213285818642444,0.1899775755091734
98.5,59,0.9833333333333333,0.17829397014011242,True,0.11266451361310822,0.15704771014950153,0.24173577811621644,0.1816181259602262
99.5,59,0.9833333333333333,0.17921656780347597,True,-0.00965648396383821,0.17826825176752822,0.3617938511785463,0.15885626409483378
100.5,59,0.9833333333333333,0.10723376794786754,True,0.06092710788970483,0.1874871547793644,0.15199687267075818,0.17771548984408736
101.5,59,0.9833333333333333,0.12957960066229204,True,-0.01215541004017413,0.18473826456070838,0.2665901110080093,0.20581915340734117
102.5,59,0.9833333333333333,0.05428435607342928,True,-0.06862279245392562,0.17022907003906113,0.17309459964987237,0.216692769989097
103.5,59,0.9833333333333333,-0.053780545154874126,True,-0.028867538944660584,0.17531824807518515,-0.07786311782474725,0.18688013388320057
104.5,59,0.9833333333333333,-0.028581803807167915,True,0.028240950429917942,0.18570070830450158,-0.08351046623635093,0.18198442856072414
105.5,59,0.9833333333333333,-0.038054624928429315,True,-0.16466015944654175,0.15839023966629218,0.084330725105746,0.18365489161033427
106.5,59,0.9833333333333333,0.046241372716207985,True,-0.03462304362736769,0.12813398765989367,0.12441030851499776,0.19771562686745242
107.5,59,0.9833333333333333,0.007694697587886391,True,0.009171274664710825,0.16592189792882922,0.006267339746956073,0.1911410650800396
108.5,58,0.9666666666666667,-0.07177047357221057,True,-0.19633443141804438,0.17940792936068314,0.04448922041723425,0.21277107437891812
109.5,58,0.9666666666666667,-0.03713535311484276,True,-0.14705790143244904,0.20846207367362743,0.06545902531492309,0.1878151934199309
110.5,58,0.9666666666666667,-0.021365209797562238,True,0.09126060771349835,0.19649070477236535,-0.1264826394745521,0.1927111946159205
111.5,58,0.9666666666666667,-0.051182671292464094,True,0.18350234549729755,0.19371025649725396,-0.27022202029624165,0.19488064821756226
112.5,57,0.95,0.017604206254219427,True,0.2273685854126816,0.1850441154497617,-0.1849269184505028,0.19822569111110588
113.5,58,0.9666666666666667,-0.05884874826855012,True,0.3086489948116657,0.16128835702545222,-0.401846641810085,0.19803875854315064
114.5,59,0.9833333333333333,-0.08093296785964099,True,0.2532528711925158,0.1860115361451271,-0.4039792789433926,0.1987226106131834
115.5,58,0.9666666666666667,-0.13217019583963727,True,-0.019324892149026416,0.19408975639709491,-0.23749247928420741,0.18727724938481982
116.5,58,0.9666666666666667,-0.1715229107220019,True,-0.15387147815456803,0.21309860467590325,-0.18799758111827342,0.1827216222375219
117.5,58,0.9666666666666667,-0.10640667966832246,True,-0.13621744051928908,0.18727527285128914,-0.07858330287408694,0.1838445335859659
118.5,59,0.9833333333333333,-0.1644215985805586,True,-0.33679940305835826,0.21480848430174318,0.002210279081314424,0.19196999947506843
119.5,59,0.9833333333333333,-0.1662603535798868,True,-0.24032483879005942,0.23775406913430736,-0.09466468454338668,0.19910802033033034
120.5,59,0.9833333333333333,-0.06808857108026171,True,-0.08021195683726207,0.24521457493944063,-0.056369298181828016,0.18656106112827364
121.5,58,0.9666666666666667,0.035119411679697954,True,0.18054764146318952,0.25879828737873667,-0.10061360278489419,0.16786636674949124
