delta,condition,dyad_id,session,pair_id,z_S,p_S,p_holm_within_dyad,p_bh_within_family
0.2,visible,20170710_01_02,3,20170710_01_02_03,1.564504105448684,0.0717928207179282,0.1435856414358564,0.4307569243075692
0.2,visible,20170710_07_08,1,20170710_07_08_01,0.013865989339414,0.532046795320468,1.0,0.8357914208579142
0.2,visible,20170710_07_08,2,20170710_07_08_02,0.4769142586450278,0.3690630936906309,1.0,0.8357914208579142
0.2,visible,20170710_07_08,3,20170710_07_08_03,0.2971359257349798,0.4120587941205879,1.0,0.8357914208579142
0.2,visible,20170714_01_02,1,20170714_01_02_01,-0.092160745018324,0.5585441455854414,1.0,0.8357914208579142
0.2,visible,20170714_01_02,2,20170714_01_02_02,-0.0043942218319934,0.5478452154784521,1.0,0.8357914208579142
0.2,visible,20170714_01_02,3,20170714_01_02_03,-1.685323677106059,0.9595040495950404,1.0,0.9595040495950404
0.2,visible,20170714_03_04,1,20170714_03_04_01,0.1600419097496433,0.4757524247575243,0.9515048495150485,0.8357914208579142
0.2,visible,20170714_03_04,2,20170714_03_04_02,-0.7558722819092568,0.7878212178782121,0.9515048495150485,0.875356908753569
0.2,visible,20170714_03_04,3,20170714_03_04_03,0.7705585761087984,0.2403759624037596,0.7211278872112789,0.8357914208579142
0.2,visible,20170714_05_06,1,20170714_05_06_01,-1.0104503717940037,0.8698130186981302,1.0,0.8998065710670313
0.2,visible,20170714_05_06,2,20170714_05_06_02,-0.6877582485061294,0.7806219378062194,1.0,0.875356908753569
0.2,visible,20170714_05_06,3,20170714_05_06_03,-0.3391077047598503,0.6686331366863314,1.0,0.8357914208579142
0.2,visible,20170714_07_08,1,20170714_07_08_01,-0.3205520211716702,0.6524347565243476,1.0,0.8357914208579142
0.2,visible,20170714_07_08,2,20170714_07_08_02,-0.2517389871953125,0.6359364063593641,1.0,0.8357914208579142
0.2,visible,20170714_07_08,3,20170714_07_08_03,-0.6215777423913474,0.7771222877712228,1.0,0.875356908753569
0.3,invisible,20170705_01_02,1,20170705_01_02_01,-0.5008785275587028,0.7406259374062594,1.0,0.9617658923762797
0.3,invisible,20170705_01_02,2,20170705_01_02_02,0.427363878909812,0.3870612938706129,1.0,0.9617658923762797
0.3,invisible,20170705_01_02,3,20170705_01_02_03,0.0641227865634343,0.5253474652534746,1.0,0.9617658923762797
0.3,invisible,20170705_03_04,1,20170705_03_04_01,0.9912681123636722,0.1888811118888111,0.3777622237776222,0.9617658923762797
0.3,invisible,20170705_03_04,2,20170705_03_04_02,-0.14220227576204,0.5869413058694131,0.5869413058694131,0.9617658923762797
0.3,invisible,20170705_03_04,3,20170705_03_04_03,1.448948259089201,0.0924907509249075,0.2774722527747225,0.9617658923762797
0.3,invisible,20170707_01_02,1,20170707_01_02_01,0.6582463890621187,0.293970602939706,0.761023897610239,0.9617658923762797
0.3,invisible,20170707_01_02,2,20170707_01_02_02,0.7642198122313761,0.2536746325367463,0.761023897610239,0.9617658923762797
0.3,invisible,20170707_01_02,3,20170707_01_02_03,0.0975845768825044,0.4992500749925007,0.761023897610239,0.9617658923762797
0.3,invisible,20170707_03_04,1,20170707_03_04_01,-1.3235808903433746,0.926107389261074,0.926107389261074,0.9617658923762797
0.3,invisible,20170707_03_04,2,20170707_03_04_02,1.1481732686871262,0.1618838116188381,0.3953604639536046,0.9617658923762797
0.3,invisible,20170707_03_04,3,20170707_03_04_03,1.2414034951703812,0.1317868213178682,0.3953604639536046,0.9617658923762797
0.3,invisible,20170707_05_06,1,20170707_05_06_01,-0.8958033053061891,0.8427157284271573,1.0,0.9617658923762797
0.3,invisible,20170707_05_06,2,20170707_05_06_02,0.0877932817645634,0.5291470852914708,1.0,0.9617658923762797
0.3,invisible,20170707_05_06,3,20170707_05_06_03,-1.945987280083793,0.9766023397660234,1.0,0.9766023397660234
0.3,invisible,20170707_07_08,1,20170707_07_08_01,1.448757912687508,0.1000899910008999,0.3002699730026997,0.9617658923762797
0.3,invisible,20170707_07_08,2,20170707_07_08_02,-1.3168195143392665,0.9297070292970704,1.0,0.9617658923762797
0.3,invisible,20170707_07_08,3,20170707_07_08_03,-0.3978192041168241,0.728027197280272,1.0,0.9617658923762797
0.3,invisible,20170707_09_10,1,20170707_09_10_01,-0.0836501831597745,0.565043495650435,1.0,0.9617658923762797
0.3,invisible,20170707_09_10,2,20170707_09_10_02,-1.1023253945666,0.8947105289471053,1.0,0.9617658923762797
0.3,invisible,20170707_09_10,3,20170707_09_10_03,-0.7426729239757716,0.8137186281371863,1.0,0.9617658923762797
0.3,invisible,20170707_11_12,1,20170707_11_12_01,-1.284371757438183,0.924907509249075,0.924907509249075,0.9617658923762797
0.3,invisible,20170707_11_12,2,20170707_11_12_02,0.5779407924747036,0.3510648935106489,0.9104089591040894,0.9617658923762797
