pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,jitter,0.35,54.0,0.3956043956043956,0.328359706959707,0.0353258067277446,1.9035570556942163,0.036996300369963,0.9785021497850216
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,jitter,0.2,54.0,0.3956043956043956,0.3416410256410256,0.0336237004651817,1.6049206130434823,0.0662933706629337,0.9577042295770424
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,jitter,0.5,54.0,0.3956043956043956,0.3223765567765568,0.0340892793729147,2.148119296590972,0.020997900209979,0.9873012698730128
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,isi,,54.0,0.3956043956043956,0.3431956043956044,0.0404467223573702,1.2957487814643935,0.1143885611438856,0.9177082291770824
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,circ,,54.0,0.3956043956043956,0.3413604395604396,0.0398335424096642,1.361765807471734,0.0988901109889011,0.9292070792920708
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,jitter,0.35,5.0,0.2941176470588235,0.3753470588235293,0.1013628946191764,-0.8013722582596644,0.8646135386461354,0.3063693630636936
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,jitter,0.2,5.0,0.2941176470588235,0.3540235294117647,0.0968416906926924,-0.6185959985254735,0.823917608239176,0.383961603839616
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,jitter,0.5,5.0,0.2941176470588235,0.3742588235294117,0.0990569689462674,-0.8090412751682324,0.8695130486951305,0.3005699430056994
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,isi,,5.0,0.2941176470588235,0.4111235294117646,0.0914894645230644,-1.2789000674874869,0.9505049495050496,0.1708829117088291
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,circ,,5.0,0.2941176470588235,0.3747823529411765,0.102006462643871,-0.7907803465744393,0.8403159684031597,0.2897710228977102
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,jitter,0.35,13.0,0.2708333333333333,0.3510229166666666,0.0572696353794538,-1.4002111730241995,0.9453054694530548,0.1100889911008899
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,jitter,0.2,13.0,0.2708333333333333,0.32666875,0.0554787916861847,-1.0064281317174169,0.8839116088391161,0.2077792220777922
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,jitter,0.5,13.0,0.2708333333333333,0.33915,0.0571889264397464,-1.194578582247811,0.9176082391760824,0.1546845315468453
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,isi,,13.0,0.2708333333333333,0.341475,0.0645774062589998,-1.0939068438788782,0.8956104389561044,0.1800819918008199
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,circ,,13.0,0.2708333333333333,0.3554958333333333,0.0617834235374142,-1.3703109208367328,0.9458054194580542,0.1124887511248875
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,jitter,0.35,41.0,0.2733333333333333,0.3764613333333333,0.0338964675600763,-3.0424409215273376,0.9992000799920008,0.001999800019998
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,jitter,0.2,41.0,0.2733333333333333,0.3576873333333333,0.0337183883111925,-2.5017209963146283,0.9951004899510048,0.0070992900709929
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,jitter,0.5,41.0,0.2733333333333333,0.3519093333333333,0.032588999259439,-2.411120371462201,0.9948005199480052,0.0104989501049895
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,isi,,41.0,0.2733333333333333,0.372648,0.0418035427081441,-2.375747609719171,0.9946005399460054,0.008999100089991
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,circ,,41.0,0.2733333333333333,0.3755246666666667,0.040825921237834,-2.5030992623047315,0.9968003199680032,0.0064993500649935
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,jitter,0.35,9.0,0.4864864864864865,0.3934702702702703,0.099058876005488,0.9389993099766538,0.2514748525147485,0.8887111288871112
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,jitter,0.2,9.0,0.4864864864864865,0.4314756756756757,0.0988660505909746,0.5564176022201972,0.3882611738826117,0.7973202679732027
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,jitter,0.5,9.0,0.4864864864864865,0.341254054054054,0.0925856031341304,1.5686286800122855,0.0996900309969003,0.9694030596940306
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,isi,,9.0,0.4864864864864865,0.3598810810810811,0.1049439112443268,1.2064102043104437,0.1732826717328267,0.9285071492850716
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,circ,,9.0,0.4864864864864865,0.3815621621621621,0.1004209682397757,1.0448447785705064,0.2041795820417958,0.9129087091290872
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,jitter,0.35,17.0,0.3333333333333333,0.3462156862745097,0.0570692602806281,-0.2257319067713465,0.6512348765123488,0.4822517748225177
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,jitter,0.2,17.0,0.3333333333333333,0.3516431372549019,0.0553789338425952,-0.3306275988196335,0.6918308169183082,0.431956804319568
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,jitter,0.5,17.0,0.3333333333333333,0.3395235294117647,0.0547652836941539,-0.1130313888813506,0.6175382461753824,0.525947405259474
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,isi,,17.0,0.3333333333333333,0.3509627450980392,0.0665196478593365,-0.2650256327571871,0.659034096590341,0.4547545245475452
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,circ,,17.0,0.3333333333333333,0.3745333333333333,0.076202821613595,-0.5406623944834305,0.7307269273072693,0.3557644235576442
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,jitter,0.35,52.0,0.3537414965986394,0.3545340136054422,0.0342418609353205,-0.0231446827116013,0.5503449655034497,0.5249475052494751
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,jitter,0.2,52.0,0.3537414965986394,0.3650074829931973,0.0335510488607705,-0.3357864143475573,0.6714328567143286,0.401959804019598
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,jitter,0.5,52.0,0.3537414965986394,0.3317952380952381,0.0327487941310218,0.6701394382827806,0.2841715828417158,0.7808219178082192
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,isi,,52.0,0.3537414965986394,0.3640802721088436,0.0417583891494042,-0.247585592279764,0.6180381961803819,0.4407559244075592
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,circ,,52.0,0.3537414965986394,0.3679714285714285,0.0373176111495821,-0.3813194771699216,0.6726327367263274,0.3916608339166083
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,jitter,0.35,14.0,0.6222222222222222,0.3906133333333333,0.093344292092789,2.4812324749183143,0.011998800119988,0.9974002599740026
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,jitter,0.2,14.0,0.6222222222222222,0.4659022222222222,0.0939992274740781,1.662992390475846,0.0735926407359264,0.9771022897710228
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,jitter,0.5,14.0,0.6222222222222222,0.3482488888888889,0.0866809448671664,3.160710047094914,0.0020997900209979,0.9994000599940006
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,isi,,14.0,0.6222222222222222,0.3923377777777778,0.0927315368077664,2.4790319707630593,0.00999900009999,0.998100189981002
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,circ,,14.0,0.6222222222222222,0.389,0.0864398400624798,2.698087155802765,0.0171982801719828,0.9948005199480052
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,jitter,0.35,23.0,0.4181818181818181,0.3523745454545455,0.0528774958426836,1.2445232452583714,0.1414858514148585,0.9216078392160784
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,jitter,0.2,23.0,0.4181818181818181,0.3780763636363636,0.0541773465312339,0.740262436484099,0.2794720527947205,0.8181181881811819
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,jitter,0.5,23.0,0.4181818181818181,0.3425690909090909,0.0513780762366519,1.4716924573907433,0.0977902209779022,0.9506049395060494
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,isi,,23.0,0.4181818181818181,0.4317327272727272,0.063663510976719,-0.2128520542303191,0.6380361963803619,0.468953104689531
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,circ,,23.0,0.4181818181818181,0.4073654545454545,0.0681287018551245,0.158763683173717,0.4847515248475152,0.6391360863913609
