pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,jitter,0.35,14.0,0.6222222222222222,0.3906133333333333,0.09334429209278901,2.4812324749183143,0.011998800119988001,0.9974002599740026
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,jitter,0.2,14.0,0.6222222222222222,0.4659022222222222,0.09399922747407813,1.6629923904758461,0.0735926407359264,0.9771022897710229
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,jitter,0.5,14.0,0.6222222222222222,0.3482488888888889,0.08668094486716646,3.160710047094914,0.0020997900209979003,0.9994000599940006
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,isi,,14.0,0.6222222222222222,0.3923377777777778,0.09273153680776645,2.4790319707630593,0.009999000099990002,0.9981001899810019
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,circ,,14.0,0.6222222222222222,0.389,0.08643984006247987,2.698087155802765,0.017198280171982803,0.9948005199480052
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,jitter,0.35,23.0,0.41818181818181815,0.3523745454545455,0.052877495842683614,1.2445232452583714,0.1414858514148585,0.9216078392160784
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,jitter,0.2,23.0,0.41818181818181815,0.3780763636363636,0.054177346531233905,0.740262436484099,0.27947205279472054,0.8181181881811819
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,jitter,0.5,23.0,0.41818181818181815,0.34256909090909093,0.05137807623665192,1.4716924573907433,0.09779022097790221,0.9506049395060494
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,isi,,23.0,0.41818181818181815,0.43173272727272727,0.063663510976719,-0.21285205423031917,0.6380361963803619,0.46895310468953105
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,circ,,23.0,0.41818181818181815,0.40736545454545453,0.06812870185512457,0.15876368317371703,0.48475152484751527,0.6391360863913609
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.80000000000001,160,153,1,jitter,0.35,68.0,0.43450479233226835,0.3718364217252396,0.03085773408132154,2.0308805060629016,0.028697130286971302,0.9828017198280172
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.80000000000001,160,153,1,jitter,0.2,68.0,0.43450479233226835,0.3965546325878594,0.03155756681111324,1.2025692592701576,0.136986301369863,0.9033096690330967
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.80000000000001,160,153,1,jitter,0.5,68.0,0.43450479233226835,0.3566651757188498,0.030377908468470795,2.5623757703466716,0.007599240075992401,0.9962003799620038
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.80000000000001,160,153,1,isi,,68.0,0.43450479233226835,0.38787603833865814,0.0377241696406814,1.2360445422058064,0.12098790120987901,0.9062093790620938
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.80000000000001,160,153,1,circ,,68.0,0.43450479233226835,0.3910607028753994,0.03877677347300087,1.1203637014079524,0.1503849615038496,0.8782121787821218
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,jitter,0.35,18.0,0.6428571428571429,0.45732142857142855,0.07567573127548478,2.451720137467886,0.0115988401159884,0.9968003199680032
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,jitter,0.2,18.0,0.6428571428571429,0.519625,0.07705199022977159,1.5993375705112944,0.0810918908109189,0.9698030196980302
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,jitter,0.5,18.0,0.6428571428571429,0.431025,0.07234757612919049,2.9279784367464634,0.0020997900209979003,0.9996000399960004
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,isi,,18.0,0.6428571428571429,0.5103142857142857,0.08534268837981945,1.553066345332038,0.09059094090590941,0.966003399660034
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,circ,,18.0,0.6428571428571429,0.5026571428571429,0.0897594311003892,1.5619528586717177,0.1075892410758924,0.9623037696230377
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,jitter,0.35,26.0,0.43333333333333335,0.42710666666666675,0.05072898983527701,0.12274375434806253,0.5155484451554845,0.6118388161183882
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,jitter,0.2,26.0,0.43333333333333335,0.43249333333333323,0.050134720438671954,0.016754855570156435,0.5621437856214379,0.5666433356664333
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,jitter,0.5,26.0,0.43333333333333335,0.40443166666666663,0.04907382238473777,0.5889426431892392,0.33906609339066096,0.7786221377862214
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,isi,,26.0,0.43333333333333335,0.44513500000000006,0.056699137057835365,-0.20814543711006647,0.6405359464053595,0.47435256474352566
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,circ,,26.0,0.43333333333333335,0.44373999999999997,0.05896603626390874,-0.1764857759828129,0.6340365963403659,0.47525247475252475
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,jitter,0.35,74.0,0.4289855072463768,0.3910289855072464,0.030214891115991807,1.2562190475358415,0.11958804119588042,0.9134086591340866
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,jitter,0.2,74.0,0.4289855072463768,0.41009623188405786,0.029986375157412773,0.6299286013451152,0.29487051294870514,0.7675232476752325
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,jitter,0.5,74.0,0.4289855072463768,0.36695420289855074,0.028922557146294547,2.1447378955485368,0.0193980601939806,0.9888011198880112
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,isi,,74.0,0.4289855072463768,0.4334915942028985,0.036721751508807014,-0.12270893329913787,0.5769423057694231,0.48665133486651335
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,circ,,74.0,0.4289855072463768,0.4320521739130435,0.035797733819313705,-0.08566650286147946,0.5605439456054394,0.5055494450554945
