pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170706_11_12_01,visible,0.2,P2,20.0,60.0,40.0,36,45,1,isi,,25.0,0.6172839506172839,0.49204444444444434,0.06855913882498423,1.8267368627915141,0.0491950804919508,0.979002099790021
20170706_11_12_01,visible,0.2,P2,20.0,60.0,40.0,36,45,1,circ,,25.0,0.6172839506172839,0.48979012345679,0.0641920398143743,1.9861314195525013,0.0324967503249675,0.9842015798420158
20170706_11_12_01,visible,0.2,P3,60.0,180.0,118.69999999999999,110,130,1,jitter,0.35,61.0,0.5083333333333333,0.48200250000000006,0.03676118679337853,0.7162672272070386,0.2743725627437256,0.7943205679432057
20170706_11_12_01,visible,0.2,P3,60.0,180.0,118.69999999999999,110,130,1,jitter,0.5,61.0,0.5083333333333333,0.4479966666666667,0.03631756839816252,1.6613630627792613,0.06109389061093891,0.9616038396160383
20170706_11_12_01,visible,0.2,P3,60.0,180.0,118.69999999999999,110,130,1,isi,,61.0,0.5083333333333333,0.49411750000000004,0.040252793557162984,0.3531638944051264,0.400959904009599,0.6744325567443256
20170706_11_12_01,visible,0.2,P3,60.0,180.0,118.69999999999999,110,130,1,circ,,61.0,0.5083333333333333,0.49818999999999997,0.040348110616686465,0.2513954972934578,0.43295670432956707,0.6334366563343665
20170706_11_12_02,visible,0.2,P1,0.0,20.0,14.0,18,18,1,jitter,0.35,11.0,0.6111111111111112,0.5656111111111112,0.08413812069706697,0.5407774695113449,0.4223577642235776,0.8064193580641936
20170706_11_12_02,visible,0.2,P1,0.0,20.0,14.0,18,18,1,jitter,0.5,11.0,0.6111111111111112,0.5395388888888889,0.08598418337660746,0.8323882301555234,0.3036696330366963,0.8807119288071192
20170706_11_12_02,visible,0.2,P1,0.0,20.0,14.0,18,18,1,isi,,11.0,0.6111111111111112,0.6672388888888888,0.0905139535647663,-0.6201008305047246,0.8258174182581742,0.3618638136186381
20170706_11_12_02,visible,0.2,P1,0.0,20.0,14.0,18,18,1,circ,,11.0,0.6111111111111112,0.6202166666666667,0.10624922004441432,-0.08569997550804874,0.6802319768023197,0.5661433856614339
20170706_11_12_02,visible,0.2,P2,20.0,60.0,40.0,44,46,1,jitter,0.35,30.0,0.6666666666666666,0.5608066666666667,0.05605948648201439,1.8883512255140458,0.039896010398960104,0.9852014798520148
20170706_11_12_02,visible,0.2,P2,20.0,60.0,40.0,44,46,1,jitter,0.5,30.0,0.6666666666666666,0.5043888888888889,0.053812569774043695,3.015611007970332,0.0023997600239976003,0.9998000199980002
20170706_11_12_02,visible,0.2,P2,20.0,60.0,40.0,44,46,1,isi,,30.0,0.6666666666666666,0.5831688888888888,0.06869039758963927,1.2155669599788712,0.1484851514848515,0.9196080391960804
20170706_11_12_02,visible,0.2,P2,20.0,60.0,40.0,44,46,1,circ,,30.0,0.6666666666666666,0.5561022222222222,0.083306959382103,1.3271933733329515,0.11188881111888811,0.9259074092590741
20170706_11_12_02,visible,0.2,P3,60.0,180.0,119.19999999999999,97,125,1,jitter,0.35,58.0,0.5225225225225225,0.4599657657657657,0.03610134550860355,1.7328095636171927,0.05449455054494551,0.9682031796820318
20170706_11_12_02,visible,0.2,P3,60.0,180.0,119.19999999999999,97,125,1,jitter,0.5,58.0,0.5225225225225225,0.4142990990990991,0.03640583809266948,2.972694191188385,0.0023997600239976003,0.9989001099890011
20170706_11_12_02,visible,0.2,P3,60.0,180.0,119.19999999999999,97,125,1,isi,,58.0,0.5225225225225225,0.4544342342342343,0.043202457131957014,1.5760281430364078,0.0684931506849315,0.9537046295370463
20170706_11_12_02,visible,0.2,P3,60.0,180.0,119.19999999999999,97,125,1,circ,,58.0,0.5225225225225225,0.4560765765765766,0.043198361628167384,1.5381589356995433,0.07069293070692931,0.9545045495450455
20170706_11_12_03,visible,0.2,P1,0.0,20.0,13.9,15,16,1,jitter,0.35,9.0,0.5806451612903226,0.5405354838709677,0.09660228411307467,0.41520423442996246,0.47115288471152883,0.7758224177582241
20170706_11_12_03,visible,0.2,P1,0.0,20.0,13.9,15,16,1,jitter,0.5,9.0,0.5806451612903226,0.5197225806451612,0.10044728094729123,0.6065129894071496,0.3855614438556144,0.8233176682331766
20170706_11_12_03,visible,0.2,P1,0.0,20.0,13.9,15,16,1,isi,,9.0,0.5806451612903226,0.5694193548387096,0.13334332355229864,0.08418724051984572,0.5673432656734326,0.6021397860213978
20170706_11_12_03,visible,0.2,P1,0.0,20.0,13.9,15,16,1,circ,,9.0,0.5806451612903226,0.5340645161290323,0.1378559258970136,0.33789367310977114,0.4914508549145086,0.6947305269473053
20170706_11_12_03,visible,0.2,P2,20.0,60.0,40.0,43,45,1,jitter,0.35,25.0,0.5681818181818182,0.4957727272727272,0.05659421349611572,1.2794433641888272,0.13788621137886212,0.9331066893310669
20170706_11_12_03,visible,0.2,P2,20.0,60.0,40.0,43,45,1,jitter,0.5,25.0,0.5681818181818182,0.4669159090909092,0.05682573893501199,1.7820429789170091,0.055194480551944806,0.9781021897810219
20170706_11_12_03,visible,0.2,P2,20.0,60.0,40.0,43,45,1,isi,,25.0,0.5681818181818182,0.5391772727272727,0.06257504431524698,0.4635161792043404,0.39066093390660933,0.7408259174082592
20170706_11_12_03,visible,0.2,P2,20.0,60.0,40.0,43,45,1,circ,,25.0,0.5681818181818182,0.5420295454545454,0.063201283897584,0.4137933775151133,0.42795720427957207,0.7296270372962703
20170706_11_12_03,visible,0.2,P3,60.0,180.0,119.30000000000001,113,135,1,jitter,0.35,60.0,0.4838709677419355,0.47012903225806457,0.03428433561435811,0.40082256918859094,0.39246075392460755,0.6922307769223077
20170706_11_12_03,visible,0.2,P3,60.0,180.0,119.30000000000001,113,135,1,jitter,0.5,60.0,0.4838709677419355,0.43595,0.03405866079880705,1.4070126839401151,0.09559044095590441,0.941005899410059
20170706_11_12_03,visible,0.2,P3,60.0,180.0,119.30000000000001,113,135,1,isi,,60.0,0.4838709677419355,0.513925,0.03884998751399654,-0.7735918125388549,0.809019098090191,0.24997500249975002
20170706_11_12_03,visible,0.2,P3,60.0,180.0,119.30000000000001,113,135,1,circ,,60.0,0.4838709677419355,0.5112725806451612,0.037914004487095615,-0.7227306446237335,0.7855214478552145,0.2806719328067193
20170710_01_02_01,visible,0.2,P1,0.0,20.0,15.0,20,23,1,jitter,0.35,15.0,0.6976744186046512,0.6112651162790699,0.07171267834301367,1.2049375971187581,0.18998100189981001,0.9426057394260574
20170710_01_02_01,visible,0.2,P1,0.0,20.0,15.0,20,23,1,jitter,0.5,15.0,0.6976744186046512,0.5783069767441861,0.07174905193103426,1.6636797093179994,0.0866913308669133,0.9797020297970203
20170710_01_02_01,visible,0.2,P1,0.0,20.0,15.0,20,23,1,isi,,15.0,0.6976744186046512,0.6771720930232559,0.06932756730502697,0.2957312131145366,0.5422457754224578,0.7181281871812819
