a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170707_07_08_02,20170707_07_08_02,1,invisible,0.1,P3,60.0,180.0,110.6,140,187,64,0.39143730886850153,-1.125082608939766,0.8936106389361064,0.14038596140385962,1
20170707_07_08_03,20170707_07_08_03,1,invisible,0.1,P1,0.0,20.0,20.0,21,37,14,0.4827586206896552,1.2576980720258717,0.14928507149285072,0.9361063893610639,1
20170707_07_08_03,20170707_07_08_03,1,invisible,0.1,P2,20.0,60.0,40.0,49,73,26,0.4262295081967213,-0.241946515569577,0.6717328267173283,0.44585541445855414,1
20170707_07_08_03,20170707_07_08_03,1,invisible,0.1,P3,60.0,180.0,99.9,117,166,67,0.4734982332155477,1.5673252195179175,0.06819318068193181,0.9542045795420458,1
20170707_09_10_01,20170707_09_10_01,1,invisible,0.1,P1,0.0,20.0,20.0,27,27,13,0.48148148148148145,0.9047756376177705,0.23647635236476353,0.8540145985401459,1
20170707_09_10_01,20170707_09_10_01,1,invisible,0.1,P2,20.0,60.0,40.00000000000001,48,48,17,0.3541666666666667,-0.09736125251195953,0.5728427157284272,0.5455454454554545,1
20170707_09_10_01,20170707_09_10_01,1,invisible,0.1,P3,60.0,180.0,114.1,139,148,54,0.37630662020905925,0.057908412262652295,0.4978502149785021,0.565043495650435,1
20170707_09_10_02,20170707_09_10_02,1,invisible,0.1,P1,0.0,20.0,20.0,31,32,13,0.4126984126984127,-0.46666439318121744,0.7508249175082492,0.3341665833416658,1
20170707_09_10_02,20170707_09_10_02,1,invisible,0.1,P2,20.0,60.0,40.0,57,54,24,0.43243243243243246,0.31145803781237114,0.42255774422557746,0.6785321467853215,1
20170707_09_10_02,20170707_09_10_02,1,invisible,0.1,P3,60.0,180.0,113.8,163,162,65,0.4,-0.6372961455552824,0.758024197580242,0.29287071292870714,1
20170707_09_10_03,20170707_09_10_03,1,invisible,0.1,P1,0.0,20.0,20.0,31,31,12,0.3870967741935484,-0.6780072850999479,0.8152184781521847,0.29527047295270475,1
20170707_09_10_03,20170707_09_10_03,1,invisible,0.1,P2,20.0,60.0,40.00000000000001,55,57,32,0.5714285714285714,2.2258506580494144,0.023397660233976603,0.9889011098890111,1
20170707_09_10_03,20170707_09_10_03,1,invisible,0.1,P3,60.0,180.0,115.4,146,161,55,0.3583061889250814,-0.9645903798887945,0.8587141285871412,0.18798120187981202,1
20170707_11_12_01,20170707_11_12_01,1,invisible,0.1,P1,0.0,20.0,20.0,26,34,12,0.4,-0.3710852550240666,0.6912308769123088,0.4286571342865713,1
20170707_11_12_01,20170707_11_12_01,1,invisible,0.1,P2,20.0,60.0,40.0,58,57,24,0.41739130434782606,-0.08731158464997356,0.5573442655734426,0.5258474152584741,1
20170707_11_12_01,20170707_11_12_01,1,invisible,0.1,P3,60.0,180.0,115.4,162,154,52,0.3291139240506329,-2.0336859538039387,0.9871012898710129,0.0225977402259774,1
20170707_11_12_02,20170707_11_12_02,1,invisible,0.1,P1,0.0,20.0,20.0,33,29,20,0.6451612903225806,1.9352834459411226,0.026597340265973404,0.9792020797920208,1
20170707_11_12_02,20170707_11_12_02,1,invisible,0.1,P2,20.0,60.0,40.0,67,65,33,0.5,0.06681691653079304,0.5062493750624938,0.5574442555744425,1
20170707_11_12_02,20170707_11_12_02,1,invisible,0.1,P3,60.0,180.0,115.60000000000001,185,173,83,0.46368715083798884,0.005330053296036859,0.5161483851614839,0.5436456354364564,1
20170707_11_12_03,20170707_11_12_03,1,invisible,0.1,P1,0.0,20.0,20.0,35,33,15,0.4411764705882353,-0.7415410244955319,0.8153184681531847,0.2813718628137186,1
20170707_11_12_03,20170707_11_12_03,1,invisible,0.1,P2,20.0,60.0,40.0,63,60,28,0.45528455284552843,-0.06351314785312512,0.577942205779422,0.5238476152384761,1
20170707_11_12_03,20170707_11_12_03,1,invisible,0.1,P3,60.0,180.0,114.5,161,159,67,0.41875,0.004406821915628106,0.5256474352564744,0.5248475152484752,1
20170710_13_14_01,20170710_13_14_01,1,invisible,0.1,P1,0.0,20.0,20.0,26,32,9,0.3103448275862069,-1.2882956646829813,0.933006699330067,0.1352864713528647,1
20170710_13_14_01,20170710_13_14_01,1,invisible,0.1,P2,20.0,60.0,40.00000000000001,47,54,19,0.37623762376237624,0.014664819706223787,0.5446455354464553,0.5502449755024498,1
20170710_13_14_01,20170710_13_14_01,1,invisible,0.1,P3,60.0,180.0,112.69999999999999,132,162,50,0.3401360544217687,-1.2141869365580629,0.8997100289971003,0.1351864813518648,1
20170710_13_14_02,20170710_13_14_02,1,invisible,0.1,P1,0.0,20.0,20.0,31,36,15,0.44776119402985076,-0.6419174051207458,0.7541245875412459,0.35376462353764626,1
20170710_13_14_02,20170710_13_14_02,1,invisible,0.1,P2,20.0,60.0,40.0,52,65,29,0.49572649572649574,0.9673554726768808,0.18618138186181382,0.8667133286671332,1
20170710_13_14_02,20170710_13_14_02,1,invisible,0.1,P3,60.0,180.0,114.49999999999999,158,187,83,0.4811594202898551,0.9897104975122228,0.1792820717928207,0.8664133586641336,1
20170710_13_14_03,20170710_13_14_03,1,invisible,0.1,P1,0.0,20.0,20.0,34,36,13,0.37142857142857144,-1.2213377107191958,0.8871112888711129,0.16228377162283772,1
20170710_13_14_03,20170710_13_14_03,1,invisible,0.1,P2,20.0,60.0,40.0,57,74,31,0.4732824427480916,-0.1289040758891771,0.6142385761423858,0.46705329467053297,1
