t_center,z_S_t_visible_mean,z_S_t_visible_ci_lo,z_S_t_visible_ci_hi,z_S_t_visible_n,z_S_t_invisible_mean,z_S_t_invisible_ci_lo,z_S_t_invisible_ci_hi,z_S_t_invisible_n,S_excess_visible_mean,S_excess_visible_ci_lo,S_excess_visible_ci_hi,S_excess_visible_n,S_excess_invisible_mean,S_excess_invisible_ci_lo,S_excess_invisible_ci_hi,S_excess_invisible_n
37.5,-0.17937237463065428,-0.5367843933746308,0.17803964411332227,29,0.2322611942092012,-0.11466663519090095,0.5791890236093034,30,-3.0029003523995783,-9.646229715831714,3.640429011032558,30,4.604394979690643,-1.786333109087082,10.995123068468368,30
38.5,-0.27279456989874784,-0.6316209888612863,0.08603184906379052,30,0.3054788991638211,-0.08435308876075781,0.6953108870883999,29,-4.5911832980114715,-11.491927859531012,2.309561263508068,30,5.573121229733458,-1.5802532005695202,12.726495660036436,30
39.5,-0.26491453385983577,-0.6336206807277007,0.10379161300802914,30,0.1698519541638363,-0.186117735704725,0.5258216440323976,30,-4.999705907181913,-12.02826318692941,2.0288513725655837,30,3.3483436631021775,-3.320687026892143,10.017374353096498,30
40.5,-0.10924427185478372,-0.4852948367342671,0.2668062930246997,30,0.16941595087364994,-0.1375634638283668,0.47639536557566664,30,-1.5194872243912472,-8.950627322854853,5.911652874072358,30,3.2808731808267417,-2.69249717079761,9.254243532451094,30
41.5,0.044101768283581026,-0.3450037730676057,0.4332073096347678,30,0.22147651284437467,-0.08843700764028581,0.5313900333290351,30,0.9493419535400952,-6.69405831136361,8.5927422184438,30,4.155802215271252,-1.9042911910795843,10.215895621622087,30
42.5,0.03910488252355015,-0.3457599646260539,0.4239697296731542,30,0.2766244084743064,-0.08649372168595792,0.6397425386345708,30,0.49118208983998196,-7.065123216999999,8.047487396679964,30,5.221764825960646,-2.024004651238371,12.467534303159663,30
43.5,0.09836527269256463,-0.2559358169325235,0.4526663623176527,30,0.20507022332237765,-0.1922439389825801,0.6023843856273354,30,1.8371121514078164,-4.946589665388255,8.620813968203887,30,3.299024710039415,-4.27983138156482,10.87788080164365,30
44.5,0.012096614182026285,-0.33940177235302627,0.36359500071707884,30,0.23516358209319413,-0.1912569720655881,0.6615841362519763,30,0.27974569296086244,-6.6256197925474005,7.185111178469127,30,3.999852358798181,-4.170294365983277,12.169999083579638,30
45.5,-0.027667825234848557,-0.3822152802268203,0.32687962975712315,30,0.22057528093583686,-0.1326073807051986,0.5737579425768723,30,-0.4562575456306102,-7.264008431313913,6.351493340052692,30,3.7364350818027297,-3.25141888444272,10.72428904804818,30
46.5,-0.13077518278827333,-0.5008736801561785,0.23932331457963185,30,0.1617907548273216,-0.18959929283147206,0.5131808024861153,30,-2.213366150418782,-9.040117961280272,4.6133856604427095,30,2.714724076319276,-4.341205593886389,9.770653746524943,30
47.5,-0.1168324899395879,-0.5345531850581706,0.30088820517899484,30,0.36177439033368536,0.06545058136011767,0.658098199307253,30,-1.804006579305343,-9.632741868734627,6.024728710123941,30,6.555194357872376,0.9532657940951629,12.157122921649592,30
48.5,-0.08948450824863625,-0.4584232865231303,0.2794542700258578,30,0.16128144782722725,-0.13168202143793623,0.45424491709239073,30,-1.3718511158031292,-8.366814980558363,5.623112748952105,30,2.806408116080884,-2.8866546217153988,8.499470853877167,30
49.5,0.15439485039608591,-0.215434474675274,0.5242241754674458,30,0.0248614191918032,-0.20374054385556392,0.2534633822391703,30,3.0501760688285433,-3.9941852080472238,10.09453734570431,30,0.4018834483656461,-4.002263328624561,4.806030225355853,30
50.5,0.13095661227053765,-0.20781921311061188,0.46973243765168715,30,-0.1348260895979053,-0.4317189399685798,0.1620667607727692,30,2.251637127005547,-4.260843951884027,8.764118205895121,30,-2.6147646536756426,-8.42207756994477,3.192548262593485,30
51.5,0.30577417857079664,-0.061860420277734474,0.6734087774193278,30,-0.09997642468194651,-0.39619709256541213,0.19624424320151912,30,5.248119437121758,-1.888880429022341,12.385119303265856,30,-1.8438212522771367,-7.631674196172692,3.944031691618419,30
52.5,0.2919182751199776,-0.07294544679924808,0.6567819970392033,29,-0.17568079504763429,-0.533120832814272,0.1817592427190035,30,5.2779271937499495,-1.521659320791933,12.077513708291832,30,-3.1879306992743524,-9.821793714811108,3.4459323162624025,30
53.5,0.21121830932752925,-0.14734419741232338,0.5697808160673818,29,-0.15499413163638595,-0.5399943430900521,0.23000607981728025,30,3.6803435980657357,-3.0688626938511514,10.429549889982622,30,-3.0294760542175405,-10.061044912705793,4.002092804270712,30
54.5,0.14334032838649352,-0.2674355907381446,0.5541162475111316,30,-0.01255610602705834,-0.3688122689065094,0.3437000568523927,30,2.303380961459133,-5.56298261394755,10.169744536865814,30,-0.4831422104440671,-7.156413845081118,6.190129424192984,30
55.5,0.1513816129351998,-0.21894500510807202,0.5217082309784716,30,0.11966681819682097,-0.2310150109178407,0.4703486473114826,30,2.4801219323618686,-4.658898268372109,9.619142133095847,30,2.0950170730542244,-4.399577122209797,8.589611268318246,30
56.5,-0.004528869352108204,-0.3732231990020799,0.36416546029786345,30,0.04495917948677568,-0.31152032206250674,0.4014386810360581,30,-0.34325280613206277,-7.588426597008051,6.901920984743924,30,0.701441980047244,-5.834847636757926,7.237731596852415,30
57.5,0.058953872664691834,-0.30553006256104,0.4234378078904236,30,0.0017700738847987432,-0.36972092159712217,0.3732610693667196,30,1.2392682210290569,-6.0300840904575574,8.508620532515671,30,-0.4221063604438211,-7.3927460842100885,6.548533363322448,30
58.5,0.1435219702575596,-0.1707322741754874,0.4577762146906066,30,0.09078555627839946,-0.23423881203515418,0.4158099245919531,30,2.8585414812512324,-3.194540264288702,8.911623226791168,30,1.2016832926275636,-4.833244286414475,7.236610871669602,30
59.5,0.0720782376224692,-0.2944797533077885,0.4386362285527269,30,0.16107110565649657,-0.16617517549443322,0.48831738680742637,30,1.4783978160642237,-5.656071471643158,8.612867103771606,30,2.632183543580604,-3.423334061230479,8.687701148391687,30
60.5,-0.047781516960443984,-0.4647176483005645,0.36915461437967656,30,0.029381870885714343,-0.30897277042482485,0.3677365121962536,30,-0.6565240557516098,-8.487661691156413,7.174613579653193,30,0.1730013161073521,-6.513400610559833,6.859403242774537,30
61.5,0.026459723621179092,-0.40450615307694243,0.45742560031930063,30,0.14697036658220866,-0.21490500727673076,0.508845740441148,30,0.8440161403497308,-7.122377192052939,8.8104094727524,30,2.452034325896553,-4.516274953382296,9.420343605175402,30
62.5,-0.11131099700484777,-0.45941729665553344,0.23679530264583792,30,0.12524511943519792,-0.27520053608821815,0.5256907749586139,30,-2.1479979098129243,-8.531831279075297,4.235835459449447,30,2.3655042163432243,-5.290103908868389,10.021112341554836,30
63.5,0.003163819057129132,-0.42885235122054055,0.43517998933479884,30,-0.040736587797089795,-0.43149489624728316,0.3500217206531036,30,0.13596243307775757,-7.778358124524405,8.05028299067992,30,-1.1750529448988867,-8.810587592769217,6.460481702971443,30
64.5,0.16411088470828883,-0.22174140660266534,0.5499631760192429,30,-0.2699325568673021,-0.6653510316062131,0.1254859178716089,30,3.449436629103038,-3.7164376713497,10.615310929555775,30,-5.473234548043204,-13.104089808739058,2.15762071265265,30
