pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170707_09_10_03,invisible,0.1,P3,60.0,180.0,119.8,152,164,1,57.0,0.360759493670886,0.3875632911392405,0.0400754297598753,-0.6688336875975609,0.7721227877212279,0.278972102789721,,
20170707_11_12_01,invisible,0.1,P1,0.0,20.0,16.0,20,28,1,10.0,0.4166666666666667,0.4146375,0.0978490883642506,0.0207377166265767,0.5686431356864313,0.5989401059894011,,
20170707_11_12_01,invisible,0.1,P2,20.0,60.0,40.0,59,58,1,23.0,0.3931623931623931,0.4349623931623931,0.0779668749261335,-0.5361251177452175,0.7345265473452655,0.3410658934106589,,
20170707_11_12_01,invisible,0.1,P3,60.0,180.0,119.4,168,159,1,55.0,0.3363914373088685,0.4088360856269113,0.0406720949151543,-1.7811880226275238,0.97010298970103,0.0414958504149585,,
20170707_11_12_02,invisible,0.1,P1,0.0,20.0,16.3,28,26,1,18.0,0.6666666666666666,0.534862962962963,0.0944553712667521,1.3954071847484015,0.1181881811818818,0.947005299470053,,
20170707_11_12_02,invisible,0.1,P2,20.0,60.0,40.0,67,63,1,34.0,0.5230769230769231,0.5000907692307692,0.0729039422657518,0.3152937019834128,0.4227577242275772,0.6588341165883411,,
20170707_11_12_02,invisible,0.1,P3,60.0,180.0,119.3,191,180,1,85.0,0.4582210242587601,0.4566754716981132,0.04011978554213,0.0385234502069775,0.5123487651234877,0.5418458154184581,,
20170707_11_12_03,invisible,0.1,P1,0.0,20.0,15.0,26,25,1,12.0,0.4705882352941176,0.5468705882352941,0.1161848659329325,-0.6565601494536326,0.7854214578542146,0.3100689931006899,,
20170707_11_12_03,invisible,0.1,P2,20.0,60.0,40.0,66,62,1,28.0,0.4375,0.47213125,0.0730216869934174,-0.4742597908361364,0.7182281771822818,0.3590640935906409,,
20170707_11_12_03,invisible,0.1,P3,60.0,180.0,119.5,166,166,1,70.0,0.4216867469879518,0.4137560240963855,0.0421530195175805,0.1881412762912188,0.4496550344965503,0.6037396260373963,,
20170710_13_14_01,invisible,0.1,P1,0.0,20.0,14.6,19,24,1,7.0,0.3255813953488372,0.3951860465116279,0.0968695689309047,-0.7185399081566923,0.8296170382961704,0.314968503149685,,
20170710_13_14_01,invisible,0.1,P2,20.0,60.0,40.0,47,53,1,19.0,0.38,0.353162,0.0696057918037375,0.3855713627347735,0.4035596440355964,0.6972302769723028,,
20170710_13_14_01,invisible,0.1,P3,60.0,180.0,118.1,139,170,1,52.0,0.3365695792880259,0.3863495145631068,0.0350996855513882,-1.418244479774607,0.9354064593540646,0.0920907909209079,,
20170710_13_14_02,invisible,0.1,P1,0.0,20.0,14.8,22,29,1,10.0,0.392156862745098,0.4712039215686274,0.0807355397949596,-0.9790862738303558,0.8879112088791121,0.2311768823117688,,
20170710_13_14_02,invisible,0.1,P2,20.0,60.0,40.0,55,63,1,32.0,0.5423728813559322,0.4325220338983051,0.0615428489973592,1.7849490110921036,0.0488951104889511,0.9723027697230276,,
20170710_13_14_02,invisible,0.1,P3,60.0,180.0,119.7,163,196,1,85.0,0.4735376044568245,0.4461320334261838,0.0343637284201876,0.7975144808367417,0.2401759824017598,0.8089191080891911,,
20170710_13_14_03,invisible,0.1,P1,0.0,20.0,16.2,28,28,1,12.0,0.4285714285714285,0.526825,0.1026807477256243,-0.9568840664378208,0.8697130286971303,0.2222777722227777,,
20170710_13_14_03,invisible,0.1,P2,20.0,60.0,40.0,57,77,1,32.0,0.4776119402985074,0.4927805970149254,0.0524627817603512,-0.2891317655573051,0.6653334666533347,0.4408559144085591,,
20170710_13_14_03,invisible,0.1,P3,60.0,180.0,119.5,162,215,1,73.0,0.3872679045092838,0.4596625994694961,0.0326436963883939,-2.2177235720753523,0.9892010798920108,0.0154984501549845,,
20170710_15_16_01,invisible,0.1,P1,0.0,20.0,12.9,15,18,1,6.0,0.3636363636363636,0.3091393939393939,0.0941655297345112,0.5787358691722715,0.3898610138986101,0.8255174482551745,,
20170710_15_16_01,invisible,0.1,P2,20.0,60.0,40.0,39,45,1,12.0,0.2857142857142857,0.3171119047619047,0.0694854020142674,-0.4518592126900579,0.7278272172782722,0.3955604439556044,,
20170710_15_16_01,invisible,0.1,P3,60.0,180.0,118.4,103,121,1,24.0,0.2142857142857142,0.2787348214285714,0.0450157524943516,-1.4317012061709724,0.9398060193980602,0.0905909409059094,,
20170710_15_16_02,invisible,0.1,P1,0.0,20.0,14.7,16,18,1,7.0,0.4117647058823529,0.4018588235294117,0.1215737147602979,0.0814804612368075,0.5447455254474552,0.6373362663733627,,
20170710_15_16_02,invisible,0.1,P2,20.0,60.0,40.0,44,49,1,16.0,0.3440860215053763,0.3918924731182795,0.0780718884486306,-0.6123388656642862,0.7691230876912308,0.3260673932606739,,
20170710_15_16_02,invisible,0.1,P3,60.0,180.0,119.0,109,129,1,31.0,0.2605042016806723,0.2890453781512605,0.0408488336968329,-0.69870235910312,0.7873212678732127,0.2826717328267173,,
20170710_15_16_03,invisible,0.1,P1,0.0,20.0,13.2,12,12,1,4.0,0.3333333333333333,0.40035,0.1174574694334616,-0.5705611315305144,0.8254174582541746,0.4367563243675632,,
20170710_15_16_03,invisible,0.1,P2,20.0,60.0,40.0,38,44,1,14.0,0.3414634146341463,0.3013731707317073,0.0711777439757311,0.563241283906221,0.3494650534946505,0.7644235576442355,,
20170710_15_16_03,invisible,0.1,P3,60.0,180.0,118.7,103,126,1,31.0,0.2707423580786026,0.2804768558951965,0.041813324099668,-0.2328085132239253,0.6271372862713729,0.4517548245175482,,
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,6.0,0.2926829268292683,0.3161219512195122,0.0868503227922845,-0.2698783796843431,0.7054294570542946,0.5125487451254874,,
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,22.0,0.4356435643564356,0.3595465346534652,0.0593204566525988,1.282812607944354,0.1298870112988701,0.9273072692730728,,
20170706_01_02_01,visible,0.1,P3,60.0,180.0,119.7,165,126,1,45.0,0.3092783505154639,0.3629759450171821,0.0396183740835142,-1.355370979852062,0.926007399260074,0.1024897510248975,,
20170706_01_02_02,visible,0.1,P1,0.0,20.0,15.0,24,21,1,11.0,0.4888888888888889,0.4501377777777777,0.0964389268889977,0.401820223027928,0.428957104289571,0.7351264873512648,,
20170706_01_02_02,visible,0.1,P2,20.0,60.0,40.0,57,40,1,23.0,0.4742268041237113,0.3643051546391753,0.0656704138013954,1.6738382343222,0.0635936406359364,0.9657034296570344,,
20170706_01_02_02,visible,0.1,P3,60.0,180.0,119.6,164,131,1,51.0,0.3457627118644067,0.3619728813559322,0.0425242331265642,-0.3811983967654244,0.679032096790321,0.3793620637936206,,
20170706_01_02_03,visible,0.1,P1,0.0,20.0,15.0,22,18,1,3.0,0.15,0.40876,0.1099635012045347,-2.353144426701185,0.9983001699830018,0.0133986601339866,,
20170706_01_02_03,visible,0.1,P2,20.0,60.0,40.0,60,42,1,22.0,0.4313725490196078,0.3676843137254902,0.061447140234524,1.0364719179939064,0.1928807119288071,0.8823117688231177,,
20170706_01_02_03,visible,0.1,P3,60.0,180.0,119.5,151,107,1,39.0,0.3023255813953488,0.3075201550387597,0.0410037686964991,-0.1266852732942658,0.5846415358464153,0.4913508649135086,,
20170706_03_04_01,visible,0.1,P1,0.0,20.0,14.1,19,18,1,6.0,0.3243243243243243,0.3880162162162162,0.1178773138497355,-0.5403235772159121,0.7666233376662334,0.3901609839016098,,
20170706_03_04_01,visible,0.1,P2,20.0,60.0,40.0,51,52,1,19.0,0.3689320388349514,0.4050834951456309,0.0758739637433088,-0.4764672165142766,0.7234276572342766,0.3634636536346365,,
20170706_03_04_01,visible,0.1,P3,60.0,180.0,119.7,154,157,1,70.0,0.45016077170418,0.3826913183279743,0.0404923598219108,1.6662267566756446,0.058994100589941,0.9593040695930408,,
20170706_03_04_02,visible,0.1,P1,0.0,20.0,14.9,21,21,1,8.0,0.3809523809523809,0.3715047619047619,0.1050593633336882,0.0899264829695534,0.553044695530447,0.6264373562643736,,
20170706_03_04_02,visible,0.1,P2,20.0,60.0,40.0,55,53,1,22.0,0.4074074074074074,0.4048481481481482,0.0719787241874213,0.0355557741284118,0.5306469353064693,0.5705429457054294,,
20170706_03_04_02,visible,0.1,P3,60.0,180.0,119.3,153,157,1,62.0,0.4,0.3873477419354838,0.0426322040465439,0.2967770104192364,0.4044595540445955,0.6555344465553444,,
20170706_03_04_03,visible,0.1,P1,0.0,20.0,13.8,19,26,1,13.0,0.5777777777777777,0.4949733333333334,0.0922239782311735,0.8978624218192179,0.2558744125587441,0.8714128587141285,,
20170706_03_04_03,visible,0.1,P2,20.0,60.0,40.0,58,63,1,25.0,0.4132231404958678,0.4549305785123966,0.070000440357032,-0.5958167949201916,0.7608239176082392,0.3205679432056794,,
20170706_03_04_03,visible,0.1,P3,60.0,180.0,119.4,156,171,1,79.0,0.4831804281345566,0.4034036697247706,0.0400312662917544,1.9928612257319016,0.0282971702829717,0.9794020597940206,,
20170706_05_06_01,visible,0.1,P1,0.0,20.0,15.5,26,19,1,6.0,0.2666666666666666,0.4185599999999999,0.0848967432958734,-1.7891538289516025,0.9808019198080192,0.05999400059994,,
20170706_05_06_01,visible,0.1,P2,20.0,60.0,40.0,57,44,1,19.0,0.3762376237623762,0.3841762376237623,0.0630828872315345,-0.1258441743835985,0.6104389561043896,0.5122487751224878,,
20170706_05_06_01,visible,0.1,P3,60.0,180.0,119.3,122,131,1,44.0,0.3478260869565217,0.3174086956521739,0.0392344196270611,0.7752731299067832,0.2502749725027497,0.8064193580641936,,
20170706_05_06_02,visible,0.1,P1,0.0,20.0,15.5,28,21,1,13.0,0.5306122448979592,0.4226612244897959,0.0760277894566561,1.419888979801349,0.1252874712528747,0.9546045395460454,,
20170706_05_06_02,visible,0.1,P2,20.0,60.0,40.0,59,51,1,24.0,0.4363636363636363,0.422450909090909,0.0613436527210949,0.2267997853988724,0.4664533546645335,0.6472352764723528,,
20170706_05_06_02,visible,0.1,P3,60.0,180.0,119.8,142,148,1,50.0,0.3448275862068966,0.3565793103448276,0.040492938521009,-0.2902166295447757,0.642035796420358,0.4230576942305769,,
20170706_05_06_03,visible,0.1,P1,0.0,20.0,16.0,25,20,1,7.0,0.3111111111111111,0.4182488888888889,0.0898219482277217,-1.1927794920029562,0.9271072892710728,0.177982201779822,,
20170706_05_06_03,visible,0.1,P2,20.0,60.0,40.0,59,46,1,22.0,0.419047619047619,0.4055447619047619,0.0610837548765018,0.2210547987784477,0.477952204779522,0.6444355564443556,,
20170706_05_06_03,visible,0.1,P3,60.0,180.0,119.7,152,147,1,56.0,0.3745819397993311,0.3729759197324415,0.0384940178850164,0.0417212895698962,0.515948405159484,0.5544445555444456,,
20170706_11_12_01,visible,0.1,P1,0.0,20.0,13.6,17,18,1,6.0,0.3428571428571428,0.3699828571428571,0.1167893988446327,-0.232261785350913,0.6722327767223277,0.5121487851214879,,
20170706_11_12_01,visible,0.1,P2,20.0,60.0,40.0,36,45,1,19.0,0.4691358024691358,0.3071111111111111,0.0692157466103874,2.340864605131762,0.0165983401659834,0.9938006199380062,,
20170706_11_12_01,visible,0.1,P3,60.0,180.0,118.7,110,130,1,38.0,0.3166666666666666,0.2976475,0.0413606009830777,0.4598377734996683,0.3567643235676432,0.72002799720028,,
20170706_11_12_02,visible,0.1,P1,0.0,20.0,14.0,18,18,1,7.0,0.3888888888888889,0.4015611111111111,0.1151153439265467,-0.1100828246693871,0.6297370262973703,0.553044695530447,,
20170706_11_12_02,visible,0.1,P2,20.0,60.0,40.0,44,46,1,20.0,0.4444444444444444,0.3750244444444444,0.08040593914492,0.8633690587815978,0.233976602339766,0.8393160683931606,,
20170706_11_12_02,visible,0.1,P3,60.0,180.0,119.2,97,125,1,36.0,0.3243243243243243,0.2675873873873874,0.0427685743292561,1.3266034191400595,0.1117888211178882,0.9213078692130788,,
20170706_11_12_03,visible,0.1,P1,0.0,20.0,13.9,15,16,1,4.0,0.2580645161290322,0.4010645161290322,0.136177537258571,-1.0500997659289038,0.9087091290870912,0.2340765923407659,,
20170706_11_12_03,visible,0.1,P2,20.0,60.0,40.0,43,45,1,10.0,0.2272727272727272,0.3318636363636364,0.0669674593576732,-1.561816889786562,0.9644035596440356,0.0790920907909209,,
20170706_11_12_03,visible,0.1,P3,60.0,180.0,119.3,113,135,1,38.0,0.3064516129032258,0.31295,0.0402421588312695,-0.1614820696876921,0.6015398460153984,0.4757524247575243,,
20170710_01_02_01,visible,0.1,P1,0.0,20.0,15.0,20,23,1,8.0,0.3720930232558139,0.3796744186046511,0.1090395713450516,-0.0695288440271479,0.6033396660333966,0.557944205579442,,
20170710_01_02_01,visible,0.1,P2,20.0,60.0,40.0,60,49,1,18.0,0.3302752293577982,0.3803376146788991,0.0671082476926494,-0.7459945244045525,0.8093190680931907,0.26997300269973,,
20170710_01_02_01,visible,0.1,P3,60.0,180.0,118.0,162,153,1,80.0,0.5079365079365079,0.3979244444444444,0.0384407097029573,2.8618634864485832,0.0034996500349965,0.998100189981002,,
20170710_01_02_02,visible,0.1,P1,0.0,20.0,14.3,27,21,1,12.0,0.5,0.5002875,0.0845501182363286,-0.003400350064519,0.5991400859914009,0.591940805919408,,
20170710_01_02_02,visible,0.1,P2,20.0,60.0,40.0,67,53,1,28.0,0.4666666666666667,0.4517366666666667,0.0569934492609387,0.2619599303710239,0.4532546745325467,0.6547345265473453,,
20170710_01_02_02,visible,0.1,P3,60.0,180.0,117.5,180,159,1,80.0,0.471976401179941,0.4343504424778761,0.0361986125530009,1.0394309629125742,0.1694830516948305,0.8694130586941305,,
20170710_01_02_03,visible,0.1,P1,0.0,20.0,14.8,24,22,1,12.0,0.5217391304347826,0.477395652173913,0.0891052350633251,0.4976528958074757,0.3994600539946005,0.7674232576742326,,
20170710_01_02_03,visible,0.1,P2,20.0,60.0,40.0,69,54,1,27.0,0.4390243902439024,0.4672504065040651,0.0565731266694667,-0.4989297555547092,0.7339266073392661,0.3665633436656334,,
20170710_01_02_03,visible,0.1,P3,60.0,180.0,119.5,198,172,1,92.0,0.4972972972972973,0.4590518918918919,0.0350113871201823,1.0923704700451244,0.1545845415458454,0.879012098790121,,
20170710_07_08_01,visible,0.1,P2,20.0,60.0,40.0,39,42,1,12.0,0.2962962962962963,0.2884172839506173,0.0609025425919743,0.1293708277249706,0.5223477652234777,0.6380361963803619,,
20170710_07_08_01,visible,0.1,P3,60.0,180.0,110.7,77,79,1,18.0,0.2307692307692307,0.206925641025641,0.0418726872757056,0.5694306072737716,0.3356664333566643,0.7676232376762324,,
20170710_07_08_02,visible,0.1,P1,0.0,20.0,13.7,21,16,1,7.0,0.3783783783783784,0.3433135135135135,0.0944878760085059,0.3711043823411616,0.4728527147285271,0.7477252274772522,,
20170710_07_08_02,visible,0.1,P2,20.0,60.0,40.0,29,38,1,8.0,0.2388059701492537,0.2311462686567164,0.0759207434007977,0.1008907598823229,0.5178482151784821,0.6284371562843716,,
20170710_07_08_02,visible,0.1,P3,60.0,180.0,36.0,41,34,1,13.0,0.3466666666666667,0.2887386666666667,0.0730713554036072,0.7927593470798044,0.272972702729727,0.8336166383361664,,
20170710_07_08_03,visible,0.1,P1,0.0,20.0,10.0,15,14,1,5.0,0.3448275862068966,0.3547241379310345,0.1083253667951483,-0.0913595034748702,0.6647335266473353,0.5856414358564144,,
20170710_07_08_03,visible,0.1,P2,20.0,60.0,40.0,49,44,1,18.0,0.3870967741935484,0.365094623655914,0.0618599965956153,0.3556765559084081,0.4223577642235776,0.7097290270972902,,
