delta,condition,period,dyad_id,pair_id,n_matches,median_dt,median_abs_dt,prop_pos,prop_band_150_300
0.1,visible,P1,20170714_03_04,20170714_03_04_01,9,-0.0999999999999996,0.0999999999999996,0.2222222222222222,0
0.1,visible,P1,20170714_03_04,20170714_03_04_02,10,0,0.0499999999999989,0.2,0
0.1,visible,P1,20170714_03_04,20170714_03_04_03,15,0,0.0999999999999996,0.4666666666666667,0
0.1,visible,P1,20170714_05_06,20170714_05_06_01,6,-0.0999999999999996,0.0999999999999996,0,0
0.1,visible,P1,20170714_05_06,20170714_05_06_02,4,0,0.0500000000000007,0.25,0
0.1,visible,P1,20170714_05_06,20170714_05_06_03,12,0,0.0999999999999996,0.4166666666666667,0
0.1,visible,P1,20170714_07_08,20170714_07_08_01,12,0,0,0,0
0.1,visible,P1,20170714_07_08,20170714_07_08_02,11,0.0999999999999978,0.0999999999999978,0.6363636363636364,0
0.1,visible,P1,20170714_07_08,20170714_07_08_03,6,0,0.0999999999999987,0.3333333333333333,0
0.1,visible,P2,20170706_01_02,20170706_01_02_01,20,0.04999999999999715,0.1000000000000014,0.5,0
0.1,visible,P2,20170706_01_02,20170706_01_02_02,21,0,0.1000000000000014,0.38095238095238093,0
0.1,visible,P2,20170706_01_02,20170706_01_02_03,19,0,0.0999999999999978,0.21052631578947367,0
0.1,visible,P2,20170706_03_04,20170706_03_04_01,17,0,0.1000000000000014,0.4117647058823529,0
0.1,visible,P2,20170706_03_04,20170706_03_04_02,18,0.04999999999999715,0.0999999999999943,0.5,0
0.1,visible,P2,20170706_03_04,20170706_03_04_03,27,0,0.0999999999999943,0.25925925925925924,0
0.1,visible,P2,20170706_05_06,20170706_05_06_01,18,0,0.04999999999999715,0.16666666666666666,0
0.1,visible,P2,20170706_05_06,20170706_05_06_02,22,0.04999999999999715,0.1000000000000014,0.5,0
0.1,visible,P2,20170706_05_06,20170706_05_06_03,20,0,0.04999999999999715,0.2,0
0.1,visible,P2,20170706_11_12,20170706_11_12_01,18,0,0,0.16666666666666666,0
0.1,visible,P2,20170706_11_12,20170706_11_12_02,19,0,0.1000000000000014,0.42105263157894735,0
0.1,visible,P2,20170706_11_12,20170706_11_12_03,7,0,0.1000000000000014,0.2857142857142857,0
0.1,visible,P2,20170710_01_02,20170710_01_02_01,17,0,0.0999999999999978,0.23529411764705882,0
0.1,visible,P2,20170710_01_02,20170710_01_02_02,24,0,0.1000000000000014,0.2916666666666667,0
0.1,visible,P2,20170710_01_02,20170710_01_02_03,29,0,0.1000000000000014,0.3793103448275862,0
0.1,visible,P2,20170710_07_08,20170710_07_08_01,13,0,0.0999999999999943,0.38461538461538464,0
0.1,visible,P2,20170710_07_08,20170710_07_08_02,10,0,0.04999999999999715,0.2,0
0.1,visible,P2,20170710_07_08,20170710_07_08_03,17,-0.0999999999999943,0.1000000000000014,0.23529411764705882,0
0.1,visible,P2,20170714_01_02,20170714_01_02_01,24,0,0.1000000000000014,0.4166666666666667,0
0.1,visible,P2,20170714_01_02,20170714_01_02_02,29,0,0.1000000000000014,0.41379310344827586,0
0.1,visible,P2,20170714_01_02,20170714_01_02_03,29,0,0.1000000000000014,0.3793103448275862,0
0.1,visible,P2,20170714_03_04,20170714_03_04_01,17,0,0.1000000000000014,0.47058823529411764,0
0.1,visible,P2,20170714_03_04,20170714_03_04_02,22,0,0.09999999999999784,0.36363636363636365,0
0.1,visible,P2,20170714_03_04,20170714_03_04_03,18,0,0.09999999999999959,0.2777777777777778,0
0.1,visible,P2,20170714_05_06,20170714_05_06_01,16,0.09999999999999784,0.1000000000000014,0.625,0
0.1,visible,P2,20170714_05_06,20170714_05_06_02,18,0,0.1000000000000014,0.3333333333333333,0
0.1,visible,P2,20170714_05_06,20170714_05_06_03,26,0,0.09999999999999959,0.4230769230769231,0
0.1,visible,P2,20170714_07_08,20170714_07_08_01,8,-0.0500000000000007,0.1000000000000014,0.125,0
0.1,visible,P2,20170714_07_08,20170714_07_08_02,12,0,0.04999999999999715,0.25,0
0.1,visible,P2,20170714_07_08,20170714_07_08_03,15,0,0,0.4,0
0.1,visible,P3,20170706_01_02,20170706_01_02_01,44,0,0.0999999999999943,0.4090909090909091,0
0.1,visible,P3,20170706_01_02,20170706_01_02_02,50,0,0.0999999999999943,0.4,0
0.1,visible,P3,20170706_01_02,20170706_01_02_03,39,0,0.0999999999999943,0.4358974358974359,0
0.1,visible,P3,20170706_03_04,20170706_03_04_01,67,0,0.0999999999999943,0.2835820895522388,0
0.1,visible,P3,20170706_03_04,20170706_03_04_02,60,0,0.0999999999999943,0.25,0
0.1,visible,P3,20170706_03_04,20170706_03_04_03,75,0,0.0999999999999943,0.4266666666666667,0
0.1,visible,P3,20170706_05_06,20170706_05_06_01,42,0,0.0999999999999943,0.2619047619047619,0
0.1,visible,P3,20170706_05_06,20170706_05_06_02,49,0,0.0999999999999943,0.22448979591836735,0
0.1,visible,P3,20170706_05_06,20170706_05_06_03,55,0,0.0999999999999943,0.41818181818181815,0
0.1,visible,P3,20170706_11_12,20170706_11_12_01,35,0,0.0999999999999943,0.2857142857142857,0
0.1,visible,P3,20170706_11_12,20170706_11_12_02,35,0,0.0999999999999943,0.42857142857142855,0
0.1,visible,P3,20170706_11_12,20170706_11_12_03,36,0,0.0999999999999943,0.3055555555555556,0
0.1,visible,P3,20170710_01_02,20170710_01_02_01,78,0,0.0999999999999943,0.2948717948717949,0
0.1,visible,P3,20170710_01_02,20170710_01_02_02,78,0,0.0999999999999943,0.3333333333333333,0
0.1,visible,P3,20170710_01_02,20170710_01_02_03,86,0,0.0999999999999943,0.26744186046511625,0
0.1,visible,P3,20170710_07_08,20170710_07_08_01,12,0.0999999999999943,0.0999999999999943,0.5833333333333334,0
0.1,visible,P3,20170710_07_08,20170710_07_08_02,10,0,0,0.3,0
0.1,visible,P3,20170710_07_08,20170710_07_08_03,20,0,0.0999999999999943,0.25,0
0.1,visible,P3,20170714_01_02,20170714_01_02_01,73,0,0.0999999999999943,0.2465753424657534,0
