pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170707_05_06_01,invisible,0.1,P3,60.0,180.0,104.8,110,101,1,30,0.2843601895734597,-0.3836021478025815,0.6997300269973002,0.3935606439356064,0.3000530805687204,0.0409092886605445,0.0,0.0,100,0
20170707_05_06_02,invisible,0.1,P1,0.0,20.0,20.0,25,20,1,6,0.2666666666666666,-0.7182974941825158,0.8272172782721727,0.3345665433456654,0.32732,0.0844404078039587,0.0,0.0,16,0
20170707_05_06_02,invisible,0.1,P2,20.0,60.0,39.99999999999999,50,44,1,15,0.3191489361702128,-0.4035581474925934,0.6934306569343066,0.4057594240575942,0.3465851063829787,0.0679856679470694,0.0,0.0,36,0
20170707_05_06_02,invisible,0.1,P3,60.0,180.0,108.20000000000002,123,112,1,34,0.2893617021276595,-0.912679838371352,0.8428157184281572,0.2222777722227777,0.3253234042553191,0.0394023189904491,0.0,0.0,104,0
20170707_05_06_03,invisible,0.1,P1,0.0,20.0,20.0,29,25,1,11,0.4074074074074074,0.054129782054652,0.5521447855214479,0.6052394760523948,0.4031666666666667,0.0783439463410189,0.0,0.0,16,0
20170707_05_06_03,invisible,0.1,P2,20.0,60.0,40.0,48,46,1,10,0.2127659574468085,-2.3255689922068754,0.9967003299670032,0.0111988801119888,0.3512425531914893,0.0595452537459539,0.0,0.0,36,0
20170707_05_06_03,invisible,0.1,P3,60.0,180.0,106.8,112,114,1,28,0.247787610619469,-1.588384624998926,0.952104789521048,0.06999300069993,0.317429203539823,0.0438442879793054,0.0,0.0,102,0
20170707_07_08_01,invisible,0.1,P1,0.0,20.0,20.0,20,26,1,7,0.3043478260869565,-0.3255594198650284,0.7341265873412659,0.4537546245375462,0.3337434782608696,0.0902927403731705,0.0,0.0,16,0
20170707_07_08_01,invisible,0.1,P2,20.0,60.0,40.00000000000001,52,57,1,24,0.4403669724770642,0.5594734316803257,0.3426657334266573,0.7612238776122388,0.4084055045871559,0.0571277670753998,0.0,0.0,36,0
20170707_07_08_01,invisible,0.1,P3,60.0,180.0,109.29999999999998,132,164,1,65,0.4391891891891892,0.8674595285282563,0.210978902109789,0.825917408259174,0.4020277027027027,0.0428394469878441,0.0274473924977127,3.0,105,1
20170707_07_08_02,invisible,0.1,P1,0.0,20.0,20.0,23,37,1,12,0.4,-0.1955291313206122,0.6468353164683531,0.5375462453754625,0.4134833333333333,0.0689581815367681,0.0,0.0,16,0
