pair_id,condition,delta,period,a_time,b_time,dt,a_time_rel,b_time_rel
20170705_03_04_01,invisible,0.1,P3,82.4,82.5,-0.0999999999999943,79.2,79.3
20170705_03_04_01,invisible,0.1,P3,83.0,83.1,-0.0999999999999943,79.8,79.89999999999999
20170705_03_04_01,invisible,0.1,P3,83.5,83.6,-0.0999999999999943,80.3,80.39999999999999
20170705_03_04_01,invisible,0.1,P3,84.9,85.0,-0.0999999999999943,81.7,81.8
20170705_03_04_01,invisible,0.1,P3,85.3,85.4,-0.1000000000000085,82.1,82.2
20170705_03_04_01,invisible,0.1,P3,86.6,86.6,0.0,83.39999999999999,83.39999999999999
20170705_03_04_01,invisible,0.1,P3,91.7,91.6,0.1000000000000085,88.5,88.39999999999999
20170705_03_04_01,invisible,0.1,P3,92.6,92.7,-0.1000000000000085,89.39999999999999,89.5
20170705_03_04_01,invisible,0.1,P3,93.1,93.2,-0.1000000000000085,89.89999999999999,90.0
20170705_03_04_01,invisible,0.1,P3,95.4,95.4,0.0,92.2,92.2
20170705_03_04_01,invisible,0.1,P3,97.0,97.0,0.0,93.8,93.8
20170705_03_04_01,invisible,0.1,P3,97.8,97.7,0.0999999999999943,94.6,94.5
20170705_03_04_01,invisible,0.1,P3,98.2,98.1,0.1000000000000085,95.0,94.9
20170705_03_04_01,invisible,0.1,P3,98.6,98.6,0.0,95.4,95.4
20170705_03_04_01,invisible,0.1,P3,99.1,99.1,0.0,95.9,95.9
20170705_03_04_01,invisible,0.1,P3,100.0,99.9,0.0999999999999943,96.8,96.7
20170705_03_04_01,invisible,0.1,P3,103.4,103.5,-0.0999999999999943,100.2,100.3
20170705_03_04_01,invisible,0.1,P3,104.8,104.8,0.0,101.6,101.6
20170705_03_04_01,invisible,0.1,P3,106.6,106.5,0.0999999999999943,103.4,103.3
20170705_03_04_01,invisible,0.1,P3,107.6,107.7,-0.1000000000000085,104.4,104.5
20170705_03_04_01,invisible,0.1,P3,108.3,108.3,0.0,105.1,105.1
