label,condition,coder,t,matched,local_gap
20170705_03_04_01_A,invisible,second,6.7,1,0.40000000000000036
20170705_03_04_01_A,invisible,second,7.1000000000000005,1,0.40000000000000036
20170705_03_04_01_A,invisible,second,7.6000000000000005,1,0.4999999999999991
20170705_03_04_01_A,invisible,second,8.1,1,0.4999999999999991
20170705_03_04_01_A,invisible,second,8.6,1,0.5
20170705_03_04_01_A,invisible,second,9.200000000000001,1,0.5999999999999996
20170705_03_04_01_A,invisible,second,9.8,1,0.5999999999999996
20170705_03_04_01_A,invisible,second,10.8,1,1.0
20170705_03_04_01_A,invisible,second,11.9,1,1.0999999999999996
20170705_03_04_01_A,invisible,second,13.200000000000001,1,1.3000000000000007
20170705_03_04_01_A,invisible,second,15.4,1,1.200000000000001
20170705_03_04_01_A,invisible,second,16.6,1,0.6999999999999993
20170705_03_04_01_A,invisible,second,17.3,1,0.6000000000000014
20170705_03_04_01_A,invisible,second,17.900000000000002,1,0.5999999999999979
20170705_03_04_01_A,invisible,second,18.5,1,0.40000000000000213
20170705_03_04_01_A,invisible,second,18.900000000000002,1,0.40000000000000213
20170705_03_04_01_A,invisible,second,19.400000000000002,1,0.5
20170705_03_04_01_A,invisible,second,19.900000000000002,0,0.5
20170705_03_04_01_A,invisible,second,20.400000000000002,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,20.8,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,21.3,1,0.3000000000000007
20170705_03_04_01_A,invisible,second,21.6,1,0.3000000000000007
20170705_03_04_01_A,invisible,second,22.1,0,0.5
20170705_03_04_01_A,invisible,second,22.6,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,23.0,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,23.400000000000002,1,0.40000000000000213
20170705_03_04_01_A,invisible,second,24.0,0,0.5999999999999979
20170705_03_04_01_A,invisible,second,24.6,1,0.6000000000000014
20170705_03_04_01_A,invisible,second,25.700000000000003,1,1.1000000000000014
20170705_03_04_01_A,invisible,second,27.700000000000003,1,0.6999999999999993
20170705_03_04_01_A,invisible,second,28.400000000000002,1,0.5
20170705_03_04_01_A,invisible,second,28.900000000000002,1,0.5
20170705_03_04_01_A,invisible,second,29.5,1,0.5999999999999979
20170705_03_04_01_A,invisible,second,30.1,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,30.5,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,30.900000000000002,1,0.40000000000000213
