label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,offset_applied
20170707_03_04_02_A,invisible,0.3,269,223,199,0.8923766816143498,0.7397769516728625,0.8089430894308943,0.10000000000000853,0.09999999999999432
20170707_03_04_02_A,invisible,0.5,269,223,213,0.9551569506726457,0.79182156133829,0.8658536585365852,0.20000000000000284,0.09999999999999432
20170707_03_04_02_B,invisible,0.05,196,182,30,0.16483516483516483,0.15306122448979592,0.15873015873015872,6.217248937900877e-15,-0.09999999999999432
20170707_03_04_02_B,invisible,0.1,196,182,80,0.43956043956043955,0.40816326530612246,0.42328042328042326,0.09999999999999432,-0.09999999999999432
20170707_03_04_02_B,invisible,0.15,196,182,80,0.43956043956043955,0.40816326530612246,0.42328042328042326,0.09999999999999432,-0.09999999999999432
20170707_03_04_02_B,invisible,0.2,196,182,120,0.6593406593406593,0.6122448979591837,0.6349206349206349,0.09999999999999432,-0.09999999999999432
20170707_03_04_02_B,invisible,0.3,196,182,151,0.8296703296703297,0.7704081632653061,0.798941798941799,0.10000000000002274,-0.09999999999999432
20170707_03_04_02_B,invisible,0.5,196,182,166,0.9120879120879121,0.8469387755102041,0.8783068783068784,0.20000000000000284,-0.09999999999999432
20170707_11_12_01_A,invisible,0.05,248,236,48,0.2033898305084746,0.1935483870967742,0.19834710743801656,0.0,-0.09999999999999432
20170707_11_12_01_A,invisible,0.1,248,236,136,0.576271186440678,0.5483870967741935,0.5619834710743801,0.09999999999999432,-0.09999999999999432
20170707_11_12_01_A,invisible,0.15,248,236,136,0.576271186440678,0.5483870967741935,0.5619834710743801,0.09999999999999432,-0.09999999999999432
20170707_11_12_01_A,invisible,0.2,248,236,203,0.8601694915254238,0.8185483870967742,0.8388429752066117,0.10000000000000497,-0.09999999999999432
20170707_11_12_01_A,invisible,0.3,248,236,214,0.9067796610169492,0.8629032258064516,0.8842975206611571,0.10000000000000497,-0.09999999999999432
20170707_11_12_01_A,invisible,0.5,248,236,225,0.9533898305084746,0.907258064516129,0.9297520661157026,0.10000000000000853,-0.09999999999999432
20170707_11_12_01_B,invisible,0.05,244,213,43,0.20187793427230047,0.1762295081967213,0.18818380743982493,5.329070518200751e-15,0.09999999999999432
20170707_11_12_01_B,invisible,0.1,244,213,103,0.4835680751173709,0.42213114754098363,0.450765864332604,0.09999999999999432,0.09999999999999432
20170707_11_12_01_B,invisible,0.15,244,213,103,0.4835680751173709,0.42213114754098363,0.450765864332604,0.09999999999999432,0.09999999999999432
20170707_11_12_01_B,invisible,0.2,244,213,165,0.7746478873239436,0.6762295081967213,0.7221006564551423,0.10000000000000497,0.09999999999999432
20170707_11_12_01_B,invisible,0.3,244,213,192,0.9014084507042254,0.7868852459016393,0.8402625820568927,0.10000000000000853,0.09999999999999432
20170707_11_12_01_B,invisible,0.5,244,213,203,0.9530516431924883,0.8319672131147541,0.8884026258205688,0.20000000000000284,0.09999999999999432
20170710_11_02,solo,0.05,201,127,24,0.1889763779527559,0.11940298507462686,0.14634146341463414,1.0658141036401503e-14,0.19999999999998863
20170710_11_02,solo,0.1,201,127,61,0.48031496062992124,0.3034825870646766,0.3719512195121951,0.09999999999998721,0.19999999999998863
20170710_11_02,solo,0.15,201,127,61,0.48031496062992124,0.3034825870646766,0.3719512195121951,0.09999999999998721,0.19999999999998863
20170710_11_02,solo,0.2,201,127,88,0.6929133858267716,0.43781094527363185,0.5365853658536586,0.10000000000000853,0.19999999999998863
20170710_11_02,solo,0.3,201,127,108,0.8503937007874016,0.5373134328358209,0.6585365853658537,0.10000000000001563,0.19999999999998863
20170710_11_02,solo,0.5,201,127,120,0.9448818897637795,0.5970149253731343,0.7317073170731706,0.1999999999999993,0.19999999999998863
20170714_03_04_03_A,visible,0.05,216,208,42,0.20192307692307693,0.19444444444444445,0.1981132075471698,0.0,0.0
20170714_03_04_03_A,visible,0.1,216,208,118,0.5673076923076923,0.5462962962962963,0.5566037735849056,0.09999999999999432,0.0
20170714_03_04_03_A,visible,0.15,216,208,118,0.5673076923076923,0.5462962962962963,0.5566037735849056,0.09999999999999432,0.0
20170714_03_04_03_A,visible,0.2,216,208,171,0.8221153846153846,0.7916666666666666,0.8066037735849058,0.10000000000000142,0.0
20170714_03_04_03_A,visible,0.3,216,208,189,0.9086538461538461,0.875,0.8915094339622641,0.10000000000000142,0.0
20170714_03_04_03_A,visible,0.5,216,208,199,0.9567307692307693,0.9212962962962963,0.9386792452830189,0.10000000000000853,0.0
20170714_03_04_03_B,visible,0.05,246,207,48,0.2318840579710145,0.1951219512195122,0.21192052980132453,0.0,0.09999999999999964
20170714_03_04_03_B,visible,0.1,246,207,111,0.5362318840579711,0.45121951219512196,0.4900662251655629,0.09999999999999432,0.09999999999999964
20170714_03_04_03_B,visible,0.15,246,207,111,0.5362318840579711,0.45121951219512196,0.4900662251655629,0.09999999999999432,0.09999999999999964
20170714_03_04_03_B,visible,0.2,246,207,163,0.7874396135265701,0.6626016260162602,0.7196467991169978,0.09999999999999964,0.09999999999999964
20170714_03_04_03_B,visible,0.3,246,207,191,0.9227053140096618,0.7764227642276422,0.8432671081677703,0.10000000000000853,0.09999999999999964
20170714_03_04_03_B,visible,0.5,246,207,200,0.966183574879227,0.8130081300813008,0.8830022075055187,0.19999999999998863,0.09999999999999964
20170714_07_08_02_A,visible,0.05,221,201,40,0.19900497512437812,0.18099547511312217,0.18957345971563982,0.0,0.0
20170714_07_08_02_A,visible,0.1,221,201,103,0.5124378109452736,0.4660633484162896,0.48815165876777256,0.09999999999999432,0.0
20170714_07_08_02_A,visible,0.15,221,201,103,0.5124378109452736,0.4660633484162896,0.48815165876777256,0.09999999999999432,0.0
20170714_07_08_02_A,visible,0.2,221,201,148,0.736318407960199,0.669683257918552,0.7014218009478672,0.10000000000000142,0.0
20170714_07_08_02_A,visible,0.3,221,201,175,0.8706467661691543,0.7918552036199095,0.8293838862559241,0.10000000000000853,0.0
20170714_07_08_02_A,visible,0.5,221,201,192,0.9552238805970149,0.8687782805429864,0.909952606635071,0.19999999999998863,0.0
20170714_07_08_02_B,visible,0.05,157,160,23,0.14375,0.1464968152866242,0.1451104100946372,0.0,0.0
20170714_07_08_02_B,visible,0.1,157,160,64,0.4,0.40764331210191085,0.4037854889589906,0.09999999999999432,0.0
20170714_07_08_02_B,visible,0.15,157,160,64,0.4,0.40764331210191085,0.4037854889589906,0.09999999999999432,0.0
20170714_07_08_02_B,visible,0.2,157,160,108,0.675,0.6878980891719745,0.6813880126182965,0.10000000000000142,0.0
20170714_07_08_02_B,visible,0.3,157,160,121,0.75625,0.7707006369426752,0.7634069400630914,0.10000000000000853,0.0
20170714_07_08_02_B,visible,0.5,157,160,133,0.83125,0.8471337579617835,0.8391167192429022,0.19999999999998863,0.0
20170724_04_03,solo,0.05,220,199,49,0.24623115577889448,0.22272727272727272,0.23389021479713604,0.0,0.0
20170724_04_03,solo,0.1,220,199,128,0.6432160804020101,0.5818181818181818,0.6109785202863962,0.09999999999999432,0.0
20170724_04_03,solo,0.15,220,199,128,0.6432160804020101,0.5818181818181818,0.6109785202863962,0.09999999999999432,0.0
20170724_04_03,solo,0.2,220,199,162,0.8140703517587939,0.7363636363636363,0.7732696897374701,0.09999999999999787,0.0
20170724_04_03,solo,0.3,220,199,182,0.914572864321608,0.8272727272727273,0.8687350835322195,0.10000000000000142,0.0
20170724_04_03,solo,0.5,220,199,188,0.9447236180904522,0.8545454545454545,0.8973747016706443,0.10000000000000142,0.0
20170725_05_01,solo,0.05,142,100,17,0.17,0.11971830985915492,0.14049586776859505,7.105427357601002e-15,0.09999999999999432
20170725_05_01,solo,0.1,142,100,46,0.46,0.323943661971831,0.38016528925619836,0.09999999999999432,0.09999999999999432
20170725_05_01,solo,0.15,142,100,46,0.46,0.323943661971831,0.38016528925619836,0.09999999999999432,0.09999999999999432
