video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170707_03_04_02,invisible,second,P3,141,116,89,0.6926070038910506,1.5050799295286608,0.0893910608939106
20170707_11_12_01,invisible,original,P1,20,28,18,0.75,-1.1697608240785249,0.9347065293470653
20170707_11_12_01,invisible,original,P2,59,58,48,0.8205128205128205,-0.130471879758041,0.6424357564243576
20170707_11_12_01,invisible,original,P3,168,159,128,0.7828746177370031,-0.42869475746443675,0.7294270572942706
20170707_11_12_01,invisible,second,P1,23,24,20,0.851063829787234,1.3252527011263755,0.16748325167483252
20170707_11_12_01,invisible,second,P2,62,48,41,0.7454545454545455,-0.5599415636113403,0.8295170482951705
20170707_11_12_01,invisible,second,P3,150,142,117,0.8013698630136986,2.864206420361497,0.004899510048995101
20170714_03_04_03,visible,original,P1,19,22,17,0.8292682926829268,1.1100858424753801,0.2568743125687431
20170714_03_04_03,visible,original,P2,41,53,36,0.7659574468085106,1.1982230407595083,0.17398260173982602
20170714_03_04_03,visible,original,P3,156,167,129,0.7987616099071208,0.243712082381493,0.48085191480851913
20170714_03_04_03,visible,second,P1,22,24,19,0.8260869565217391,0.5555230731872006,0.49375062493750627
20170714_03_04_03,visible,second,P2,43,50,35,0.7526881720430108,0.9897923222889936,0.20157984201579843
20170714_03_04_03,visible,second,P3,142,132,94,0.6861313868613139,-0.20269288851012582,0.6281371862813718
20170714_07_08_02,visible,original,P1,17,17,13,0.7647058823529411,0.22824256548080513,0.6368363163683631
20170714_07_08_02,visible,original,P2,48,39,27,0.6206896551724138,-1.2732100069376762,0.9468053194680532
20170714_07_08_02,visible,original,P3,150,101,76,0.6055776892430279,-1.2433903772755446,0.9177082291770823
20170714_07_08_02,visible,second,P1,18,16,12,0.7058823529411765,-0.2533378418934554,0.7697230276972302
20170714_07_08_02,visible,second,P2,46,43,32,0.7191011235955056,0.8749147141976116,0.27387261273872615
20170714_07_08_02,visible,second,P3,134,101,69,0.5872340425531914,-0.8649222150025963,0.8395160483951605
