video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170705_03_04_02,invisible,second,P3,187,188,144,0.768,-0.3875887952184302,0.6827317268273173
20170707_01_02_03,invisible,original,P1,29,31,24,0.8,-0.5185264468693295,0.8451154884511549
20170707_01_02_03,invisible,original,P2,60,66,50,0.7936507936507936,-0.14404980603846126,0.6862313768623137
20170707_01_02_03,invisible,original,P3,168,192,134,0.7444444444444445,0.15632318442133278,0.47685231476852313
20170707_01_02_03,invisible,second,P1,35,30,27,0.8307692307692308,0.32337753674097275,0.5895410458954105
20170707_01_02_03,invisible,second,P2,66,61,49,0.7716535433070866,0.7730086440314675,0.30886911308869114
20170707_01_02_03,invisible,second,P3,182,172,132,0.7457627118644068,0.3739951761122512,0.39666033396660333
20170707_11_12_01,invisible,original,P1,20,28,20,0.8333333333333334,0.75796182929178,0.5957404259574043
20170707_11_12_01,invisible,original,P2,59,58,49,0.8376068376068376,-0.25474168244128265,0.679032096790321
20170707_11_12_01,invisible,original,P3,168,159,133,0.8134556574923547,-0.42964262909816103,0.7393260673932607
20170707_11_12_01,invisible,second,P1,22,27,22,0.8979591836734694,2.3134756885846266,0.033996600339966
20170707_11_12_01,invisible,second,P2,61,57,50,0.847457627118644,0.2626306224837217,0.5502449755024498
20170707_11_12_01,invisible,second,P3,171,156,130,0.7951070336391437,0.32992252918436477,0.44115588441155884
20170710_13_14_03,invisible,original,P1,28,28,24,0.8571428571428571,-0.6811354920848693,0.8786121387861214
20170710_13_14_03,invisible,original,P2,57,77,54,0.8059701492537313,0.24444451157966093,0.5667433256674332
20170710_13_14_03,invisible,original,P3,162,215,150,0.7957559681697612,-0.3037532233945922,0.7062293770622937
20170710_13_14_03,invisible,second,P1,26,29,23,0.8363636363636363,-0.4334950571350585,0.8237176282371763
20170710_13_14_03,invisible,second,P2,55,74,51,0.7906976744186046,-0.02717519948591827,0.6663333666633336
20170710_13_14_03,invisible,second,P3,167,213,157,0.8263157894736842,0.47878934846581467,0.38716128387161286
20170710_15_16_02,invisible,original,P1,16,18,12,0.7058823529411765,-1.3786552194194626,1.0
20170710_15_16_02,invisible,original,P2,44,49,38,0.8172043010752689,-0.253404819313755,0.7187281271872813
20170710_15_16_02,invisible,original,P3,109,129,87,0.7310924369747899,-0.4704527327605183,0.7511248875112488
20170710_15_16_02,invisible,second,P1,18,16,13,0.7647058823529411,0.8417978824455745,0.4273572642735726
20170710_15_16_02,invisible,second,P2,42,50,35,0.7608695652173914,-0.258868915674576,0.7413258674132587
20170710_15_16_02,invisible,second,P3,104,128,83,0.7155172413793104,-0.047193349286615664,0.5788421157884212
