label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,p95_abs_dt,mean_dt_signed,median_dt_signed,offset_applied
20170710_11_02,solo,0.2,201,127,89,0.7007874015748031,0.4427860696517413,0.5426829268292682,0.10000000000000853,0.20000000000000284,0.020224719101122925,0.0,0.19999999999998863
20170710_11_02,solo,0.3,201,127,113,0.889763779527559,0.5621890547263682,0.6890243902439024,0.19999999999998863,0.30000000000000426,0.04424778761061953,0.09999999999999432,0.19999999999998863
20170710_11_02,solo,0.5,201,127,120,0.9448818897637795,0.5970149253731343,0.7317073170731706,0.20000000000000018,0.5,0.1400000000000001,0.19999999999998863,0.19999999999998863
20170714_03_04_03_A,visible,0.05,216,208,42,0.20192307692307693,0.19444444444444445,0.1981132075471698,0.0,0.0,0.0,0.0,0.0
20170714_03_04_03_A,visible,0.1,216,208,118,0.5673076923076923,0.5462962962962963,0.5566037735849056,0.09999999999999432,0.10000000000001066,3.3118517344750433e-16,0.0,0.0
20170714_03_04_03_A,visible,0.15,216,208,118,0.5673076923076923,0.5462962962962963,0.5566037735849056,0.09999999999999432,0.10000000000001066,3.3118517344750433e-16,0.0,0.0
20170714_03_04_03_A,visible,0.2,216,208,171,0.8221153846153846,0.7916666666666666,0.8066037735849058,0.10000000000000142,0.20000000000000284,-0.001169590643275047,0.0,0.0
20170714_03_04_03_A,visible,0.3,216,208,189,0.9086538461538461,0.875,0.8915094339622641,0.10000000000000142,0.3000000000000007,0.011640211640211656,0.0,0.0
20170714_03_04_03_A,visible,0.5,216,208,199,0.9567307692307693,0.9212962962962963,0.9386792452830189,0.10000000000000853,0.4100000000000045,0.02412060301507538,0.0,0.0
20170714_03_04_03_B,visible,0.05,246,207,36,0.17391304347826086,0.14634146341463414,0.15894039735099336,0.0,0.0,0.0,0.0,0.09999999999999964
20170714_03_04_03_B,visible,0.1,246,207,112,0.5410628019323671,0.45528455284552843,0.4944812362030905,0.09999999999999432,0.10000000000000853,0.01785714285714266,0.0,0.09999999999999964
20170714_03_04_03_B,visible,0.15,246,207,112,0.5410628019323671,0.45528455284552843,0.4944812362030905,0.09999999999999432,0.10000000000000853,0.01785714285714266,0.0,0.09999999999999964
20170714_03_04_03_B,visible,0.2,246,207,158,0.7632850241545893,0.6422764227642277,0.6975717439293598,0.09999999999999964,0.20000000000001705,0.020253164556962588,0.0,0.09999999999999964
20170714_03_04_03_B,visible,0.3,246,207,181,0.8743961352657005,0.7357723577235772,0.7991169977924945,0.10000000000000142,0.3000000000000007,0.03425414364640935,0.09999999999999432,0.09999999999999964
20170714_03_04_03_B,visible,0.5,246,207,198,0.9565217391304348,0.8048780487804879,0.8741721854304637,0.19999999999999574,0.5,0.0959595959595964,0.09999999999999964,0.09999999999999964
20170714_07_08_02_A,visible,0.05,221,201,40,0.19900497512437812,0.18099547511312217,0.18957345971563982,0.0,0.0,0.0,0.0,0.0
20170714_07_08_02_A,visible,0.1,221,201,103,0.5124378109452736,0.4660633484162896,0.48815165876777256,0.09999999999999432,0.10000000000002132,-0.0009708737864077636,0.0,0.0
20170714_07_08_02_A,visible,0.15,221,201,103,0.5124378109452736,0.4660633484162896,0.48815165876777256,0.09999999999999432,0.10000000000002132,-0.0009708737864077636,0.0,0.0
20170714_07_08_02_A,visible,0.2,221,201,148,0.736318407960199,0.669683257918552,0.7014218009478672,0.10000000000000142,0.20000000000001705,0.0006756756756762734,0.0,0.0
20170714_07_08_02_A,visible,0.3,221,201,175,0.8706467661691543,0.7918552036199095,0.8293838862559241,0.10000000000000853,0.30000000000000177,0.01542857142857176,0.0,0.0
20170714_07_08_02_A,visible,0.5,221,201,192,0.9552238805970149,0.8687782805429864,0.909952606635071,0.19999999999998863,0.5,0.048437500000000244,0.0,0.0
20170714_07_08_02_B,visible,0.05,157,160,23,0.14375,0.1464968152866242,0.1451104100946372,0.0,0.0,0.0,0.0,0.0
20170714_07_08_02_B,visible,0.1,157,160,64,0.4,0.40764331210191085,0.4037854889589906,0.09999999999999432,0.10000000000000853,0.007812499999999861,0.0,0.0
