mode,delta,period,n,n_visible,n_invisible,icc_a1,boot_lo,boot_hi,n_boot_ok,f_lo,f_hi,pearson_r,source
inter,0.5,P2,10,5,5,0.5483602655563166,0.05713086976321506,0.7740578276254525,10000,-0.085201681026807,0.8652487512804043,0.5368972361828176,./R2-4_zS_inter_d0.5_per_video.csv
inter,0.5,P3,10,5,5,0.3635692044359328,-0.040784752026559824,0.74258549756557,10000,-0.18062105480982957,0.7772293777023971,0.4212168191697614,./R2-4_zS_inter_d0.5_per_video.csv
inter,0.5,all periods pooled,30,15,15,0.39646042494262096,0.09929875113672515,0.6287260565909154,10000,0.05573354366708436,0.6567288898216627,0.4000505304505467,./R2-4_zS_inter_d0.5_per_video.csv
inter,1.0,P1,10,5,5,0.4222930633817721,-0.18357635279585333,0.6290076244100781,10000,-0.24860094940781655,0.8174317368668008,0.4615129393628712,./R2-4_zS_inter_d1.0_per_video.csv
inter,1.0,P2,10,5,5,0.5086922116645596,-0.09611358231452544,0.8054710136373646,10000,-0.1609532905491761,0.8521430946890878,0.4915510397309615,./R2-4_zS_inter_d1.0_per_video.csv
inter,1.0,P3,10,5,5,0.18678160957636802,-0.28688942599979383,0.6358985795514506,10000,-0.35555043623396515,0.6886966565720848,0.2161365104649442,./R2-4_zS_inter_d1.0_per_video.csv
inter,1.0,all periods pooled,30,15,15,0.30421214470006375,-0.016823118675689787,0.5558074503717743,10000,-0.055662192867846766,0.5945942087062919,0.3031547734402358,./R2-4_zS_inter_d1.0_per_video.csv
intra,0.1,P1,11,6,6,-0.34256539323661606,-0.8050282686865725,0.13348322751923145,10000,-0.7388023253999176,0.28077642369181566,-0.3911229471284666,./R2-4_zS_intra_d0.1_per_video.csv
intra,0.1,P2,12,6,6,0.19210474913308234,-0.6340982990542197,0.6183669954078785,10000,-0.4660357556503515,0.684348431027356,0.18387896398757025,./R2-4_zS_intra_d0.1_per_video.csv
intra,0.1,P3,12,6,6,0.27377563593469295,-0.7103175142463969,0.6572245224564655,10000,-0.375174793024079,0.7248474166017949,0.2878025376906413,./R2-4_zS_intra_d0.1_per_video.csv
intra,0.1,all periods pooled,35,18,18,0.044099314674563295,-0.40576260634398725,0.36492765318281667,10000,-0.2940855296768524,0.3701780127356806,0.044536532549777214,./R2-4_zS_intra_d0.1_per_video.csv
intra,0.2,P1,11,6,6,0.31648130199789426,-0.34786937898128684,0.7234324832755717,10000,-0.32166256643745067,0.7554758088587659,0.31618463214874126,./R2-4_zS_intra_d0.2_per_video.csv
intra,0.2,P2,12,6,6,0.07588581823563549,-0.3996657956495482,0.4225117634368769,10000,-0.5288508079076912,0.6107534393612237,0.07482397368632294,./R2-4_zS_intra_d0.2_per_video.csv
intra,0.2,P3,12,6,6,0.49372332290544063,0.030450782401701567,0.8936631685302104,10000,-0.021277905405622567,0.8160582290060837,0.5450965661789309,./R2-4_zS_intra_d0.2_per_video.csv
intra,0.2,all periods pooled,35,18,18,0.2470034203287056,-0.0507889353599553,0.5033919957038199,10000,-0.09690155273890702,0.5355118270405608,0.2422588673031532,./R2-4_zS_intra_d0.2_per_video.csv
intra,0.3,P1,11,6,6,-0.3110668800528107,-0.5701561349515405,0.07911231045696396,10000,-0.8141335884740611,0.3543574226000466,-0.330003749766078,./R2-4_zS_intra_d0.3_per_video.csv
intra,0.3,P2,12,6,6,-0.07264571862238395,-0.5164459212091108,0.3428690861934902,10000,-0.6415363507912789,0.5132678071797736,-0.06990611397400016,./R2-4_zS_intra_d0.3_per_video.csv
intra,0.3,P3,12,6,6,0.4989703458293189,0.01941397628670616,0.7858222665216472,10000,-0.06821094405533162,0.8239070040129626,0.49298612021331184,./R2-4_zS_intra_d0.3_per_video.csv
