video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170706_05_06_03,visible,second,P2,50,45,37,0.7789473684210526,0.1539032434444847,0.5952404759524048
20170706_05_06_03,visible,second,P3,127,138,100,0.7547169811320755,1.0503748767138155,0.1897810218978102
20170707_01_02_01,invisible,original,P1,27,28,23,0.8363636363636363,0.4360221137608993,0.6072392760723928
20170707_01_02_01,invisible,original,P2,64,59,49,0.7967479674796748,0.1305853236299123,0.5512448755124487
20170707_01_02_01,invisible,original,P3,152,158,120,0.7741935483870968,2.010906032924785,0.0334966503349665
20170707_01_02_01,invisible,second,P1,26,25,22,0.8627450980392157,0.338467630144489,0.5385461453854614
20170707_01_02_01,invisible,second,P2,50,50,40,0.8,0.7643993002664083,0.28587141285871415
20170707_01_02_01,invisible,second,P3,124,113,81,0.6835443037974683,0.6262374482222332,0.32686731326867313
20170707_01_02_03,invisible,original,P1,29,31,24,0.8,-0.5114590447721182,0.8479152084791521
20170707_01_02_03,invisible,original,P2,60,66,50,0.7936507936507936,-0.1248538552520213,0.6823317668233176
20170707_01_02_03,invisible,original,P3,168,192,134,0.7444444444444445,0.14259832072684844,0.48435156484351566
20170707_01_02_03,invisible,second,P1,25,23,18,0.75,-2.0115774712885854,0.9938006199380062
20170707_01_02_03,invisible,second,P2,42,45,29,0.6666666666666666,-0.13980134873799868,0.6765323467653235
20170707_01_02_03,invisible,second,P3,123,126,86,0.6907630522088354,1.0420545469613607,0.19218078192180782
20170707_03_04_02,invisible,original,P1,23,16,16,0.8205128205128205,1.0361044016036092,0.38276172382761725
20170707_03_04_02,invisible,original,P2,64,53,48,0.8205128205128205,1.2057432792777398,0.18018198180181982
20170707_03_04_02,invisible,original,P3,178,127,118,0.7737704918032787,0.8047522588159209,0.29147085291470853
20170707_03_04_02,invisible,second,P1,20,17,15,0.8108108108108109,0.7843259136959274,0.33126687331266874
20170707_03_04_02,invisible,second,P2,57,49,43,0.8113207547169812,2.1584125565961054,0.029597040295970403
20170707_03_04_02,invisible,second,P3,141,116,97,0.754863813229572,1.6906194207335625,0.072992700729927
20170707_11_12_01,invisible,original,P1,20,28,20,0.8333333333333334,0.7591113735636659,0.595040495950405
20170707_11_12_01,invisible,original,P2,59,58,49,0.8376068376068376,-0.282363245672819,0.6941305869413059
20170707_11_12_01,invisible,original,P3,168,159,133,0.8134556574923547,-0.42557357459615425,0.7385261473852615
20170707_11_12_01,invisible,second,P1,23,24,21,0.8936170212765957,1.8201597159719518,0.07549245075492451
20170707_11_12_01,invisible,second,P2,62,48,42,0.7636363636363637,-1.3042643363024133,0.966003399660034
20170707_11_12_01,invisible,second,P3,150,142,118,0.8082191780821918,1.6637625318551792,0.0700929907009299
20170714_03_04_03,visible,original,P1,19,22,17,0.8292682926829268,-0.040483081177858385,0.7934206579342066
20170714_03_04_03,visible,original,P2,41,53,36,0.7659574468085106,0.25238291729395146,0.5147485251474853
20170714_03_04_03,visible,original,P3,156,167,129,0.7987616099071208,-0.966934035843174,0.8652134786521348
20170714_03_04_03,visible,second,P1,22,24,20,0.8695652173913043,0.6731650968406665,0.5024497550244975
20170714_03_04_03,visible,second,P2,43,50,36,0.7741935483870968,0.3586232936782072,0.43355664433556645
20170714_03_04_03,visible,second,P3,142,132,100,0.7299270072992701,-0.5597025533129883,0.7351264873512648
20170714_07_08_02,visible,original,P1,17,17,14,0.8235294117647058,0.05734049200409353,0.7256274372562743
20170714_07_08_02,visible,original,P2,48,39,31,0.7126436781609196,-0.3690616230997055,0.7461253874612539
20170714_07_08_02,visible,original,P3,150,101,86,0.6852589641434262,-0.3854844804862343,0.7249275072492751
20170714_07_08_02,visible,second,P1,18,16,13,0.7647058823529411,-0.3181134052974061,0.8323167683231677
20170714_07_08_02,visible,second,P2,46,43,34,0.7640449438202247,0.8596765043063851,0.3106689331066893
20170714_07_08_02,visible,second,P3,134,101,78,0.6638297872340425,-0.1537157351624719,0.6144385561443856
