video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170710_13_14_03,invisible,original,P2,57,77,54,0.8059701492537313,0.015472372147526586,0.6513348665133487
20170710_13_14_03,invisible,original,P3,162,215,151,0.8010610079575596,-0.2001097516067215,0.6693330666933307
20170710_13_14_03,invisible,second,P1,26,29,23,0.8363636363636363,-0.49768007739629355,0.8378162183781622
20170710_13_14_03,invisible,second,P2,55,74,52,0.8062015503875969,0.4507281837635936,0.49765023497650235
20170710_13_14_03,invisible,second,P3,167,213,158,0.8315789473684211,0.595728234340644,0.34556544345565443
20170710_15_16_02,invisible,original,P1,16,18,12,0.7058823529411765,-1.7529839013503767,1.0
20170710_15_16_02,invisible,original,P2,44,49,38,0.8172043010752689,-0.6407558062847688,0.8343165683431657
20170710_15_16_02,invisible,original,P3,109,129,88,0.7394957983193278,-1.2321439539838068,0.9272072792720728
20170710_15_16_02,invisible,second,P1,18,16,14,0.8235294117647058,1.9184938998732288,0.0746925307469253
20170710_15_16_02,invisible,second,P2,42,50,37,0.8043478260869565,0.5423590961040051,0.43795620437956206
20170710_15_16_02,invisible,second,P3,104,128,86,0.7413793103448276,-0.10176379433935262,0.6127387261273872
