label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,offset_applied
20170707_01_02_03_B,invisible,0.5,290,267,261,0.9775280898876404,0.9,0.9371633752244165,0.10000000000000853,0.0
20170707_11_12_01_B,invisible,0.05,244,240,40,0.16666666666666666,0.16393442622950818,0.16528925619834708,0.0,0.0
20170707_11_12_01_B,invisible,0.1,244,240,113,0.4708333333333333,0.46311475409836067,0.4669421487603306,0.09999999999999432,0.0
20170707_11_12_01_B,invisible,0.15,244,240,113,0.4708333333333333,0.46311475409836067,0.4669421487603306,0.09999999999999432,0.0
20170707_11_12_01_B,invisible,0.2,244,240,179,0.7458333333333333,0.7336065573770492,0.7396694214876034,0.10000000000000142,0.0
20170707_11_12_01_B,invisible,0.3,244,240,210,0.875,0.860655737704918,0.8677685950413223,0.10000000000002274,0.0
20170707_11_12_01_B,invisible,0.5,244,240,224,0.9333333333333333,0.9180327868852459,0.9256198347107439,0.1999999999999993,0.0
20170710_13_14_03_B,invisible,0.05,320,316,71,0.22468354430379747,0.221875,0.2232704402515723,0.0,0.0
20170710_13_14_03_B,invisible,0.1,320,316,210,0.6645569620253164,0.65625,0.660377358490566,0.09999999999999432,0.0
20170710_13_14_03_B,invisible,0.15,320,316,210,0.6645569620253164,0.65625,0.660377358490566,0.09999999999999432,0.0
20170710_13_14_03_B,invisible,0.2,320,316,284,0.8987341772151899,0.8875,0.8930817610062892,0.09999999999999964,0.0
20170710_13_14_03_B,invisible,0.3,320,316,302,0.9556962025316456,0.94375,0.9496855345911951,0.10000000000000142,0.0
20170710_13_14_03_B,invisible,0.5,320,316,309,0.9778481012658228,0.965625,0.9716981132075471,0.10000000000000853,0.0
20170710_15_16_02_B,invisible,0.05,197,197,38,0.19289340101522842,0.19289340101522842,0.19289340101522842,0.0,0.0
20170710_15_16_02_B,invisible,0.1,197,197,98,0.49746192893401014,0.49746192893401014,0.49746192893401014,0.09999999999999432,0.0
20170710_15_16_02_B,invisible,0.15,197,197,98,0.49746192893401014,0.49746192893401014,0.49746192893401014,0.09999999999999432,0.0
20170710_15_16_02_B,invisible,0.2,197,197,139,0.7055837563451777,0.7055837563451777,0.7055837563451777,0.09999999999999964,0.0
20170710_15_16_02_B,invisible,0.3,197,197,167,0.8477157360406091,0.8477157360406091,0.8477157360406091,0.10000000000000142,0.0
20170710_15_16_02_B,invisible,0.5,197,197,184,0.934010152284264,0.934010152284264,0.934010152284264,0.10000000000001563,0.0
20170714_09_03,solo,0.05,252,253,38,0.15019762845849802,0.15079365079365079,0.1504950495049505,0.0,-0.09999999999999432
20170714_09_03,solo,0.1,252,253,99,0.391304347826087,0.39285714285714285,0.3920792079207921,0.09999999999999432,-0.09999999999999432
20170714_09_03,solo,0.15,252,253,99,0.391304347826087,0.39285714285714285,0.3920792079207921,0.09999999999999432,-0.09999999999999432
20170714_09_03,solo,0.2,252,253,185,0.7312252964426877,0.7341269841269841,0.7326732673267327,0.10000000000000853,-0.09999999999999432
20170714_09_03,solo,0.3,252,253,216,0.8537549407114624,0.8571428571428571,0.8554455445544553,0.19999999999998863,-0.09999999999999432
20170714_09_03,solo,0.5,252,253,239,0.9446640316205533,0.9484126984126984,0.9465346534653465,0.20000000000000284,-0.09999999999999432
20170724_02_02,solo,0.05,258,258,69,0.26744186046511625,0.26744186046511625,0.26744186046511625,0.0,0.09999999999999432
