video,condition,period,delta,null,n_a,n_b,n_match,S,zS,p
20170706_03_04_02,visible,P3,0.3,grid,153,157,123,0.7935483870967742,1.3893496270622347,0.12093953023488256
20170706_03_04_02,visible,P1,0.5,continuous,21,21,19,0.9047619047619048,1.868068791876781,0.09495252373813093
20170706_03_04_02,visible,P2,0.5,continuous,55,53,44,0.8148148148148148,0.3543084709393003,0.44427786106946526
20170706_03_04_02,visible,P3,0.5,continuous,153,157,127,0.8193548387096774,1.7299891742464382,0.06746626686656672
20170706_03_04_02,visible,P1,0.5,grid,21,21,19,0.9047619047619048,1.721010608275628,0.1344327836081959
20170706_03_04_02,visible,P2,0.5,grid,55,53,44,0.8148148148148148,0.060241962808672125,0.5702148925537232
20170706_03_04_02,visible,P3,0.5,grid,153,157,127,0.8193548387096774,1.3278519200076964,0.13993003498250875
20170706_03_04_02,visible,P1,1.0,continuous,21,21,19,0.9047619047619048,1.8368432672192685,0.10294852573713144
20170706_03_04_02,visible,P2,1.0,continuous,55,53,44,0.8148148148148148,-0.0010597334427597642,0.5547226386806596
20170706_03_04_02,visible,P3,1.0,continuous,153,157,128,0.8258064516129032,1.3796383153207823,0.11244377811094453
20170706_03_04_02,visible,P1,1.0,grid,21,21,19,0.9047619047619048,1.6917409627759448,0.1374312843578211
20170706_03_04_02,visible,P2,1.0,grid,55,53,44,0.8148148148148148,-0.2290769045209442,0.6511744127936032
20170706_03_04_02,visible,P3,1.0,grid,153,157,128,0.8258064516129032,1.0698579071249712,0.1934032983508246
20170706_03_04_03,visible,P1,0.1,continuous,19,26,13,0.5777777777777777,2.940437498142484,0.0074962518740629685
20170706_03_04_03,visible,P2,0.1,continuous,58,63,25,0.4132231404958678,1.7568252148868007,0.0544727636181909
20170706_03_04_03,visible,P3,0.1,continuous,156,171,79,0.4831804281345566,5.471207209060737,0.0004997501249375312
20170706_03_04_03,visible,P1,0.1,grid,19,26,13,0.5777777777777777,1.4409781964128792,0.11894052973513243
20170706_03_04_03,visible,P2,0.1,grid,58,63,25,0.4132231404958678,-0.5225061254550818,0.7241379310344828
20170706_03_04_03,visible,P3,0.1,grid,156,171,79,0.4831804281345566,1.8380062597992688,0.035982008995502246
20170706_03_04_03,visible,P1,0.2,continuous,19,26,17,0.7555555555555555,2.1232121559628054,0.017491254372813594
20170706_03_04_03,visible,P2,0.2,continuous,58,63,47,0.7768595041322314,2.7818634639266917,0.004497751124437781
20170706_03_04_03,visible,P3,0.2,continuous,156,171,111,0.6788990825688074,3.6855771973841196,0.0004997501249375312
20170706_03_04_03,visible,P1,0.2,grid,19,26,17,0.7555555555555555,1.3579905621360604,0.16241879060469766
20170706_03_04_03,visible,P2,0.2,grid,58,63,47,0.7768595041322314,0.9744171125549663,0.20789605197401298
20170706_03_04_03,visible,P3,0.2,grid,156,171,111,0.6788990825688074,0.6034991782422775,0.3188405797101449
20170706_03_04_03,visible,P1,0.3,continuous,19,26,19,0.8444444444444444,2.2128848066136197,0.014992503748125937
20170706_03_04_03,visible,P2,0.3,continuous,58,63,51,0.8429752066115702,1.2176418168860246,0.14592703648175911
20170706_03_04_03,visible,P3,0.3,continuous,156,171,125,0.764525993883792,1.4202720311596408,0.09245377311344327
20170706_03_04_03,visible,P1,0.3,grid,19,26,19,0.8444444444444444,1.850479779164857,0.063968015992004
20170706_03_04_03,visible,P2,0.3,grid,58,63,51,0.8429752066115702,0.1302521457235813,0.5812093953023488
20170706_03_04_03,visible,P3,0.3,grid,156,171,125,0.764525993883792,-0.3494158519536208,0.7136431784107946
20170706_03_04_03,visible,P1,0.5,continuous,19,26,19,0.8444444444444444,1.3910930110965842,0.2108945527236382
20170706_03_04_03,visible,P2,0.5,continuous,58,63,53,0.8760330578512396,1.0030204963058171,0.26036981509245377
20170706_03_04_03,visible,P3,0.5,continuous,156,171,127,0.7767584097859327,-0.6942945712977395,0.8085957021489255
20170706_03_04_03,visible,P1,0.5,grid,19,26,19,0.8444444444444444,1.3344611827704473,0.2448775612193903
20170706_03_04_03,visible,P2,0.5,grid,58,63,53,0.8760330578512396,0.6322853240609402,0.3933033483258371
20170706_03_04_03,visible,P3,0.5,grid,156,171,127,0.7767584097859327,-1.1841118169742326,0.9120439780109945
20170706_03_04_03,visible,P1,1.0,continuous,19,26,19,0.8444444444444444,1.2931213604192786,0.2383808095952024
20170706_03_04_03,visible,P2,1.0,continuous,58,63,53,0.8760330578512396,0.8263334376168524,0.31284357821089454
20170706_03_04_03,visible,P3,1.0,continuous,156,171,127,0.7767584097859327,-1.2006389824324672,0.9100449775112444
