video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170710_07_08_01,visible,second,P3,86,87,42,0.48554913294797686,1.443432393371427,0.1050894910508949
20170714_01_02_02,visible,original,P1,23,24,18,0.7659574468085106,-1.6210835098079937,0.9869013098690131
20170714_01_02_02,visible,original,P2,65,59,48,0.7741935483870968,-0.25916320732287784,0.7041295870412959
20170714_01_02_02,visible,original,P3,157,198,138,0.7774647887323943,1.1018132264382565,0.18398160183981602
20170714_01_02_02,visible,second,P1,25,27,22,0.8461538461538461,0.5346609018898616,0.45415458454154584
20170714_01_02_02,visible,second,P2,58,66,44,0.7096774193548387,-1.617418729428761,0.9647035296470353
20170714_01_02_02,visible,second,P3,162,209,140,0.7547169811320755,0.391510595571717,0.40145985401459855
20170705_01_02_01,invisible,original,P1,15,11,10,0.7692307692307693,0.6496734772020292,0.48295170482951705
20170705_01_02_01,invisible,original,P2,55,44,37,0.7474747474747475,0.7860874776471685,0.27507249275072493
20170705_01_02_01,invisible,original,P3,140,133,92,0.673992673992674,-1.0497292282626332,0.891010898910109
20170705_01_02_01,invisible,second,P1,13,13,8,0.6153846153846154,-0.18922455210638506,0.6946305369463054
20170705_01_02_01,invisible,second,P2,51,49,38,0.76,0.7591894926721698,0.31316868313168683
20170705_01_02_01,invisible,second,P3,134,132,97,0.7293233082706767,0.9892136754967714,0.20027997200279973
20170705_03_04_02,invisible,original,P1,30,26,24,0.8571428571428571,1.1861283734233223,0.24827517248275172
20170705_03_04_02,invisible,original,P2,66,54,45,0.75,0.1939592785257234,0.5202479752024798
20170705_03_04_02,invisible,original,P3,175,170,128,0.7420289855072464,0.0592633284328456,0.5232476752324767
20170705_03_04_02,invisible,second,P1,30,27,24,0.8421052631578947,-0.320807795389939,0.8357164283571643
20170705_03_04_02,invisible,second,P2,71,56,51,0.8031496062992126,1.8287707525440688,0.06829317068293171
20170705_03_04_02,invisible,second,P3,187,188,142,0.7573333333333333,-0.0405845651762726,0.5772422757724227
20170707_01_02_03,invisible,original,P1,29,31,23,0.7666666666666667,-1.0698267764599427,0.9471052894710529
20170707_01_02_03,invisible,original,P2,60,66,49,0.7777777777777778,-0.004768235549180788,0.6168383161683831
20170707_01_02_03,invisible,original,P3,168,192,130,0.7222222222222222,0.06451957464613561,0.5067493250674933
20170707_01_02_03,invisible,second,P1,35,30,26,0.8,-0.3191695289178708,0.78992100789921
20170707_01_02_03,invisible,second,P2,66,61,49,0.7716535433070866,1.328180032553728,0.14358564143585642
20170707_01_02_03,invisible,second,P3,182,172,128,0.7231638418079096,0.40324281745682883,0.4022597740225977
20170707_11_12_01,invisible,original,P1,20,28,18,0.75,-1.1829863260866857,0.9416058394160584
20170707_11_12_01,invisible,original,P2,59,58,48,0.8205128205128205,-0.12587634137697662,0.6335366463353664
20170707_11_12_01,invisible,original,P3,168,159,128,0.7828746177370031,-0.44166611082219015,0.7377262273772622
20170707_11_12_01,invisible,second,P1,22,27,22,0.8979591836734694,2.568609092006565,0.004399560043995601
20170707_11_12_01,invisible,second,P2,61,57,47,0.7966101694915254,-0.584179269345278,0.8076192380761924
20170707_11_12_01,invisible,second,P3,171,156,125,0.764525993883792,0.22154831780519912,0.48455154484551544
20170710_13_14_03,invisible,original,P1,28,28,24,0.8571428571428571,-0.32292810976707387,0.7605239476052394
20170710_13_14_03,invisible,original,P2,57,77,54,0.8059701492537313,0.989295773517914,0.2806719328067193
20170710_13_14_03,invisible,original,P3,162,215,147,0.7798408488063661,-0.5906245872317175,0.8044195580441956
20170710_13_14_03,invisible,second,P1,26,29,23,0.8363636363636363,-0.2667074395673532,0.7999200079992
20170710_13_14_03,invisible,second,P2,55,74,49,0.7596899224806202,-0.856079950756102,0.8802119788021198
20170710_13_14_03,invisible,second,P3,167,213,152,0.8,-0.41374699679350974,0.7389261073892611
20170710_15_16_02,invisible,original,P1,16,18,12,0.7058823529411765,-0.2152453989012882,0.7419258074192581
20170710_15_16_02,invisible,original,P2,44,49,37,0.7956989247311828,0.6627668766581515,0.37596240375962403
20170710_15_16_02,invisible,original,P3,109,129,73,0.6134453781512605,-1.2050475495612896,0.9196080391960804
20170710_15_16_02,invisible,second,P1,18,16,10,0.5882352941176471,-1.3368289287064719,0.9623037696230377
20170710_15_16_02,invisible,second,P2,42,50,32,0.6956521739130435,-0.1996917753156496,0.6688331166883311
20170710_15_16_02,invisible,second,P3,104,128,73,0.6293103448275862,0.1719011932821785,0.47805219478052197
