video,condition,arm,rep,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,real,0,P3,151,107,39,0.3023255813953488,-0.25203723921770227,0.6573426573426573
20170706_01_02_03,visible,jitter,1,P1,22,18,6,0.3,-0.5378900867778682,0.8041958041958042
20170706_01_02_03,visible,jitter,1,P2,56,41,17,0.35051546391752575,0.2243419262667816,0.4775224775224775
20170706_01_02_03,visible,jitter,1,P3,149,106,37,0.2901960784313726,0.15777510035153341,0.4875124875124875
20170706_01_02_03,visible,null,1,P1,17,13,4,0.26666666666666666,-1.0793765616182773,0.9500499500499501
20170706_01_02_03,visible,null,1,P2,59,35,14,0.2978723404255319,0.15267817330110175,0.5104895104895105
20170706_01_02_03,visible,null,1,P3,144,119,39,0.2965779467680608,-0.6072294437628311,0.7752247752247752
20170706_01_02_03,visible,jitter,2,P1,22,17,4,0.20512820512820512,-1.7067905354263415,0.9790209790209791
20170706_01_02_03,visible,jitter,2,P2,57,42,14,0.2828282828282828,-1.0036132871370207,0.8931068931068931
20170706_01_02_03,visible,jitter,2,P3,147,107,40,0.31496062992125984,0.782630726348464,0.22977022977022976
20170706_01_02_03,visible,null,2,P1,20,10,3,0.2,-0.5630007210687786,0.7732267732267732
20170706_01_02_03,visible,null,2,P2,58,39,21,0.4329896907216495,2.1318084709844243,0.025974025974025976
20170706_01_02_03,visible,null,2,P3,148,116,40,0.30303030303030304,-0.10950851856051717,0.6093906093906094
20170706_01_02_03,visible,jitter,3,P1,21,18,3,0.15384615384615385,-2.2469559047456973,0.988011988011988
20170706_01_02_03,visible,jitter,3,P2,57,42,11,0.2222222222222222,-1.9425037768582838,0.983016983016983
20170706_01_02_03,visible,jitter,3,P3,149,107,32,0.25,-1.2210437054509589,0.9200799200799201
20170706_01_02_03,visible,null,3,P1,21,13,2,0.11764705882352941,-2.026332093613834,0.9920079920079921
20170706_01_02_03,visible,null,3,P2,59,41,20,0.4,1.165670379167891,0.16383616383616384
20170706_01_02_03,visible,null,3,P3,145,112,44,0.3424124513618677,1.2515570956995863,0.11388611388611389
20170706_01_02_03,visible,jitter,4,P1,22,18,6,0.3,-0.7748647087219677,0.8851148851148851
20170706_01_02_03,visible,jitter,4,P2,59,41,18,0.36,0.4500992601221661,0.4275724275724276
20170706_01_02_03,visible,jitter,4,P3,148,106,41,0.3228346456692913,0.7556038881203629,0.26873126873126874
20170706_01_02_03,visible,null,4,P1,22,14,7,0.3888888888888889,0.5516675527695367,0.3806193806193806
20170706_01_02_03,visible,null,4,P2,60,33,8,0.17204301075268819,-1.9766497692682508,0.9920079920079921
20170706_01_02_03,visible,null,4,P3,146,118,40,0.30303030303030304,-0.10632977392951859,0.5654345654345654
20170706_01_02_03,visible,jitter,5,P1,20,18,7,0.3684210526315789,-0.002958114536272676,0.5594405594405595
20170706_01_02_03,visible,jitter,5,P2,60,41,18,0.3564356435643564,0.5438195153165306,0.3786213786213786
20170706_01_02_03,visible,jitter,5,P3,148,108,40,0.3125,0.6638283484002304,0.2857142857142857
20170706_01_02_03,visible,null,5,P1,21,16,6,0.32432432432432434,-0.014067491035664733,0.5854145854145855
20170706_01_02_03,visible,null,5,P2,58,38,14,0.2916666666666667,-0.33459079096021616,0.6953046953046953
20170706_01_02_03,visible,null,5,P3,145,112,36,0.2801556420233463,-0.5743255917591952,0.7412587412587412
20170706_01_02_03,visible,jitter,6,P1,21,18,6,0.3076923076923077,-0.46392584317366475,0.7722277722277723
20170706_01_02_03,visible,jitter,6,P2,59,41,11,0.22,-1.8653649877901095,0.991008991008991
20170706_01_02_03,visible,jitter,6,P3,149,106,43,0.33725490196078434,1.401239639237265,0.1108891108891109
20170706_01_02_03,visible,null,6,P1,21,14,5,0.2857142857142857,-0.04876187719043182,0.6823176823176823
